O,D,Diff
11,215,-28.989998
11,318,-24.200001
34,215,-25.830002
34,318,-22.17
71,215,-24.199999
73,215,-22.51
77,201,-20.77
77,215,-32.389999
77,318,-20.139999
77,708,-21.290001
77,985,-26.220001
78,201,-22.08
78,215,-28.620003
79,201,-33.129997
79,215,-40.279999
172,424,-24.460001
177,424,-35.549999
177,430,-23.639999
178,424,-20.139999
201,77,-21.9
201,78,-23.610001
201,79,-35
201,202,-379.200012
201,203,-71.139999
201,209,-27.389999
201,210,-27.610001
201,215,-25.349998
202,201,-362.170013
202,213,-36.48
202,214,-36.970001
202,215,-76.650002
202,316,-25.34
202,318,-28.66
203,201,-69.540001
203,213,-24.42
203,214,-22.43
203,215,-42.009998
204,207,-27.629999
204,215,-25.279999
206,215,-37.429996
206,318,-26.98
207,204,-28.76
207,210,-35.399998
207,211,-36.34
207,212,-29.459999
209,201,-26.259998
209,213,-20.860001
209,215,-39.079998
210,201,-26.76
210,207,-35.369999
210,213,-42.100002
210,214,-48.209999
210,215,-87.600006
211,207,-35.860001
211,213,-31.08
211,214,-37.379997
211,215,-79.950005
212,207,-29.280001
212,213,-23.990002
212,214,-38.939999
212,215,-82.43
212,318,-21.030001
213,79,-21.02
213,202,-38.5
213,203,-24.940001
213,209,-22.040001
213,210,-44.010002
213,211,-32.779999
213,212,-24.629999
213,214,-51.66
213,215,-70.389999
213,223,-21.83
213,303,-36.639999
213,307,-25.9
213,308,-20.42
213,321,-22.809999
214,202,-38.91
214,203,-22.459999
214,210,-49.640003
214,211,-38.630001
214,212,-39.330002
214,213,-50.57
214,215,-118.449997
214,223,-28.360001
214,303,-20.759998
214,318,-21.09
214,321,-32.049999
215,11,-33.410004
215,25,-22.059999
215,34,-29.68
215,70,-22.690001
215,71,-25.739998
215,73,-24.439999
215,77,-34.09
215,78,-30.34
215,79,-42.350002
215,143,-20.01
215,201,-25.380001
215,202,-81.299995
215,203,-42.650002
215,204,-27.130001
215,206,-42.279999
215,209,-40.800003
215,210,-91.050003
215,211,-83.690002
215,212,-84.430008
215,213,-69.900002
215,214,-120.07
215,216,-20.5
215,223,-96.450005
215,224,-48.529999
215,228,-40.340004
215,229,-38.830002
215,230,-35.239998
215,232,-27.230001
215,236,-21.549999
215,261,-40.489998
215,302,-20.15
215,303,-51.66
215,304,-35.509998
215,305,-26.130001
215,306,-39.549999
215,307,-61.660004
215,308,-48.310001
215,309,-30.679998
215,310,-26.130001
215,311,-46.980003
215,312,-47.759998
215,313,-37.439999
215,314,-30.030001
215,315,-30.450001
215,316,-102.110001
215,317,-52.619999
215,318,-102.110001
215,319,-46.59
215,320,-53.349998
215,321,-85.699997
215,323,-28.650002
215,324,-27.700001
215,325,-27.959999
215,327,-25.419998
215,442,-26.379999
215,443,-46.279999
215,444,-21.110001
215,449,-32.259998
215,450,-28
215,467,-27.110001
215,472,-22.26
223,213,-21.48
223,214,-28.309999
223,215,-94.93
223,316,-27.549999
223,318,-49.940002
224,215,-47.290001
224,318,-29.4
228,215,-39.68
228,318,-22.190001
229,215,-36.900002
229,318,-27.529999
230,215,-32.43
230,318,-25.99
232,215,-25.459999
236,215,-20.190001
261,215,-35.009998
261,318,-28.710001
302,215,-21.68
302,303,-48.839996
302,304,-36.450001
302,307,-40.470001
302,308,-41.209999
302,443,-23.08
303,213,-35.869999
303,214,-20.26
303,215,-49.950001
303,302,-45.449997
303,316,-40.610004
303,318,-49.110001
304,215,-36.360001
304,302,-32.950001
304,316,-21.459999
304,318,-24.139999
305,215,-27.610001
306,215,-39.269997
306,316,-30.079998
306,318,-32.380001
307,213,-25.699999
307,215,-60.93
307,302,-36.68
307,316,-50.489998
307,318,-49.850002
308,213,-20.689999
308,215,-48.93
308,302,-38.470001
308,316,-33.630001
308,318,-39.200005
309,215,-32.07
309,316,-20.389999
309,318,-21.360001
310,215,-27.92
