O,D,Diff
271,9,-20
268,96,-20
96,268,-20
89,43,-20
43,89,-20
9,271,-20
87,11,-20
11,87,-20
249,103,-20
231,38,-20
143,13,-20
103,249,-20
38,231,-20
13,143,-20
407,261,-20
261,407,-20
208,26,-20
26,208,-20
143,5,-20
5,143,-20
128,91,-20
91,128,-20
232,88,-20
88,232,-20
79,1,-20
1,79,-20
206,69,-20
69,206,-20
152,66,-20
66,152,-20
279,9,-20
9,279,-20
69,52,-20
52,69,-20
258,34,-20
34,258,-20
209,29,-20
29,209,-20
209,22,-20
22,209,-20
246,47,-20
47,246,-20
232,5,-20
5,232,-20
158,26,-20
26,158,-20
273,21,-20
21,273,-20
218,34,-20
34,218,-20
208,3,-20
165,25,-20
25,165,-20
3,208,-20
260,83,-20
83,260,-20
91,44,-20
44,91,-20
288,34,-20
34,288,-20
299,45,-20
45,299,-20
352,11,-20
293,268,-20
272,25,-20
268,293,-20
25,272,-20
11,352,-20
69,30,-20
30,69,-20
367,106,-20
251,10,-20
106,367,-20
10,251,-20
48,44,-20
44,48,-20
260,155,-20
155,260,-20
265,13,-20
13,265,-20
13,4,-20
4,13,-20
110,45,-20
45,110,-20
293,87,-20
130,91,-20
91,130,-20
87,293,-20
242,232,-21
232,242,-21
218,1,-21
1,218,-21
395,261,-21
261,395,-21
43,29,-21
29,43,-21
203,11,-21
11,203,-21
110,103,-21
103,110,-21
87,34,-21
34,87,-21
117,45,-21
45,117,-21
261,195,-21
195,261,-21
57,13,-21
13,57,-21
261,165,-21
165,261,-21
266,252,-21
252,266,-21
173,94,-21
94,173,-21
220,26,-21
163,34,-21
34,163,-21
26,220,-21
60,44,-21
44,60,-21
171,88,-21
88,171,-21
353,256,-21
256,353,-21
206,86,-21
86,206,-21
272,103,-21
103,272,-21
286,34,-21
34,286,-21
177,25,-21
25,177,-21
248,84,-21
206,84,-21
84,248,-21
84,206,-21
47,45,-21
45,47,-21
45,14,-21
14,45,-21
251,32,-21
32,251,-21
208,37,-21
37,208,-21
398,11,-21
11,398,-21
87,45,-21
45,87,-21
396,261,-21
261,396,-21
271,13,-21
13,271,-21
266,254,-21
254,266,-21
117,87,-21
87,117,-21
367,89,-21
243,219,-21
219,243,-21
89,367,-21
232,27,-21
27,232,-21
70,2,-21
2,70,-21
206,41,-21
41,206,-21
367,38,-21
273,92,-21
231,23,-21
206,16,-21
92,273,-21
38,367,-21
23,231,-21
16,206,-21
132,88,-21
88,132,-21
70,26,-21
26,70,-21
261,140,-21
140,261,-21
366,34,-21
46,13,-21
34,366,-21
13,46,-21
32,13,-21
13,32,-21
206,78,-21
78,206,-21
258,22,-21
22,258,-21
206,29,-21
143,50,-21
50,143,-21
29,206,-21
78,5,-21
5,78,-21
367,87,-21
87,367,-21
261,137,-21
137,261,-21
285,25,-21
25,285,-21
366,11,-21
165,11,-21
11,366,-21
11,165,-21
152,68,-21
68,152,-21
205,3,-21
3,205,-21
208,28,-21
28,208,-21
430,429,-21
429,430,-21
287,12,-21
12,287,-21
232,2,-21
2,232,-21
87,63,-21
63,87,-21
261,124,-21
124,261,-21
257,13,-21
78,18,-21
18,78,-21
13,257,-21
203,34,-21
34,203,-21
209,27,-21
27,209,-21
13,9,-21
9,13,-21
206,21,-22
21,206,-22
217,2,-22
2,217,-22
247,219,-22
219,247,-22
159,150,-22
150,159,-22
75,69,-22
69,75,-22
261,159,-22
253,232,-22
232,253,-22
159,261,-22
353,282,-22
282,353,-22
273,112,-22
112,273,-22
112,21,-22
21,112,-22
367,107,-22
107,367,-22
284,12,-22
12,284,-22
420,96,-22
96,420,-22
208,42,-22
207,71,-22
71,207,-22
42,208,-22
151,91,-22
91,151,-22
238,23,-22
23,238,-22
276,104,-22
264,12,-22
261,199,-22
199,261,-22
104,276,-22
12,264,-22
247,33,-22
33,247,-22
392,367,-22
367,392,-22
219,34,-22
34,219,-22
70,1,-22
1,70,-22
278,104,-22
104,278,-22
65,45,-22
45,65,-22
43,40,-22
40,43,-22
572,261,-22
261,572,-22
219,29,-22
29,219,-22
208,31,-22
31,208,-22
239,25,-22
25,239,-22
173,11,-22
11,173,-22
287,88,-22
260,90,-22
191,96,-22
96,191,-22
90,260,-22
88,287,-22
58,45,-22
45,58,-22
195,190,-22
190,195,-22
367,45,-22
45,367,-22
152,50,-22
50,152,-22
265,110,-22
110,265,-22
143,60,-22
60,143,-22
286,11,-22
11,286,-22
217,21,-22
21,217,-22
420,175,-22
175,420,-22
152,151,-22
151,152,-22
367,47,-22
47,367,-22
220,28,-22
158,29,-22
29,158,-22
28,220,-22
210,209,-22
209,210,-22
273,22,-22
155,12,-22
22,273,-22
12,155,-22
244,231,-22
231,244,-22
71,14,-22
14,71,-22
162,11,-23
11,162,-23
361,285,-23
285,361,-23
232,26,-23
26,232,-23
218,29,-23
29,218,-23
289,279,-23
279,289,-23
257,220,-23
220,257,-23
368,108,-23
203,70,-23
108,368,-23
70,203,-23
174,143,-23
143,174,-23
156,150,-23
150,156,-23
273,35,-23
35,273,-23
232,42,-23
42,232,-23
152,148,-23
148,152,-23
367,97,-23
97,367,-23
152,47,-23
47,152,-23
251,242,-23
242,251,-23
239,234,-23
234,239,-23
366,105,-23
364,273,-23
273,364,-23
105,366,-23
91,13,-23
13,91,-23
99,87,-23
87,99,-23
261,180,-23
180,261,-23
261,191,-23
191,261,-23
225,16,-23
16,225,-23
209,70,-23
70,209,-23
71,50,-23
50,71,-23
265,112,-23
112,265,-23
251,8,-23
70,38,-23
38,70,-23
8,251,-23
261,141,-23
141,261,-23
420,11,-23
11,420,-23
30,13,-23
13,30,-23
207,16,-23
16,207,-23
143,4,-23
4,143,-23
258,16,-23
16,258,-23
150,34,-23
34,150,-23
253,9,-23
9,253,-23
208,20,-23
20,208,-23
217,1,-23
1,217,-23
243,216,-23
216,243,-23
299,87,-23
87,299,-23
20,13,-23
13,20,-23
279,103,-23
105,102,-23
103,279,-23
102,105,-23
261,192,-23
192,261,-23
143,66,-23
66,143,-23
258,25,-23
25,258,-23
279,35,-23
35,279,-23
261,188,-23
188,261,-23
367,41,-23
41,367,-23
231,33,-23
33,231,-23
260,175,-23
209,34,-23
175,260,-23
34,209,-23
208,12,-23
12,208,-23
220,31,-23
31,220,-23
205,29,-24
29,205,-24
217,22,-24
22,217,-24
152,12,-24
12,152,-24
207,34,-24
34,207,-24
365,95,-24
95,365,-24
261,92,-24
92,261,-24
280,12,-24
12,280,-24
406,261,-24
261,406,-24
146,66,-24
66,146,-24
43,22,-24
22,43,-24
152,31,-24
31,152,-24
73,31,-24
31,73,-24
136,91,-24
91,136,-24
261,78,-24
78,261,-24
205,20,-24
20,205,-24
79,18,-24
18,79,-24
261,198,-24
198,261,-24
78,69,-24
69,78,-24
91,46,-24
46,91,-24
79,6,-24
6,79,-24
268,34,-24
34,268,-24
70,28,-24
28,70,-24
207,29,-24
29,207,-24
289,285,-24
285,289,-24
367,263,-24
263,367,-24
151,88,-24
88,151,-24
246,12,-24
12,246,-24
367,260,-24
260,367,-24
43,42,-24
42,43,-24
73,72,-24
72,73,-24
43,37,-24
37,43,-24
91,21,-24
21,91,-24
232,84,-24
84,232,-24
79,27,-24
27,79,-24
77,72,-24
72,77,-24
293,261,-24
261,293,-24
92,43,-24
43,92,-24
208,18,-24
18,208,-24
207,41,-24
41,207,-24
220,42,-24
42,220,-24
365,11,-24
11,365,-24
106,102,-24
102,106,-24
162,150,-24
150,162,-24
150,143,-24
143,150,-24
258,12,-24
12,258,-24
44,13,-24
13,44,-24
285,12,-24
12,285,-24
238,25,-24
25,238,-24
433,430,-25
430,433,-25
72,25,-25
25,72,-25
152,142,-25
142,152,-25
268,11,-25
11,268,-25
219,41,-25
41,219,-25
79,5,-25
5,79,-25
71,29,-25
29,71,-25
261,37,-25
87,53,-25
53,87,-25
37,261,-25
367,25,-25
25,367,-25
261,185,-25
209,11,-25
185,261,-25
11,209,-25
261,193,-25
193,261,-25
112,91,-25
91,112,-25
209,18,-25
18,209,-25
71,25,-25
25,71,-25
367,12,-25
12,367,-25
28,13,-25
13,28,-25
16,13,-25
13,16,-25
79,29,-25
29,79,-25
420,88,-25
88,420,-25
287,95,-25
95,287,-25
26,13,-25
13,26,-25
84,21,-25
21,84,-25
246,57,-25
57,246,-25
266,253,-25
253,266,-25
441,437,-25
437,441,-25
199,95,-25
95,199,-25
274,105,-25
105,274,-25
246,17,-25
17,246,-25
300,11,-25
11,300,-25
261,136,-25
237,34,-25
136,261,-25
34,237,-25
232,29,-25
29,232,-25
261,186,-25
186,261,-25
43,21,-25
21,43,-25
261,197,-25
197,261,-25
401,261,-25
261,401,-25
178,34,-25
34,178,-25
261,209,-25
209,261,-25
275,34,-25
251,143,-25
143,251,-25
34,275,-25
231,26,-25
26,231,-25
300,34,-26
34,300,-26
279,266,-26
266,279,-26
205,25,-26
25,205,-26
152,22,-26
22,152,-26
91,45,-26
45,91,-26
425,177,-26
177,425,-26
87,50,-26
50,87,-26
231,21,-26
209,5,-26
21,231,-26
5,209,-26
153,147,-26
147,153,-26
231,37,-26
37,231,-26
253,103,-26
272,12,-26
103,253,-26
12,272,-26
261,178,-26
178,261,-26
69,14,-26
14,69,-26
69,46,-26
46,69,-26
232,31,-26
31,232,-26
69,24,-26
24,69,-26
247,28,-26
28,247,-26
153,144,-26
144,153,-26
206,203,-26
203,206,-26
45,44,-26
44,45,-26
150,66,-26
70,50,-26
66,150,-26
50,70,-26
274,103,-26
103,274,-26
367,21,-26
21,367,-26
289,251,-26
251,289,-26
70,33,-26
33,70,-26
279,22,-26
22,279,-26
156,89,-26
89,156,-26
33,13,-26
13,33,-26
420,94,-26
94,420,-26
177,11,-26
91,11,-26
11,177,-26
11,91,-26
242,11,-26
11,242,-26
143,59,-26
59,143,-26
91,37,-26
37,91,-26
220,34,-26
34,220,-26
273,102,-26
102,273,-26
287,34,-26
34,287,-26
237,219,-26
219,237,-26
218,41,-26
41,218,-26
216,86,-26
86,216,-26
231,40,-26
40,231,-26
179,91,-26
91,179,-26
251,9,-26
9,251,-26
273,104,-26
104,273,-26
255,34,-26
34,255,-26
261,167,-26
167,261,-26
150,121,-26
121,150,-26
75,70,-26
70,75,-26
72,34,-27
34,72,-27
271,23,-27
156,152,-27
152,156,-27
23,271,-27
87,54,-27
54,87,-27
366,109,-27
109,366,-27
273,25,-27
25,273,-27
282,106,-27
106,282,-27
282,107,-27
107,282,-27
258,2,-27
2,258,-27
261,108,-27
108,261,-27
152,38,-27
38,152,-27
82,21,-27
21,82,-27
71,34,-27
34,71,-27
261,99,-27
158,31,-27
99,261,-27
31,158,-27
273,110,-27
110,273,-27
261,162,-27
162,261,-27
217,207,-27
207,217,-27
231,31,-27
31,231,-27
95,43,-27
43,95,-27
261,190,-27
190,261,-27
273,23,-27
23,273,-27
43,39,-27
39,43,-27
298,261,-27
261,298,-27
250,232,-27
232,250,-27
273,108,-27
108,273,-27
221,207,-27
207,221,-27
47,44,-27
44,47,-27
105,87,-27
87,105,-27
72,16,-27
16,72,-27
205,72,-27
72,205,-27
266,251,-28
251,266,-28
218,11,-28
11,218,-28
275,11,-28
266,11,-28
11,275,-28
11,266,-28
220,16,-28
16,220,-28
219,11,-28
11,219,-28
69,12,-28
12,69,-28
261,135,-28
135,261,-28
352,280,-28
280,352,-28
152,150,-28
150,152,-28
79,25,-28
25,79,-28
218,22,-28
22,218,-28
231,28,-28
28,231,-28
271,35,-28
35,271,-28
261,50,-28
50,261,-28
72,11,-28
11,72,-28
296,87,-28
172,11,-28
87,296,-28
11,172,-28
261,259,-28
259,261,-28
266,249,-28
249,266,-28
367,91,-28
91,367,-28
246,52,-28
52,246,-28
354,254,-28
254,354,-28
52,43,-28
43,52,-28
216,206,-28
206,216,-28
207,22,-28
22,207,-28
290,280,-28
280,290,-28
220,2,-28
206,71,-28
71,206,-28
2,220,-28
284,37,-28
37,284,-28
425,175,-28
175,425,-28
261,123,-29
123,261,-29
217,25,-29
25,217,-29
367,265,-29
265,367,-29
158,41,-29
41,158,-29
256,240,-29
240,256,-29
77,69,-29
69,77,-29
261,175,-29
175,261,-29
367,284,-29
284,367,-29
69,26,-29
26,69,-29
77,71,-29
71,77,-29
50,13,-29
13,50,-29
367,92,-29
92,367,-29
261,184,-29
184,261,-29
398,261,-29
261,398,-29
35,13,-29
13,35,-29
159,34,-29
107,103,-29
103,107,-29
34,159,-29
420,198,-29
246,4,-29
198,420,-29
4,246,-29
155,9,-29
9,155,-29
152,37,-29
37,152,-29
87,47,-29
47,87,-29
367,96,-29
96,367,-29
261,250,-29
250,261,-29
206,79,-30
79,206,-30
72,29,-30
29,72,-30
152,145,-30
145,152,-30
79,34,-30
34,79,-30
38,13,-30
13,38,-30
43,25,-30
25,43,-30
261,183,-30
183,261,-30
282,103,-30
103,282,-30
289,254,-30
254,289,-30
294,87,-30
87,294,-30
205,11,-30
11,205,-30
207,204,-30
204,207,-30
153,145,-30
145,153,-30
261,139,-30
139,261,-30
50,44,-30
44,50,-30
237,231,-30
231,237,-30
71,42,-30
42,71,-30
368,261,-30
261,368,-30
206,25,-30
57,43,-30
43,57,-30
25,206,-30
292,268,-30
268,292,-30
206,3,-30
3,206,-30
158,12,-30
12,158,-30
289,252,-30
252,289,-30
71,31,-30
31,71,-30
266,264,-30
264,266,-30
207,1,-30
1,207,-30
295,261,-30
261,295,-30
261,182,-30
182,261,-30
70,16,-30
16,70,-30
220,1,-30
1,220,-30
40,13,-30
13,40,-30
13,3,-30
3,13,-30
261,173,-30
173,261,-30
232,1,-30
1,232,-30
259,232,-30
232,259,-30
251,103,-30
103,251,-30
279,23,-30
23,279,-30
45,15,-30
15,45,-30
301,261,-30
261,301,-30
152,25,-30
25,152,-30
261,172,-30
172,261,-30
156,8,-30
8,156,-30
289,253,-30
253,289,-30
208,34,-31
34,208,-31
150,42,-31
42,150,-31
246,20,-31
20,246,-31
156,41,-31
41,156,-31
279,25,-31
25,279,-31
152,11,-31
11,152,-31
73,20,-31
20,73,-31
359,284,-31
284,359,-31
292,87,-31
87,292,-31
239,11,-31
11,239,-31
72,31,-31
31,72,-31
268,87,-31
87,268,-31
420,34,-31
34,420,-31
241,239,-31
239,241,-31
151,145,-31
145,151,-31
110,87,-31
87,110,-31
208,16,-31
16,208,-31
108,103,-31
103,108,-31
245,232,-31
232,245,-31
218,207,-31
207,218,-31
261,189,-31
189,261,-31
42,13,-31
13,42,-31
157,152,-31
152,157,-31
256,241,-31
241,256,-31
268,105,-31
105,268,-31
43,38,-31
38,43,-31
158,25,-31
25,158,-31
158,22,-32
22,158,-32
261,203,-32
203,261,-32
238,12,-32
12,238,-32
282,105,-32
260,152,-32
152,260,-32
105,282,-32
59,44,-32
44,59,-32
152,40,-32
40,152,-32
175,143,-32
143,175,-32
285,34,-32
34,285,-32
284,34,-32
34,284,-32
82,34,-32
34,82,-32
231,34,-32
43,41,-32
