"","O","D","Diff"
"1",1,69,-38
"2",1,70,-22
"3",1,79,-20
"4",1,205,-45
"5",1,206,-51
"6",1,207,-30
"7",1,208,-41
"8",1,217,-23
"9",1,218,-21
"10",1,220,-30
"11",1,231,-34
"12",1,232,-30
"13",1,246,-93
"14",1,258,-39
"15",2,69,-39
"16",2,70,-21
"17",2,205,-34
"18",2,206,-36
"19",2,207,-33
"20",2,208,-43
"21",2,217,-22
"22",2,220,-28
"23",2,231,-36
"24",2,232,-21
"25",2,246,-74
"26",2,247,-46
"27",2,258,-27
"28",3,13,-30
"29",3,143,-32
"30",3,205,-21
"31",3,206,-30
"32",3,208,-20
"33",3,246,-33
"34",3,261,-194
"35",4,13,-20
"36",4,143,-23
"37",4,246,-29
"38",4,261,-120
"39",5,69,-71
"40",5,70,-41
"41",5,71,-48
"42",5,72,-34
"43",5,78,-21
"44",5,79,-25
"45",5,143,-20
"46",5,209,-26
"47",5,210,-65
"48",5,232,-20
"49",5,261,-61
"50",6,69,-192
"51",6,70,-301
"52",6,71,-73
"53",6,72,-44
"54",6,73,-148
"55",6,79,-24
"56",8,152,-49
"57",8,155,-140
"58",8,156,-30
"59",8,158,-64
"60",8,251,-23
"61",9,13,-21
"62",9,152,-50
"63",9,155,-29
"64",9,156,-37
"65",9,158,-52
"66",9,251,-26
"67",9,253,-23
"68",9,271,-20
"69",9,279,-20
"70",10,152,-42
"71",10,251,-20
"72",11,13,-112
"73",11,43,-36
"74",11,69,-173
"75",11,70,-40
"76",11,71,-216
"77",11,72,-28
"78",11,79,-33
"79",11,87,-20
"80",11,91,-26
"81",11,112,-39
"82",11,113,-33
"83",11,152,-31
"84",11,155,-33
"85",11,158,-38
"86",11,162,-23
"87",11,165,-21
"88",11,172,-28
"89",11,173,-22
"90",11,177,-26
"91",11,203,-21
"92",11,205,-30
"93",11,206,-41
"94",11,207,-48
"95",11,208,-68
"96",11,209,-25
"97",11,215,-28.989998
"98",11,217,-39
"99",11,218,-28
"100",11,219,-28
"101",11,220,-37
"102",11,231,-43
"103",11,232,-44
"104",11,238,-44
"105",11,239,-31
"106",11,242,-26
"107",11,246,-55
"108",11,258,-55
"109",11,259,-33
"110",11,261,-54
"111",11,264,-46
"112",11,265,-32
"113",11,266,-28
"114",11,268,-25
"115",11,272,-40
"116",11,273,-52
"117",11,275,-28
"118",11,279,-59
"119",11,280,-36
"120",11,284,-35
"121",11,285,-36
"122",11,286,-22
"123",11,287,-42
"124",11,288,-34
"125",11,300,-25
"126",11,318,-24.200001
"127",11,352,-20
"128",11,365,-24
"129",11,366,-21
"130",11,367,-50
"131",11,398,-21
"132",11,420,-23
"133",12,13,-58
"134",12,69,-28
"135",12,71,-63
"136",12,152,-24
"137",12,155,-22
"138",12,158,-30
"139",12,208,-23
"140",12,238,-32
"141",12,246,-24
"142",12,258,-24
"143",12,264,-22
"144",12,272,-26
"145",12,273,-32
"146",12,279,-46
"147",12,280,-24
"148",12,284,-22
"149",12,285,-24
"150",12,287,-21
"151",12,367,-25
"152",13,3,-30
"153",13,4,-20
"154",13,9,-21
"155",13,11,-112
"156",13,12,-58
"157",13,14,-62
"158",13,15,-66
"159",13,16,-25
"160",13,19,-43
"161",13,20,-23
"162",13,21,-58
"163",13,22,-38
"164",13,23,-57
"165",13,25,-51
"166",13,26,-25
"167",13,28,-25
"168",13,29,-42
"169",13,30,-23
"170",13,31,-33
"171",13,32,-21
"172",13,33,-26
"173",13,34,-63
"174",13,35,-29
"175",13,37,-82
"176",13,38,-30
"177",13,39,-52
"178",13,40,-30
"179",13,41,-36
"180",13,42,-31
"181",13,44,-24
"182",13,45,-44
"183",13,46,-21
"184",13,47,-33
"185",13,50,-29
"186",13,57,-21
"187",13,91,-23
"188",13,143,-20
"189",13,257,-21
"190",13,260,-34
"191",13,261,-75
"192",13,265,-20
"193",13,271,-21
"194",14,13,-62
"195",14,45,-21
"196",14,69,-26
"197",14,71,-22
"198",14,261,-116
"199",15,13,-66
"200",15,45,-30
"201",15,261,-80
"202",16,13,-25
"203",16,69,-51
"204",16,70,-30
"205",16,72,-27
"206",16,206,-21
"207",16,207,-23
"208",16,208,-31
"209",16,210,-44
"210",16,220,-28
"211",16,225,-23
"212",16,231,-36
"213",16,246,-73
"214",16,258,-23
"215",17,246,-25
"216",18,69,-296
"217",18,70,-45
"218",18,71,-231
"219",18,72,-43
"220",18,78,-21
"221",18,79,-24
"222",18,208,-24
"223",18,209,-25
"224",18,210,-64
"225",18,246,-45
"226",19,13,-43
"227",19,69,-64
"228",19,70,-69
"229",19,71,-56
"230",19,72,-64
"231",19,73,-65
"232",19,79,-73
"233",19,209,-53
"234",20,13,-23
"235",20,69,-349
"236",20,70,-64
"237",20,71,-224
"238",20,72,-62
"239",20,73,-31
"240",20,78,-45
"241",20,79,-37
"242",20,205,-24
"243",20,208,-23
"244",20,209,-45
"245",20,210,-162
"246",20,246,-31
"247",21,13,-58
"248",21,43,-25
"249",21,69,-432
"250",21,70,-116
"251",21,71,-548
"252",21,72,-116
"253",21,73,-68
"254",21,78,-93
"255",21,79,-75
"256",21,82,-27
"257",21,84,-25
"258",21,91,-24
"259",21,112,-22
"260",21,205,-46
"261",21,206,-22
"262",21,207,-33
"263",21,208,-39
"264",21,209,-102
"265",21,210,-360
"266",21,217,-22
"267",21,231,-26
"268",21,232,-32
"269",21,273,-20
"270",21,367,-26
"271",22,13,-38
"272",22,43,-24
"273",22,69,-98
"274",22,70,-91
"275",22,71,-77
"276",22,72,-81
"277",22,73,-77
"278",22,79,-85
"279",22,152,-26
"280",22,158,-32
"281",22,205,-121
"282",22,206,-96
"283",22,207,-28
"284",22,208,-44
"285",22,209,-20
"286",22,217,-24
"287",22,218,-28
"288",22,219,-56
"289",22,220,-46
"290",22,225,-467
"291",22,227,-86
"292",22,229,-227
"293",22,231,-92
"294",22,232,-35
"295",22,246,-111
"296",22,247,-56
"297",22,258,-21
"298",22,273,-22
"299",22,279,-26
"300",22,323,-196
"301",23,13,-57
"302",23,69,-73
"303",23,70,-71
"304",23,71,-63
"305",23,72,-73
"306",23,73,-73
"307",23,79,-80
"308",23,209,-85
"309",23,231,-21
"310",23,238,-22
"311",23,246,-32
"312",23,271,-27
"313",23,273,-27
"314",23,279,-30
"315",24,69,-26
"316",24,246,-45
"317",25,13,-51
"318",25,43,-30
"319",25,69,-60
"320",25,70,-40
"321",25,71,-25
"322",25,72,-25
"323",25,79,-28
"324",25,152,-30
"325",25,158,-31
"326",25,165,-20
"327",25,177,-21
"328",25,205,-26
"329",25,206,-30
"330",25,207,-35
"331",25,208,-49
"332",25,217,-29
"333",25,218,-34
"334",25,219,-34
"335",25,220,-50
"336",25,231,-61
"337",25,232,-45
"338",25,238,-24
"339",25,239,-22
"340",25,246,-107
"341",25,247,-49
"342",25,258,-23
"343",25,272,-20
"344",25,273,-27
"345",25,279,-31
"346",25,285,-21
"347",25,367,-25
"348",26,13,-25
"349",26,69,-29
"350",26,70,-21
"351",26,158,-20
"352",26,208,-20
"353",26,220,-21
"354",26,231,-25
"355",26,232,-23
"356",26,246,-41
"357",27,69,-173
"358",27,70,-57
"359",27,71,-372
"360",27,72,-38
"361",27,79,-24
"362",27,209,-21
"363",27,210,-32
"364",27,232,-21
"365",28,13,-25
"366",28,69,-38
"367",28,70,-24
"368",28,208,-21
"369",28,220,-22
"370",28,231,-28
"371",28,246,-47
"372",28,247,-26
"373",29,13,-42
"374",29,43,-21
"375",29,69,-65
"376",29,70,-43
"377",29,71,-25
"378",29,72,-30
"379",29,79,-25
"380",29,158,-22
"381",29,205,-24
"382",29,206,-21
"383",29,207,-24
"384",29,208,-32
"385",29,209,-20
"386",29,218,-23
"387",29,219,-22
"388",29,220,-33
"389",29,231,-41
"390",29,232,-25
"391",29,246,-71
"392",29,247,-38
"393",30,13,-23
"394",30,69,-20
"395",30,246,-37
"396",31,13,-33
"397",31,69,-56
"398",31,70,-46
"399",31,71,-30
"400",31,72,-31
"401",31,73,-24
"402",31,79,-34
"403",31,152,-24
"404",31,158,-27
"405",31,208,-22
"406",31,220,-23
"407",31,231,-27
"408",31,232,-26
"409",31,246,-43
"410",32,13,-21
"411",32,152,-35
"412",32,155,-93
"413",32,158,-52
"414",32,251,-21
"415",33,13,-26
"416",33,69,-37
"417",33,70,-26
"418",33,231,-23
"419",33,246,-42
"420",33,247,-22
"421",34,13,-63
"422",34,43,-47
"423",34,69,-60
"424",34,70,-37
"425",34,71,-27
"426",34,72,-27
"427",34,79,-30
"428",34,82,-32
"429",34,83,-40
"430",34,84,-32
"431",34,87,-21
"432",34,113,-33
"433",34,150,-23
"434",34,152,-106
"435",34,155,-87
"436",34,156,-64
"437",34,158,-190
"438",34,159,-29
"439",34,162,-36
"440",34,163,-21
"441",34,165,-49
"442",34,172,-41
"443",34,177,-36
"444",34,178,-25
"445",34,203,-21
"446",34,207,-24
"447",34,208,-31
"448",34,209,-23
"449",34,215,-25.830002
"450",34,218,-20
"451",34,219,-22
"452",34,220,-26
"453",34,231,-32
"454",34,232,-46
"455",34,237,-25
"456",34,238,-41
"457",34,239,-33
"458",34,247,-34
"459",34,248,-52
"460",34,249,-34
"461",34,251,-69
"462",34,252,-41
"463",34,253,-61
"464",34,254,-43
"465",34,255,-26
"466",34,256,-36
"467",34,257,-49
"468",34,258,-20
"469",34,268,-24
"470",34,269,-35
"471",34,271,-52
"472",34,272,-34
"473",34,273,-45
"474",34,275,-25
"475",34,279,-53
