A	Name	DiffB4ft
3463	70	0.03
4540	450	-8.46
5102	220	-1.86
5102	222	-3.09
5106	222	-0.1
5107	220	-6.14
5107	222	-2.9
5109	222	-0.03
5273	441	0.36
5273	442	0.36
5275	441	0.29
5275	442	0.26
5278	441	1.4
5278	442	1.37
5279	441	-110.04
5279	442	-71.79
5313	441	-2.68
5313	442	-2.36
5314	442	-42.49
5316	441	-84.87
5316	442	-96.78
5317	442	-9.14
5327	441	-64.34
5327	442	-65.49
5339	119	-60.98
5393	215	-39.46
5447	8	59.16
5449	8	418.03
5463	16	-0.04
5465	17	0.53
5465	41	-0.04
5468	16	505.63
5468	17	944.13
5468	41	165.44
5468	8	899.35
5474	15	127.31
5474	16	31.22
5483	16	-214.77
5485	16	-1.53
5485	19	33.88
5491	16	-0.02
5497	14	-18.64
5497	28	10.26
5498	22	2.79
5498	29	-0.01
5500	22	0.66
5500	29	-0.45
5502	19	0.93
5502	23	97.67
5503	14	-0.03
5503	45	1.42
5504	22	-86.78
5504	29	-39.83
5506	29	-0.28
5506	44	36.29
5507	29	0.46
5508	22	29.96
5508	29	4.82
5508	44	-0.13
5509	29	2.36
5509	44	2.77
5511	29	-21.07
5511	44	-55.78
5513	22	-0.3
5513	29	0.82
5513	44	-1.48
5539	14	0.01
5541	14	-1.21
5542	29	8.62
5544	28	42.42
5545	14	-13.3
5545	29	-0.02
5546	22	45.45
5549	29	43.43
5552	29	122.71
5554	28	0.06
5555	29	78.73
5558	22	453.07
5558	29	-9.96
5563	22	29.56
5563	29	0.1
5563	45	30.43
5565	22	15.61
5565	28	-0.51
5565	29	2.75
5567	28	0.03
5567	29	-0.02
5568	29	44.82
5570	14	24.48
5571	14	-112.97
5576	31	0.04
5578	28	-123.96
5578	29	11.75
5578	31	-94.96
5580	29	2.82
5581	31	18.52
5582	28	30.41
5587	29	-5.54
5588	28	1.2
5588	31	-0.2
5589	30	84.24
5595	28	-1.14
5595	31	-0.38
5644	14	1.38
5644	19	10.88
5644	23	82.08
5644	28	73.97
5646	19	0.11
5646	28	0.35
5647	19	0.03
5647	28	0.17
5656	14	-11.32
5656	19	0.05
5656	23	4.41
5656	28	-0.64
5659	19	0.61
5659	23	10.5
5660	14	-0.91
5660	28	0.09
5661	19	0.01
5662	23	42.46
5677	65	-91.95
5680	65	-92.78
5682	66	1593.43
5705	60	-1.72
5706	66	-58.19
5717	14	-6.84
5717	19	0.05
5717	44	-0.94
5718	44	0.43
5719	19	-0.49
5719	23	1.9
5719	28	1.94
5721	28	3.64
5722	23	51.78
5724	14	-40.35
5724	19	0.78
5724	44	-0.7
5725	23	128.74
5725	28	-0.11
5727	22	5.41
5727	29	1.14
5728	14	6.4
5728	29	4.45
5728	41	13.39
5729	15	123.65
5729	22	404.04
5729	23	75.27
5729	28	-26.58
5731	47	-0.01
5736	1	0.97
5737	39	-936.94
5739	39	3.29
5740	39	-20.94
5742	39	-516.85
5742	47	104.66
5742	CT2	53.07
5745	39	-31.96
5748	39	-34.4
5751	39	-11.11
5752	39	-252.22
5752	CT2	1924.08
5757	CT2	106.91
5761	11	-572.37
5830	64	-0.43
5830	85	-0.68
5830	CT2	-0.19
5858	80	-188.32
5858	87	-71.78
5858	88	-271.52
5861	80	-55.41
5861	87	-13.74
5861	88	-90.41
5863	88	-353.62
5877	111	-0.59
5884	8	-120.1
5886	57	-215.22
5886	8	-89.36
5889	57	-70.6
5901	57	-183.48
5906	57	-28.04
5938	64	-32.56
5943	64	-1.01
30366	450	49.87
30448	455	80.44
30448	459	11.98
30469	436	61.77
30633	455	-33.04
30633	459	-35.22
30659	436	2.41
30798	455	99.33
30798	459	92.27
30888	441	-0.05
30985	450	15.63
31107	436	76.19
31136	450	53.26
31169	441	294.06
31186	436	7.07
31211	455	0.09
31211	459	0.05
31270	435	68.7
31301	441	-1.8
31438	436	174.09
31480	455	15.52
31480	459	15.11
31567	435	121.29
31616	436	25.03
31616	455	18.08
31616	459	15.67
31686	442	-0.12
31693	435	6.57
31717	442	0.48
31751	441	0.66
31753	429	-0.04
31756	442	-0.18
31782	436	-0.74
31782	455	6.74
31782	459	4.46
31815	441	-0.01
31866	429	-0.1
31868	429	16.68
31868	436	38.68
31868	455	11.04
31868	459	-1.62
31935	441	-0.01
31946	429	-0.36
31958	426	-0.78
31976	441	116
31992	450	1.1
32003	426	-18.08
32003	429	-2.23
32003	455	10.65
32003	459	1.31
32029	426	-55.25
32029	429	-39.87
32029	441	-4.39
32029	442	31.12
32029	455	44.76
32029	459	12.71
32032	455	-0.44
32032	459	-0.44
32158	426	-0.49
32208	426	-115.94
32230	441	-0.01
32299	450	-0.03
32301	450	-33.16
32301	455	41.12
32301	459	45.48
32307	441	-116.94
32307	442	-166.88
32435	441	-0.17
32435	442	-0.15
32541	411	-0.02
32584	441	-0.1
32584	442	-0.13
32616	442	-2.12
32627	116	-188.79
32627	411	-16.11
32665	110	-398.61
32665	117	-219.42
32665	441	59.23
32665	442	-25.04
32665	455	-104.13
32669	110	-16.82
32669	117	-12.81
32669	411	-0.57
32669	455	-27.03
32674	441	-10.91
32674	455	-4.09
32747	119	-549.05
32757	119	-126.52
32921	435	0.43
32928	429	-3.19
32928	450	89.42
32929	429	-0.04
32930	441	-48.68
32947	426	-38.65
32947	450	3.55
32947	455	136.73
32947	459	127.74
32958	435	75.47
32971	455	84.75
32971	459	81.04
32973	455	5.43
32973	459	5.13
32974	436	42.09
32977	441	0.36
32977	442	0.36
32978	436	62.44
32995	441	244.39
32995	442	209.7
33014	441	15.74
33062	450	-8.19
33062	455	-1.45
33062	459	-2.38
33075	429	-0.32
33081	450	0.2
33087	441	-1.32
33090	435	27.44
33101	450	213.65
33124	441	-0.75
33124	442	-1.67
33125	441	24.64
33125	442	25.41
33129	441	6.51
33134	441	0.05
33134	442	1.78
33144	441	42.99
33144	442	87.57
33197	119	-9.38
33303	441	-4.19
33304	442	-4.73
33360	442	84.81
33365	455	-14.06
33369	429	51.33
33370	426	-8.08
33370	429	-3.35
33370	455	-3.3
33370	459	-6.11
33372	455	-0.17
33372	459	-0.43
33383	429	3.01
33383	435	-83.84
33401	429	-0.07
33401	442	-1.42
33451	435	11.86
33539	435	11.04
33599	436	35.67
33611	450	5.69
33654	455	-5.06
33654	459	-5.26
33657	455	-9.26
33657	459	-9.36
33668	442	-8.05
33758	441	-0.01
33767	442	0.5
33769	441	24.15
33769	442	23.93
33847	455	-15.25
33847	459	-16.16
33954	119	-91.44
33959	119	-1155.95
33960	119	-0.14
33993	116	-43.95
33993	411	-0.47
33993	441	-0.17
33993	442	-2.91
34010	455	-3.25
34010	459	-3.25
34011	426	-1.79
34011	429	13.77
34011	459	-0.49
34015	442	42.83
34016	429	3.31
34016	436	-101.43
34016	441	14.83
34016	442	9.64
34016	459	0.12
34060	442	246.45
34139	435	13.42
34196	441	14.68
34197	441	-0.01
34220	441	0.36
34220	442	0.36
34509	119	-241.15
34512	441	-0.01
34523	450	-240.42
34523	455	-46.93
34523	459	-43.16
34524	455	-30.14
34524	459	-30.21
34601	441	-0.22
34611	442	11.55
34756	442	-0.39
34795	441	-5.25
34795	442	-1.71
35393	216	-79.71
35654	214	3.44
35654	216	-0.32
35783	214	-2.33
35783	216	-4
35909	220	-30.71
35909	222	-27.14
35910	220	-47.62
35910	222	0.11
35914	220	-1.37
35914	222	-22.31
35924	220	-17.35
35924	222	-17.1
35972	214	-5.79
35972	216	-18.89
36339	220	-1.43
36339	222	-0.89
36355	220	-1.41
36355	222	-0.87
36412	220	-6.8
36433	220	-1.67
36433	222	-0.09
36437	220	-1.41
36437	222	-1.96
36441	220	-2.95
36441	222	-1.6
36442	220	-1.64
36442	222	-1.01
36454	220	-203.13
36454	222	-21.55
36463	222	-8.92
36469	220	-1.41
36469	222	-0.87
36472	220	-0.9
36472	222	-0.65
36494	220	-1.41
36494	222	-0.87
36522	222	17.89
36695	225	-2.56
37153	236	13.81
37172	225	-23.93
37198	222	1.33
37268	236	-2.21
38653	220	-1.48
38653	222	-0.91
38656	220	-1.46
38656	222	-0.9
38658	220	-1.41
38658	222	-0.87
38673	220	-1.44
38673	222	-0.9
38685	220	-1.41
38685	222	-0.87
38688	220	-178.19
38699	220	-1.41
38699	222	-0.87
38702	220	-3.95
38702	222	-2.44
38710	220	-1.41
38710	222	-0.87
38721	220	-2.08
38721	222	-1.29
38724	220	-1.61
38724	222	-1
39185	225	-92.58
39542	220	-1.32
39792	220	-68.62
39820	220	-1.41
39820	222	-0.87
39822	215	4.68
39822	225	61.24
39822	230	2.95
39822	236	10.19
39822	238	63.8
39824	225	255.2
39843	236	35.22
39848	236	42.95
39870	236	0.11
39879	222	-53.72
39885	222	-37.37
39887	225	-68.65
39897	222	-45.91
39974	236	0.24
39975	236	27.21
40024	220	-6.32
40208	236	5.7
41640	215	10.74
41728	215	0.53
41728	225	2.84
41728	230	0.51
41728	236	-5.26
41728	238	63.91
41729	215	11.49
41729	225	170.21
41729	230	-3.76
41729	236	-3.57
41729	238	-2.62
41789	215	0.09
41789	230	1.86
41789	236	0.13
41789	238	1.15
41801	215	0.64
41801	230	0.71
41801	236	0.59
41802	215	0.02
41831	215	9.85
41835	215	54.29
41866	230	0.01
41867	215	3.19
41867	230	3.31
41867	236	2.49
41867	238	9.51
41885	230	1.88
41885	236	1.14
41895	230	0.01
41918	230	4.73
41918	236	3.75
41966	238	19.43
41972	238	162.88
42163	230	12.56
42194	230	0.02
42200	236	49.48
42200	238	-0.39
42212	236	0.52
42220	230	-0.76
42241	236	-1.14
42250	230	-5.87
42252	236	-2.94
42257	236	-3.53
42260	230	-58.07
42264	236	2.79
42276	236	-31.12
42282	236	1.91
42303	230	-79.09
42403	230	-4.83
42479	230	-67.08
42523	238	167.61
43000	238	38.95
43004	238	24.65
43016	238	-1.01
43054	240	0.02
43066	238	-23.83
43068	240	-1.21
43100	240	2.83
43222	230	-0.1
43257	230	-43.77
43298	230	-0.02
43918	215	-8.00000000000001E-02
43918	225	3.78
43918	230	3.07
43918	236	-2.25
43918	238	1.22
43947	238	1.56
43954	215	1.38
43954	238	1.07
43961	215	1.02
43979	230	-1.03
44004	238	44.49
44036	238	0.61
44037	236	-0.43
44079	230	-0.68
44084	238	163.18
44087	238	-0.75
44088	238	159.86
44119	236	15.6
44317	238	-26.82
44319	238	-4.21
44441	236	-0.93
44441	238	0.09
44838	225	-29.89
44838	230	-1.99
44838	238	-12.35
44886	238	-6.07
44891	236	-9.06
44897	238	-25.3
44902	238	-1.67
45027	238	-0.5
45346	215	-1.02
45346	238	-8.46
45531	32	-7.34
45574	32	-0.37
45576	32	-0.39
45586	32	23.24
45590	32	4.56
45590	33	3.76
45591	33	-0.09
45596	33	1596.88
45632	32	2.96
45635	32	59.48
45643	33	771.86
45647	32	368.16
45647	33	-13.04
45672	32	-0.23
48897	33	482.03
49323	119	-6.71
49325	120	-1.34
49325	450	-15.19
49325	459	-18.3
49327	450	-3.21
49327	459	-0.69
49337	104	235.97
49337	109	5.48
49337	97	494.73
49351	110	-236.99
49351	116	-122.39
49351	117	-110.45
49352	110	-46.26
49352	117	-46.27
49352	119	-1.36
49353	450	-26.17
49353	455	-60.42
49353	459	-60.42
49354	116	-78.86
49354	411	-18.78
49354	450	0.23
49354	455	-1.45
49354	459	-0.01
49358	137	11.29
49404	120	67.78
49414	120	301.94
49423	116	-9.54
49426	116	-272.9
49479	111	-8.97
49481	116	-66.44
49481	117	-6.86
49488	116	-426.67
49488	117	-234.38
49489	111	-888.9
49489	116	-385.49
49489	117	-68.8
49499	111	-225.5
49500	111	-462.12
49500	116	-114.41
49501	111	-867.53
49501	116	-312.58
49501	117	13.04
49502	111	-233.55
49504	117	-3.77
49557	111	-1445.14
49564	116	-0.05
49564	117	-18.11
49565	116	-345.9
49565	117	-1325.95
49570	116	-6.94
49586	111	-0.57
49599	111	-2.31
49607	111	-213.51
49608	116	-114.63
49609	111	-2.28
49623	111	-130
49627	111	-0.62
49671	111	-0.07
49745	93	1050.97
49746	93	26.27
49748	93	123.59
49787	93	8.6
49802	93	9.55
49806	93	17.67
49829	80	1077.44
49832	88	1720.69
49832	90	220.18
49883	72	-0.28
49883	74	-0.01
49883	78	-0.23
49893	88	0.76
49893	90	0.14
49926	116	-0.06
49926	117	-12.95
49938	110	166.92
49938	117	-222.38
49953	119	-2.25
49989	411	-0.55
50001	119	-8.76
50042	450	-0.02
50044	116	11.85
50044	117	-12.11
50044	119	27.04
50112	110	114.11
50113	110	39.87
50120	116	-1.99
50136	119	-3.58
50138	119	-0.45
50142	116	-0.02
50320	111	-1279.51
50393	110	657.9
50475	110	0.04
50486	110	207.74
50494	104	1.08
50494	109	3.93
50545	104	88.31
50553	110	918.43
50558	109	15.2
50607	411	-3.09
50607	426	-3.18
50607	429	-0.01
50637	109	88.79
50676	104	175.78
50676	109	-69.62
50676	97	-387.25
50677	104	168.63
50677	109	191.36
50677	97	-16.22
50684	105	8.83
50684	106	3.6
50684	99	3.17
50686	105	1.82
50686	99	0.52
50703	105	7.15
50703	106	3.17
50703	99	3.31
50712	105	11.14
50712	106	3.15
50712	99	2.86
50714	105	254.39
50714	106	-139.96
50714	99	-671.17
50715	105	6.88
50715	106	5.91
50715	99	0.72
50716	105	3.33
50716	106	3.17
50716	99	2.95
50718	105	7.45
50718	106	3.17
50718	99	2.95
50733	105	20.16
50733	106	33.07
50733	99	2.86
50771	97	40.6
50783	104	14.17
50787	104	401.27
50790	104	453.61
50790	109	297.48
50886	97	38.95
50923	105	58.35
50930	104	20.33
50965	105	87.03
51012	109	4.7
51022	104	110.28
51043	104	633.15
51056	105	53.42
51066	106	2.98
51066	99	2.67
51083	97	2054.79
51095	106	2.24
51095	108	1.95
51095	430	0.82
51101	106	0.92
51101	108	1.61
51101	430	0.7
51108	106	-0.47
51108	108	16.98
51108	411	-0.97
51108	430	4.23
51111	106	14.49
51111	108	1.37
51111	430	1.99
51166	132	-2.99
51166	99	-4.65
51169	99	-7.11
51175	136	0.05
51179	136	109.66
51182	132	0.23
51192	101	-25.73
51192	104	-20.58
51192	105	-8.83
51192	106	-386.76
51192	108	347.43
51192	411	-5.15
51192	430	-7.73
51192	99	-10.16
51197	136	-1.65
51213	137	-7.87
51214	136	-2.23
51221	137	15.91
51278	106	0.16
51278	108	0.04
51278	430	0.66
51302	106	-30.24
51399	136	0.31
51399	137	0.03
51401	136	0.06
51408	137	-0.05
51409	131	0.05
51409	136	0.56
51410	131	0.22
51410	136	0.02
51469	131	1.03
51469	136	0.87
51481	136	0.14
51513	411	-0.36
51515	411	-0.19
51519	411	-0.21
51533	430	2.27
51762	426	-2.71
51769	426	-3.26
51771	426	-3.62
51850	429	-0.06
51850	430	-0.02
51962	430	-37.81
52011	137	16.01
52034	131	1.77
52084	131	2.5
52118	131	-1.25
52623	136	0.13
52623	137	0.01
52689	136	0.21
53072	354	-321.28
53106	136	0.1
53141	110	551.44
53143	111	158.35
53190	111	-1921.57
53195	80	16.65
53195	94	-22.93
53195	96	-29.34
53226	426	-4.96
53226	430	-0.02
53232	426	-4.64
53232	430	-3.63
53251	137	0.72
53254	136	3.94
53264	136	0.01
53277	132	2.62
53316	132	-91.08
53395	69	535.95
53395	86	-679.76
53409	91	119.95
53410	83	425.27
53417	86	-94.39
53435	83	820.27
53435	86	3571.88
53443	85	114.86
53443	91	184.56
53443	CT2	291.13
53445	90	20.68
53465	96	23.14
53469	96	-7.17
53473	83	19.85
53475	87	1
53488	83	18.34
53488	87	0.77
53506	96	37.13
53507	87	-3.84
53512	83	290.49
53513	87	3.23
53515	87	1840.46
53552	87	-4.54
53589	86	1845.37
53590	91	-1.27
53590	CT2	321.75
53592	85	-3.73
53594	87	-0.02
53598	90	1105.31
53609	88	0.73
53609	90	0.14
53613	88	30.02
53613	90	11.13
53634	90	41.51
53637	88	1271.8
53637	90	97.49
53639	88	150.26
53639	90	54.12
53645	90	51.84
53647	86	-4.15
53647	CT2	-0.17
53654	85	21.47
53655	85	284.84
53658	85	176.86
53705	85	213.89
53712	91	-0.58
53712	CT2	-0.48
53729	87	-231.79
53729	88	372.04
53729	90	-51.17
53730	94	3.58
53730	96	-75.9400000000001
53731	80	6.2
53750	88	0.76
53756	88	0.05
53756	90	-0.12
53757	88	0.35
53757	90	-0.01
53762	88	1.08
53762	90	3.72
53799	87	-99.86
53799	88	1688.71
53799	90	163.45
53799	96	-52.1
53800	94	-93.61
53800	96	-182.18
53814	88	-14.22
53814	90	-61.02
53814	94	2.11
53814	96	-0.01
53825	87	4.07
53825	88	89.07
53825	90	-26.36
53830	88	57.07
53830	90	16.75
53848	94	-50.08
53871	80	14.9
53914	101	-27.2
53920	90	3.7
53931	101	0.63
53933	101	0.06
53934	101	-54.83
53934	89	0.56
53934	90	-1.39
53935	101	-80.13
53935	89	36.79
53935	90	49.72
53937	101	-53.88
53949	101	-41.59
53951	101	-2.81
