Z	DtaMerge_base	DtaMerge_1ft	DtaMerge_2ft	DtaMerge_3ft	DtaMerge_4ft	DtaMerge_5ft	DtaMerge_6ft
1	0.064870675	0.057451958	0.047091391	0.032349768	0.033347737	0.008042854	0.000000000
2	0.051564722	0.048062728	0.039720944	0.026635983	0.029287774	0.008500887	0.000000000
3	0.050213379	0.044262845	0.037140448	0.029947881	0.027088452	0.008201045	0.000417487
4	0.053286390	0.047433836	0.040126791	0.032776920	0.028183952	0.008924990	0.000901648
5	0.055409479	0.049178256	0.041717369	0.033903770	0.025438068	0.000000000	0.000000000
6	0.060340474	0.053790777	0.045148188	0.037459783	0.026350960	0.000000000	0.000000000
7	0.002646997	0.000985893	0.000479577	0.000468872	0.000392245	0.000000000	0.000000000
8	0.064062196	0.055984377	0.045089392	0.037898297	0.031685196	0.012478443	0.005139796
9	0.064642190	0.053991063	0.044765448	0.039052387	0.033824285	0.011472532	0.000000000
10	0.064942681	0.054842233	0.044374507	0.040373387	0.035192734	0.010902628	0.000000000
11	0.048325786	0.041556152	0.035038451	0.027010191	0.023382032	0.007539551	0.003076396
12	0.049856312	0.042735710	0.035641437	0.028303005	0.024383755	0.007801803	0.002771244
13	0.057609144	0.048138322	0.037476016	0.028201014	0.024115291	0.000000000	0.000000000
14	0.054923629	0.045066455	0.038854090	0.029036982	0.029112094	0.010880902	0.003860117
15	0.057896241	0.049207387	0.040636905	0.030243383	0.030435441	0.011913286	0.004848014
16	0.057422311	0.050521364	0.041086149	0.032521916	0.032409814	0.011886084	0.005042838
17	0.063340189	0.057098914	0.048016161	0.038755765	0.034435415	0.010756892	0.000000000
18	0.066327414	0.059569030	0.050474919	0.040364413	0.036280832	0.013571184	0.006207188
19	0.056742067	0.047106127	0.039946489	0.030364269	0.028268737	0.011859058	0.004924112
20	0.062286522	0.055233371	0.046237156	0.036208530	0.033203736	0.013446771	0.006286232
21	0.063535115	0.056037823	0.047208117	0.037270367	0.034190596	0.014165091	0.007095080
22	0.062628883	0.055133839	0.046542114	0.036811222	0.033760565	0.014026380	0.007066457
23	0.064811976	0.056787536	0.048048741	0.038992171	0.035641126	0.015741774	0.008619306
24	0.064002382	0.058104539	0.049310026	0.040600815	0.034279892	0.010074707	0.000000000
25	0.062370701	0.055542881	0.046674647	0.037892046	0.032742615	0.013264895	0.006623905
26	0.065504154	0.058309406	0.047977309	0.040781887	0.035137784	0.014566867	0.007401195
27	0.061236674	0.054157626	0.045306505	0.037237003	0.032138364	0.013041608	0.006049508
28	0.065146960	0.060316198	0.051097645	0.039838684	0.035457608	0.014645561	0.007386832
29	0.065087442	0.060515283	0.048372601	0.039565701	0.034879684	0.014655087	0.007528292
30	0.066617563	0.059239437	0.049456702	0.040937552	0.036110298	0.015327114	0.008074953
31	0.065924510	0.058176977	0.048778390	0.040509764	0.035865766	0.015223387	0.008142437
32	0.066379891	0.057630232	0.048336214	0.040703346	0.035452536	0.014335469	0.006524505
33	0.065592763	0.057494664	0.048844889	0.039641680	0.036039985	0.015400959	0.008272965
34	0.063729851	0.054510324	0.045999285	0.038585144	0.033781169	0.013662054	0.005905743
35	0.063573652	0.054112440	0.043787783	0.037049836	0.033648170	0.012954982	0.005549832
36	0.064052291	0.053007138	0.043888201	0.035702798	0.032170047	0.013293138	0.005958575
37	0.055501871	0.045434351	0.035662708	0.031533275	0.028094486	0.009916413	0.003469348
