Z,DtaMerge_base,DtaMerge_1ft,DtaMerge_2ft,DtaMerge_3ft,DtaMerge_4ft,DtaMerge_5ft,DtaMerge_6ft
1.0,0.11681,0.10573,0.08905,0.06711,0.07713,0.02544,0.0
2.0,0.10703,0.10223,0.08809,0.06606,0.0815,0.0312,0.0
3.0,0.09392,0.08442,0.07553,0.06773,0.06635,0.02771,0.00111
4.0,0.10195,0.09294,0.08372,0.07571,0.06852,0.02834,0.00134
5.0,0.10969,0.10002,0.09026,0.0821,0.06199,0.0,0.0
6.0,0.1251,0.1153,0.10308,0.09509,0.06457,0.0,0.0
7.0,0.00277,0.00064,0.00025,0.00025,0.00021,0.0,0.0
8.0,0.12908,0.11635,0.10155,0.09432,0.08162,0.04829,0.03246
9.0,0.13058,0.11339,0.09689,0.09462,0.08592,0.04146,0.0
10.0,0.12722,0.11028,0.09207,0.09383,0.08659,0.03598,0.0
11.0,0.08885,0.07721,0.06817,0.06492,0.05297,0.02412,0.01949
12.0,0.09361,0.08003,0.07021,0.09294,0.05598,0.03006,0.01752
13.0,0.1159,0.103,0.08153,0.06704,0.05747,0.0,0.0
14.0,0.11413,0.09639,0.08542,0.07293,0.07653,0.0413,0.02567
15.0,0.12189,0.10776,0.09038,0.07515,0.07906,0.04451,0.03069
16.0,0.11922,0.10684,0.09121,0.08338,0.08583,0.04666,0.03412
17.0,0.14114,0.13175,0.11895,0.11076,0.10197,0.04236,0.0
18.0,0.15127,0.13993,0.12647,0.11449,0.10764,0.06034,0.04657
19.0,0.11616,0.10073,0.08733,0.07387,0.07164,0.04474,0.03175
20.0,0.12937,0.11716,0.10422,0.09266,0.08815,0.05128,0.03845
21.0,0.13027,0.11767,0.10474,0.0925,0.08829,0.05141,0.03853
22.0,0.13037,0.11791,0.10573,0.09345,0.08906,0.05267,0.04008
23.0,0.14391,0.13046,0.11652,0.10485,0.10116,0.06447,0.05134
24.0,0.13704,0.12842,0.11636,0.10837,0.09303,0.03704,0.0
25.0,0.13568,0.12478,0.11246,0.10295,0.09195,0.0584,0.04576
26.0,0.14708,0.13598,0.11731,0.11462,0.10231,0.06575,0.05076
27.0,0.13123,0.12033,0.10758,0.09878,0.08881,0.05567,0.04134
28.0,0.14236,0.15851,0.14502,0.10971,0.10122,0.06302,0.04854
29.0,0.14267,0.14767,0.11681,0.10808,0.09867,0.06375,0.04962
30.0,0.14509,0.1574,0.11873,0.1101,0.10095,0.06409,0.04924
31.0,0.14283,0.13028,0.11617,0.10759,0.0997,0.06322,0.04809
32.0,0.14593,0.13215,0.11901,0.11117,0.10189,0.06396,0.04509
33.0,0.14558,0.13239,0.11816,0.10492,0.1021,0.06513,0.05193
34.0,0.13147,0.11675,0.10315,0.0952,0.08739,0.05291,0.03715
35.0,0.13419,0.11808,0.0981,0.09124,0.08945,0.05316,0.03952
36.0,0.13381,0.1154,0.09807,0.08623,0.07982,0.05041,0.03753
37.0,0.11029,0.09333,0.07432,0.0721,0.06577,0.03579,0.02489
38.0,0.1292,0.11073,0.08506,0.0834,0.08553,0.03158,0.02646
39.0,0.13104,0.10947,0.0888,0.0844,0.08203,0.03641,0.0
40.0,0.13096,0.11149,0.08758,0.07941,0.08223,0.0311,0.02373
41.0,0.12664,0.10838,0.09265,0.08404,0.08112,0.04424,0.0
42.0,0.12691,0.10784,0.08647,0.0794,0.08187,0.03055,0.02076
43.0,0.09902,0.07517,0.06163,0.05327,0.0,0.0,0.0
44.0,0.10588,0.09333,0.07036,0.04513,0.0,0.0,0.0
45.0,0.09691,0.08389,0.03975,0.03491,0.04381,0.0,0.0
46.0,0.12768,0.10749,0.08717,0.08339,0.08106,0.0224,0.01586
47.0,0.12638,0.10633,0.08821,0.08419,0.08163,0.0202,0.01274
48.0,0.09545,0.07578,0.06472,0.05383,0.04845,0.01405,0.0
49.0,0.10601,0.08885,0.06243,0.06896,0.06602,0.02632,0.01935
50.0,0.12486,0.10699,0.0833,0.08135,0.08211,0.03134,0.02475
51.0,0.13377,0.11555,0.09361,0.0911,0.09085,0.04327,0.0
52.0,0.13339,0.11368,0.09272,0.09074,0.08737,0.04359,0.02316
53.0,0.12643,0.10833,0.09066,0.08792,0.08435,0.0376,0.02228
54.0,0.12422,0.10642,0.08813,0.08559,0.08289,0.03711,0.02259
55.0,0.12186,0.10324,0.08286,0.08346,0.08016,0.03473,0.02596
56.0,0.12645,0.10973,0.09092,0.09021,0.08739,0.04482,0.02656
57.0,0.1281,0.11016,0.0889,0.08891,0.08669,0.04174,0.02516
58.0,0.11933,0.10364,0.0864,0.08512,0.08262,0.04047,0.02518
59.0,0.11933,0.10234,0.08385,0.08191,0.07987,0.03085,0.0
60.0,0.11946,0.10237,0.08488,0.07117,0.08125,0.03768,0.01614
61.0,0.1165,0.10131,0.0858,0.0834,0.08129,0.04023,0.02002
62.0,0.1194,0.09869,0.08067,0.07892,0.07045,0.02375,0.0
63.0,0.11162,0.09401,0.0775,0.07516,0.07176,0.02491,0.0
64.0,0.10271,0.08732,0.07514,0.07252,0.06793,0.02567,0.0
65.0,0.10699,0.0925,0.07931,0.07724,0.0736,0.03124,0.0
66.0,0.10561,0.07976,0.07014,0.06443,0.06354,0.01993,0.0
67.0,0.10289,0.08508,0.07414,0.07016,0.0664,0.02415,0.0
68.0,0.09764,0.08219,0.07209,0.06912,0.06464,0.02498,0.0
69.0,0.05499,0.03559,0.02165,0.0173,0.00073,0.00032,0.00013
70.0,0.06601,0.03842,0.02518,0.01709,0.00062,0.0,0.0
71.0,0.06346,0.03856,0.02572,0.0164,0.00106,0.00077,0.00064
72.0,0.05745,0.03668,0.02454,0.01625,0.00113,0.00078,0.00062
73.0,0.05564,0.0396,0.02276,0.01598,0.00064,0.00062,0.00049
74.0,0.05752,0.04636,0.02561,0.02269,0.00105,0.00061,0.00052
75.0,0.06163,0.0438,0.02577,0.02297,0.00152,0.00147,0.00099
76.0,0.0442,0.03256,0.01827,0.01684,0.00085,0.00053,0.00043
77.0,0.06202,0.04845,0.02565,0.02336,0.00024,0.00038,0.00028
78.0,0.04933,0.03713,0.02244,0.01676,0.00123,0.00054,0.0004
79.0,0.04341,0.03344,0.0207,0.01426,0.00106,0.00028,0.0
80.0,0.01929,0.01246,0.00773,0.00019,9e-05,0.0,0.0
81.0,0.06312,0.06301,0.05751,0.03391,0.00944,0.00393,0.00106
82.0,0.07518,0.07673,0.07026,0.03825,0.01139,0.00451,0.00119
83.0,0.06073,0.06026,0.05523,0.03351,0.01135,0.00462,0.0016
84.0,0.06363,0.06271,0.05759,0.03341,0.01359,0.00447,0.00138
85.0,0.07594,0.0675,0.06036,0.03628,0.01243,0.006,0.00128
86.0,0.0628,0.06579,0.05823,0.03857,0.01687,0.01006,0.00731
87.0,0.07767,0.07963,0.05875,0.05464,0.03417,0.0216,0.0
88.0,0.08937,0.07823,0.05951,0.05565,0.04228,0.03174,0.02467
89.0,0.11188,0.09817,0.08243,0.08082,0.07726,0.04113,0.02731
90.0,0.10822,0.09189,0.07614,0.07522,0.07238,0.03877,0.02488
91.0,0.10777,0.09197,0.0661,0.06789,0.05184,0.02466,0.00048
92.0,0.10181,0.09066,0.07068,0.06823,0.05499,0.03332,0.02296
93.0,0.10465,0.09358,0.07862,0.07712,0.07324,0.04336,0.03561
94.0,0.10249,0.09446,0.0795,0.07766,0.06897,0.04388,0.03874
95.0,0.10041,0.09086,0.077,0.0752,0.07039,0.04676,0.03984
96.0,0.10495,0.09681,0.08346,0.0811,0.07502,0.05439,0.04822
97.0,0.0965,0.09197,0.07809,0.07577,0.06531,0.05041,0.04477
98.0,0.09726,0.09107,0.07771,0.075,0.06611,0.05072,0.04583
99.0,0.09262,0.08361,0.07164,0.06947,0.06249,0.04504,0.03914
100.0,0.08265,0.07555,0.06468,0.06272,0.05638,0.04064,0.0366
101.0,0.08764,0.07448,0.06128,0.05506,0.04418,0.03694,0.03279
102.0,0.08554,0.07566,0.05615,0.01347,0.0,0.0,0.0
103.0,0.07511,0.06329,0.0561,0.0415,0.02004,0.0,0.0
104.0,0.07201,0.06934,0.05687,0.04052,0.03381,0.02909,0.02606
105.0,0.07547,0.0716,0.06059,0.04813,0.03978,0.03369,0.03017
106.0,0.07646,0.07065,0.0603,0.05017,0.04203,0.03632,0.03324
107.0,0.06553,0.05759,0.04766,0.03667,0.03099,0.02668,0.02551
108.0,0.06505,0.05934,0.05078,0.04092,0.03424,0.02967,0.0286
109.0,0.06855,0.06398,0.05476,0.04436,0.03762,0.03252,0.03136
110.0,0.0667,0.06052,0.05235,0.04584,0.03705,0.03251,0.03295
111.0,0.06105,0.05675,0.0493,0.0418,0.03386,0.02984,0.03087
112.0,0.05876,0.05044,0.04446,0.03673,0.03112,0.02781,0.02783
113.0,0.05658,0.04845,0.04206,0.03266,0.02846,0.02715,0.02757
114.0,0.059,0.05368,0.04703,0.04203,0.03622,0.03231,0.03176
115.0,0.08724,0.07165,0.06327,0.05977,0.0559,0.02397,0.02048
116.0,0.09315,0.08071,0.07126,0.06836,0.06439,0.03313,0.02782
117.0,0.09101,0.07995,0.06935,0.06705,0.06373,0.03382,0.02628
118.0,0.08157,0.073,0.06328,0.06108,0.05844,0.03534,0.03105
119.0,0.07813,0.06593,0.05859,0.05568,0.05266,0.02863,0.02534
120.0,0.08178,0.06931,0.06149,0.058,0.0555,0.03039,0.02666
