Z,transit_base,transit_1ft,transit_2ft,transit_3ft,transit_4ft,transit_5ft,transit_6ft
1.0,0.33262,0.29108,0.28697,0.2384,0.16823,0.05533,0.0
2.0,0.34612,0.3015,0.29399,0.24407,0.17125,0.05785,0.0
3.0,0.3282,0.28776,0.28281,0.23596,0.16482,0.06367,0.0
4.0,0.32659,0.28656,0.28096,0.23552,0.16406,0.06113,0.0
5.0,0.30719,0.2693,0.25868,0.20954,0.1527,0.0,0.0
6.0,0.3209,0.27872,0.26435,0.21326,0.14219,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.345,0.29352,0.27874,0.24335,0.16333,0.07782,0.04941
9.0,0.34838,0.29283,0.27744,0.24231,0.16382,0.07633,0.0
10.0,0.33286,0.29063,0.27792,0.24148,0.15899,0.06862,0.0
11.0,0.33078,0.28189,0.27405,0.22197,0.14939,0.07587,0.04715
12.0,0.33785,0.28456,0.27389,0.22246,0.14985,0.07193,0.0
13.0,0.33668,0.28494,0.27225,0.22369,0.0,0.0,0.0
14.0,0.33747,0.28427,0.27419,0.22295,0.15124,0.08555,0.05003
15.0,0.33173,0.28314,0.27059,0.22625,0.15835,0.10036,0.05026
16.0,0.35238,0.30556,0.29708,0.24516,0.17252,0.09838,0.04794
17.0,0.34135,0.30116,0.29615,0.24559,0.17218,0.06642,0.0
18.0,0.32757,0.28699,0.2832,0.23272,0.16191,0.09842,0.04773
19.0,0.32167,0.27919,0.26743,0.22804,0.15717,0.10363,0.04973
20.0,0.32735,0.28642,0.28253,0.23161,0.15994,0.09823,0.04763
21.0,0.31762,0.28251,0.27509,0.23085,0.15698,0.1017,0.0474
22.0,0.35509,0.30627,0.30134,0.25307,0.17604,0.10368,0.04807
23.0,0.35426,0.30707,0.29865,0.24242,0.16608,0.10472,0.04911
24.0,0.33939,0.30009,0.29372,0.24372,0.16998,0.07305,0.0
25.0,0.34062,0.30078,0.29315,0.24225,0.16608,0.0,0.0
26.0,0.34922,0.30462,0.29668,0.2432,0.16906,0.10336,0.04886
27.0,0.33576,0.29183,0.27885,0.2358,0.16737,0.10249,0.04927
28.0,0.34834,0.30792,0.29854,0.24528,0.17253,0.10372,0.04909
29.0,0.34644,0.30471,0.29708,0.2441,0.17134,0.1028,0.04817
30.0,0.34931,0.30453,0.29728,0.24457,0.17012,0.10439,0.04913
31.0,0.34729,0.30331,0.29339,0.24355,0.16879,0.10218,0.04828
32.0,0.34487,0.29499,0.28145,0.24193,0.16286,0.09238,0.04893
33.0,0.34016,0.30198,0.29761,0.24958,0.17719,0.10547,0.04922
34.0,0.34814,0.29479,0.28226,0.23978,0.16167,0.08886,0.04523
35.0,0.34932,0.30399,0.29149,0.24539,0.16609,0.10673,0.04907
36.0,0.34441,0.29922,0.28784,0.24413,0.16625,0.10778,0.05061
37.0,0.35548,0.31176,0.29681,0.24454,0.16784,0.1061,0.04845
38.0,0.34557,0.30679,0.29775,0.25799,0.1817,0.1138,0.04856
39.0,0.34167,0.30105,0.29209,0.24616,0.17093,0.0961,0.0
40.0,0.34639,0.30568,0.29538,0.25195,0.1753,0.09835,0.0474
41.0,0.35088,0.30775,0.30046,0.25518,0.17628,0.10406,0.0
42.0,0.35128,0.31104,0.30301,0.26063,0.18151,0.10205,0.04908
43.0,0.31497,0.27238,0.23882,0.0,0.0,0.0,0.0
44.0,0.31963,0.2728,0.0,0.0,0.0,0.0,0.0
45.0,0.31075,0.27668,0.26328,0.23459,0.14658,0.0,0.0
46.0,0.34459,0.30571,0.29669,0.25032,0.17311,0.11714,0.03227
47.0,0.34084,0.30391,0.29189,0.2517,0.17666,0.11358,0.00312
48.0,0.3197,0.28729,0.2785,0.2398,0.15228,0.0,0.0
49.0,0.32254,0.28666,0.27636,0.23837,0.16359,0.11625,0.0
50.0,0.35106,0.3114,0.30164,0.26029,0.18316,0.11279,0.02299
51.0,0.35726,0.31753,0.30719,0.26157,0.18444,0.11788,0.0
52.0,0.35887,0.31814,0.3066,0.26337,0.18526,0.13379,0.02801
