O,D,DIFF
11,201,-107
11,213,-106
11,214,-103
11,215,-261
11,316,-112
11,318,-220
12,215,-127
12,318,-105
143,215,-153
143,318,-123
143,424,-118
143,430,-115
163,424,-102
164,424,-126
164,430,-123
172,424,-204
172,430,-135
177,424,-295
177,430,-199
177,438,-118
178,424,-164
178,430,-128
178,961,-122
178,966,-101
201,202,-3085
201,203,-576
201,206,-135
201,209,-218
201,210,-215
201,212,-103
201,215,-197
201,261,-127
202,213,-299
202,214,-300
202,215,-620
202,302,-112
202,316,-203
202,318,-229
203,213,-202
203,214,-182
203,215,-341
204,207,-229
204,215,-218
206,207,-134
206,213,-121
206,214,-135
206,215,-320
206,316,-140
206,318,-230
207,210,-300
207,211,-300
207,212,-242
209,213,-180
209,214,-144
209,215,-331
21,215,-117
21,318,-114
210,213,-361
210,214,-409
210,215,-741
210,316,-162
210,318,-164
211,213,-270
211,214,-321
211,215,-691
211,316,-130
211,318,-124
212,213,-200
212,214,-326
212,215,-694
212,316,-131
212,318,-174
213,214,-435
213,215,-585
213,223,-177
213,261,-127
213,302,-50
213,303,-302
213,304,-148
213,305,-119
213,306,-116
213,307,-209
213,308,-167
213,309,-108
213,312,-113
213,313,-109
213,317,-132
213,318,-110
213,320,-108
213,321,-186
213,442,-124
213,443,-169
214,215,-1007
214,223,-232
214,224,-134
214,228,-106
214,229,-103
214,261,-125
214,303,-167
214,307,-144
214,316,-165
214,318,-174
214,319,-124
214,320,-146
214,321,-263
214,443,-113
215,216,-153
215,219,-101
215,223,-793
215,224,-390
215,226,-112
215,227,-150
215,228,-326
215,229,-305
215,230,-273
215,232,-214
215,236,-165
215,257,-104
215,260,-108
215,261,-314
215,263,-122
215,265,-131
215,302,-171
215,303,-410
215,304,-287
215,305,-216
215,306,-322
215,307,-492
215,308,-391
215,309,-252
215,310,-219
215,311,-392
215,312,-406
215,313,-309
215,314,-251
215,315,-260
215,316,-865
215,317,-443
215,318,-855
215,319,-385
215,320,-439
215,321,-700
215,322,-148
215,323,-226
215,324,-222
215,325,-219
215,326,-127
215,327,-199
215,328,-122
215,442,-218
215,443,-387
215,444,-175
215,445,-105
215,448,-112
215,449,-252
215,450,-236
215,467,-217
215,469,-145
215,470,-133
215,472,-176
215,473,-127
215,474,-124
215,476,-119
215,484,-110
215,489,-124
216,318,-126
223,316,-232
223,318,-424
224,316,-118
224,318,-247
227,318,-108
228,318,-187
229,316,-133
229,318,-232
230,316,-119
230,318,-225
232,318,-147
236,318,-125
25,215,-171
25,318,-145
253,289,-103
261,316,-136
261,318,-260
263,318,-107
265,318,-112
289,355,-102
289,356,-130
289,357,-145
289,358,-120
289,359,-120
289,360,-157
289,361,-143
289,367,-103
29,215,-101
302,303,-393
302,304,-289
302,305,-115
302,307,-319
302,308,-329
302,309,-145
302,313,-154
302,317,-123
302,320,-118
302,442,-114
302,443,-179
302,449,-149
303,316,-336
303,318,-407
304,316,-170
304,318,-192
305,316,-119
305,318,-125
306,316,-253
306,318,-270
307,316,-418
307,318,-408
308,316,-272
308,318,-318
309,316,-162
309,318,-170
31,215,-106
310,316,-113
310,318,-127
311,316,-297
311,318,-278
312,316,-350
312,318,-318
313,316,-226
313,318,-238
314,316,-171
314,318,-180
315,316,-159
315,318,-156
316,317,-335
316,318,-919
316,319,-458
316,320,-563
316,321,-575
316,322,-112
316,323,-108
316,325,-149
316,327,-139
316,442,-129
316,443,-204
316,449,-204
316,450,-142
316,467,-138
316,469,-126
316,470,-113
316,472,-111
317,318,-337
318,319,-739
318,320,-700
318,321,-802
318,322,-159
318,323,-177
318,324,-183
318,325,-239
318,326,-130
318,327,-182
318,328,-113
318,442,-142
318,443,-255
318,444,-107
318,449,-211
318,450,-159
318,467,-197
318,469,-133
318,470,-118
318,472,-160
318,473,-102
318,476,-131
318,484,-108
318,489,-106
328,730,-127
34,215,-229
34,316,-109
34,318,-199
421,424,-127
421,430,-108
422,424,-248
422,430,-218
422,438,-118
422,961,-115
423,430,-146
423,438,-141
423,708,-106
423,722,-106
423,961,-189
423,966,-166
423,969,-144
424,425,-481
424,426,-1160
424,427,-453
424,428,-212
424,429,-212
424,430,-457
424,432,-113
424,433,-132
424,434,-119
424,435,-121
424,436,-170
424,437,-260
424,438,-245
424,439,-137
424,440,-179
424,441,-220
424,708,-151
424,709,-182
424,713,-127
425,430,-599
425,438,-311
425,708,-246
425,713,-199
425,961,-172
425,966,-137
426,430,-888
426,438,-368
426,708,-185
426,713,-155
427,430,-711
427,438,-362
427,708,-234
427,713,-193
427,961,-150
427,966,-127
428,430,-352
428,438,-125
429,430,-409
429,438,-222
429,708,-111
430,431,-115
430,432,-221
430,433,-319
430,434,-268
430,435,-349
430,436,-432
430,437,-409
430,438,-265
430,439,-277
430,440,-289
430,441,-274
430,687,-114
430,688,-201
430,699,-108
430,701,-115
430,704,-107
430,708,-136
430,709,-204
430,713,-121
430,727,-103
432,438,-181
432,708,-121
432,713,-104
432,961,-103
433,438,-207
433,708,-116
434,438,-192
435,438,-462
435,708,-252
435,713,-203
435,961,-113
435,966,-50
436,438,-458
436,708,-267
436,713,-209
436,961,-112
437,438,-535
437,708,-163
437,713,-135
438,439,-292
438,440,-233
438,441,-500
438,687,-136
438,688,-287
438,709,-139
439,708,-214
439,713,-175
439,722,-210
439,961,-290
439,963,-188
439,966,-231
439,969,-249
439,971,-180
440,708,-200
440,713,-166
440,961,-50
441,708,-612
441,713,-529
449,730,-134
453,730,-146
457,730,-168
458,730,-224
458,739,-117
459,730,-273
459,736,-110
459,738,-109
459,739,-150
460,730,-248
460,736,-105
460,738,-113
460,739,-112
461,730,-520
461,736,-219
461,737,-150
461,738,-199
461,739,-225
462,730,-185
462,738,-104
462,739,-147
463,730,-523
463,736,-219
463,737,-148
463,738,-193
463,739,-341
464,730,-757
464,731,-123
464,733,-117
464,734,-134
464,735,-112
464,736,-275
464,737,-189
464,738,-301
464,739,-285
465,730,-235
465,738,-240
465,739,-485
466,730,-299
466,736,-141
466,738,-971
466,739,-2234
466,741,-319
466,743,-244
467,730,-104
472,730,-184
472,739,-104
476,730,-438
476,736,-184
476,738,-145
476,739,-179
480,730,-133
481,730,-315
481,736,-118
481,739,-138
483,730,-143
484,730,-180
484,739,-165
484,751,-121
485,730,-101
486,730,-190
487,730,-264
487,736,-104
487,739,-127
488,730,-129
488,739,-132
489,730,-106
489,739,-179
489,751,-117
490,738,-111
490,739,-540
490,741,-144
490,743,-209
491,739,-177
670,985,-189
681,985,-140
684,985,-240
685,971,-103
685,985,-239
686,961,-104
687,708,-143
687,713,-106
687,722,-120
687,961,-154
687,966,-139
687,969,-129
688,708,-225
688,713,-171
688,722,-127
688,961,-164
688,966,-142
688,969,-131
69,215,-112
693,961,-106
693,966,-102
694,961,-109
696,708,-103
696,961,-116
696,966,-103
697,708,-387
697,713,-386
698,708,-208
698,713,-194
699,708,-226
699,713,-193
70,201,-131
70,215,-177
70,318,-50
700,708,-237
700,713,-221
701,708,-193
701,713,-161
701,722,-151
701,728,-109
701,961,-227
701,962,-144
701,963,-194
701,964,-207
701,966,-189
701,969,-159
701,971,-134
702,708,-196
702,713,-185
703,708,-117
703,713,-101
703,722,-116
703,961,-160
703,963,-135
703,964,-139
703,966,-144
703,969,-111
704,708,-540
704,713,-434
704,722,-210
704,728,-114
704,961,-249
704,962,-160
704,963,-220
704,964,-205
704,966,-241
704,969,-187
704,971,-166
704,985,-111
706,708,-139
706,713,-106
706,722,-140
706,961,-161
706,963,-136
706,966,-158
706,969,-106
707,722,-110
707,961,-136
707,963,-107
707,964,-113
707,966,-145
708,709,-2601
708,710,-1323
708,711,-530
708,712,-798
708,717,-206
708,721,-131
708,723,-521
708,726,-371
708,727,-583
709,713,-2232
709,722,-108
709,728,-159
709,961,-120
709,966,-119
71,201,-128
71,215,-205
710,713,-1201
711,713,-500
711,722,-346
711,728,-279
711,961,-476
711,962,-347
711,963,-348
711,964,-454
711,966,-420
711,969,-314
711,970,-145
711,971,-253
711,975,-105
711,985,-383
712,713,-923
712,722,-125
712,961,-140
712,963,-114
712,964,-109
712,966,-151
713,717,-187
713,721,-108
713,723,-483
713,726,-625
713,727,-976
713,728,-123
714,966,-109
714,985,-161
715,985,-172
717,722,-260
717,728,-177
717,961,-319
717,962,-214
717,963,-238
717,964,-280
717,966,-320
717,969,-194
717,970,-101
717,971,-167
717,985,-255
718,966,-114
720,722,-175
720,728,-111
720,961,-202
720,962,-122
720,963,-138
720,964,-155
720,966,-239
720,969,-114
720,985,-141
721,722,-1513
721,728,-367
721,961,-800
721,962,-443
721,963,-467
721,964,-480
721,966,-814
721,969,-426
721,970,-193
721,971,-292
721,975,-123
721,985,-467
722,723,-469
722,724,-167
722,725,-237
722,728,-106
722,961,-949
722,962,-442
722,963,-521
722,964,-470
722,966,-3390
722,967,-121
722,968,-138
722,969,-486
722,970,-246
722,971,-398
722,972,-162
722,974,-210
722,975,-172
722,976,-152
722,979,-237
722,980,-135
722,982,-149
722,983,-168
722,984,-164
722,985,-587
723,728,-376
723,961,-643
723,962,-478
723,963,-478
723,964,-643
723,966,-559
723,969,-466
723,970,-197
723,971,-369
723,975,-155
723,985,-555
724,728,-835
724,961,-176
724,962,-338
724,963,-118
724,964,-109
724,966,-248
724,985,-101
725,728,-116
725,961,-314
725,962,-162
725,963,-214
725,964,-221
725,966,-330
725,969,-198
725,971,-164
725,985,-225
726,728,-935
726,961,-199
726,962,-302
726,963,-129
727,728,-183
728,961,-651
728,962,-1124
728,963,-370
728,964,-241
728,966,-212
729,730,-1442
729,731,-201
729,732,-136
729,733,-198
729,734,-272
729,735,-191
729,736,-453
729,737,-313
729,738,-674
729,739,-144
73,201,-124
73,207,-103
73,215,-195
730,731,-625
730,732,-638
730,733,-645
730,734,-1936
730,735,-563
730,736,-6266
730,737,-685
730,738,-997
730,739,-188
730,740,-102
731,732,-2183
731,736,-919
731,738,-131
732,733,-855
732,734,-966
732,735,-510
732,736,-954
732,737,-2612
732,738,-112
733,736,-955
733,738,-137
734,736,-2834
734,738,-233
735,736,-825
735,738,-117
736,737,-1118
736,738,-343
737,738,-217
738,739,-1444
738,740,-728
738,741,-263
738,743,-194
739,740,-5475
739,741,-6032
739,742,-501
739,743,-3041
739,744,-318
739,745,-406
739,746,-250
739,747,-140
739,749,-151
739,750,-150
739,751,-129
739,752,-177
739,753,-102
739,754,-115
739,755,-117
740,741,-626
740,743,-883
740,744,-115
741,742,-187
741,743,-7714
741,744,-993
741,745,-1002
741,746,-658
741,747,-302
741,749,-142
741,751,-247
741,752,-353
741,753,-136
741,754,-141
741,755,-173
741,756,-102
742,743,-234
742,744,-131
742,751,-175
743,744,-1462
743,745,-2091
743,746,-1540
743,747,-570
743,748,-174
743,749,-229
743,751,-425
743,752,-712
743,753,-216
743,754,-190
743,755,-258
743,756,-147
743,775,-128
744,745,-1763
744,746,-1269
744,747,-428
744,748,-116
744,749,-133
744,751,-322
744,752,-568
744,753,-176
744,754,-147
744,755,-209
744,756,-104
745,751,-1487
746,751,-883
747,751,-309
748,751,-159
749,751,-167
751,752,-2616
751,753,-538
751,754,-379
751,755,-427
751,756,-221
751,775,-179
77,201,-162
77,213,-109
77,214,-126
77,215,-254
77,316,-131
77,318,-154
77,424,-118
77,430,-108
77,708,-155
77,713,-124
77,722,-110
77,728,-110
77,736,-129
77,739,-129
77,743,-102
77,87,-107
77,961,-110
77,966,-105
77,985,-191
78,201,-187
78,214,-110
78,215,-244
79,201,-280
79,213,-171
79,214,-152
79,215,-344
933,953,-122
934,953,-111
938,985,-203
939,953,-207
941,953,-905
942,953,-313
947,953,-154
949,953,-612
95,215,-114
95,424,-145
95,430,-136
95,438,-129
950,953,-270
951,953,-269
952,953,-167
953,954,-393
953,955,-433
953,956,-564
953,957,-221
953,958,-153
953,960,-184
953,977,-104
961,964,-660
961,967,-103
961,968,-119
961,970,-237
961,972,-144
961,974,-234
961,975,-162
961,976,-206
961,979,-241
961,980,-133
961,982,-239
961,983,-182
961,984,-229
961,985,-527
962,964,-632
962,970,-287
962,974,-113
962,976,-140
962,979,-105
962,982,-197
962,983,-109
962,985,-154
963,964,-1472
963,970,-829
963,972,-110
963,974,-166
963,975,-119
963,976,-178
963,979,-196
963,980,-109
963,982,-203
963,983,-196
963,984,-145
963,985,-381
964,966,-976
964,969,-162
964,970,-294
964,971,-171
964,974,-111
964,976,-141
964,982,-198
964,983,-106
964,985,-140
965,966,-129
965,969,-132
965,971,-335
965,975,-252
965,982,-287
965,985,-726
966,967,-180
966,968,-210
966,970,-456
966,972,-261
966,974,-364
966,975,-293
966,976,-238
966,979,-367
966,980,-214
966,981,-106
966,982,-193
966,983,-192
966,984,-291
966,985,-969
967,969,-174
967,971,-431
967,975,-306
967,982,-477
967,985,-813
968,969,-215
968,970,-121
968,971,-611
968,975,-404
968,982,-558
968,985,-1257
969,970,-576
969,972,-246
969,974,-526
969,975,-381
969,976,-506
969,979,-422
969,980,-277
969,981,-181
969,982,-534
969,983,-328
969,984,-425
969,985,-1144
970,971,-422
970,972,-142
970,974,-227
970,975,-163
970,976,-218
970,979,-222
970,980,-134
970,982,-233
970,983,-167
970,984,-241
970,985,-492
971,972,-574
971,974,-1227
971,975,-1041
971,976,-1084
971,979,-825
971,980,-712
971,981,-367
971,982,-1062
971,983,-694
