O,D,DIFF
1,206,-102
1,243,-178
1,246,-186
1,247,-183
1,257,-194
1,82,-124
1,83,-154
1,84,-130
10,151,-118
103,104,-451
103,105,-101
104,282,-239
104,364,-121
106,261,-129
106,364,-103
107,364,-197
108,364,-208
109,364,-306
11,13,-224
11,208,-136
11,243,-159
11,245,-132
11,246,-111
11,248,-131
11,251,-149
11,253,-133
11,257,-338
11,258,-111
11,261,-109
11,271,-121
11,273,-105
11,279,-117
11,367,-101
11,69,-345
11,71,-433
11,82,-152
11,83,-121
110,261,-117
111,364,-283
112,261,-101
12,13,-117
12,251,-102
12,257,-115
12,71,-127
13,14,-124
13,15,-132
13,21,-115
13,23,-115
13,25,-102
13,261,-149
13,34,-126
13,37,-165
13,39,-105
14,261,-233
143,151,-299
143,152,-210
143,154,-176
143,155,-239
143,156,-195
143,158,-129
144,154,-120
144,155,-186
145,154,-220
145,155,-327
146,151,-319
146,152,-152
146,153,-111
146,154,-246
146,155,-133
146,158,-118
148,153,-118
148,154,-163
148,155,-121
149,155,-106
15,25,-152
15,261,-160
150,151,-168
150,154,-181
150,155,-134
156,260,-124
158,261,-738
16,243,-182
16,246,-147
16,247,-136
16,257,-126
16,69,-102
164,165,-174
172,425,-174
176,425,-223
18,210,-128
18,69,-592
18,71,-461
19,209,-106
19,69,-128
19,70,-138
19,71,-111
19,72,-128
19,73,-130
19,79,-146
196,198,-144
197,420,-146
199,420,-273
199,422,-282
2,243,-184
2,246,-148
2,247,-141
2,257,-141
2,82,-108
2,83,-106
2,84,-102
20,210,-324
20,69,-698
20,70,-127
20,71,-447
20,72,-124
203,209,-154
204,206,-865
204,216,-337
205,206,-531
205,207,-279
205,216,-135
206,207,-728
206,208,-645
206,217,-149
206,218,-150
207,208,-284
207,211,-263
207,212,-102
208,216,-180
21,209,-203
21,210,-720
21,243,-108
21,69,-863
21,70,-232
21,71,-1095
21,72,-231
21,73,-136
21,78,-186
21,79,-150
210,211,-157
211,214,-236
213,303,-326
214,215,-125
216,217,-161
216,218,-733
216,220,-324
216,222,-150
217,218,-155
218,219,-101
218,226,-127
219,220,-530
219,222,-207
219,231,-314
22,205,-242
22,206,-192
22,219,-112
22,225,-933
22,227,-172
22,229,-455
22,231,-184
22,243,-262
22,246,-222
22,247,-196
22,257,-129
22,323,-391
22,69,-196
22,70,-182
22,71,-155
22,72,-161
22,73,-154
22,79,-170
22,82,-103
22,83,-121
220,226,-291
222,226,-246
225,226,-676
23,209,-170
23,69,-145
23,70,-141
23,71,-125
23,72,-146
23,73,-146
23,79,-160
231,247,-117
232,243,-253
232,246,-282
232,247,-331
232,261,-110
232,263,-126
232,265,-112
238,240,-114
238,261,-165
242,243,-220
242,245,-248
242,246,-162
242,248,-154
242,249,-149
242,257,-110
242,261,-192
243,259,-227
243,260,-210
243,261,-943
243,263,-208
243,265,-159
245,259,-175
245,260,-157
245,261,-349
245,263,-175
245,265,-117
