Route,Mode,Base Ridership,4ft Ridership,Difference
Red ,3,275113.92,65868.26,-209245.66
Orange ,3,241823.27,134760.26,-107063.01
Green ,4,259868.8,187476.59,-72392.21
Blue ,3,61198.88,4043.42,-57155.46
111,1,16045.66,4201.51,-11844.15
86,1,20199.4,8709.91,-11489.49
Framingham ,5,13038.63,2735.22,-10303.41
39,1,24196.81,15192.77,-9004.04
71,1,10207.17,1410.05,-8797.12
7.0999999,1,9661.64,971.18,-8690.46
1,1,13775.2,5900.82,-7874.38
Fairmount ,5,7496.57,527.86,-6968.71
Haverhill ,5,7285.62,475.36,-6810.26
77,1,10112.97,3933.91,-6179.06
Attleboro ,5,15673.98,9912.95,-5761.03
9,1,22590.64,17194.69,-5395.95
Franklin ,5,14105.39,8925.58,-5179.81
70,1,7603.57,2441.85,-5161.72
Middleboro ,5,4243.45,183.61,-4059.84
96,1,10672.9,6785.63,-3887.27
93.19999695,1,11765.53,8042.6,-3722.93
501,1,4587.32,930.8,-3656.52
504,1,3872.09,316.79,-3555.3
73,1,6563.66,3084.8,-3478.86
Newburyport ,5,3436.32,153.33,-3282.99
116.4000015,1,3568.39,331.65,-3236.74
SL1,2,3031.06,0,-3031.06
117.5,1,3316.61,344.35,-2972.26
65,1,5608.97,2639.5,-2969.47
SILVER,2,16767.63,13878.23,-2889.4
50,1,4513.66,1756,-2757.66
104,1,6850.2,4122.99,-2727.21
Fitchburg ,5,3488.23,762.99,-2725.24
502,1,2875.88,151.43,-2724.45
64.59999847,1,6139.88,3427.68,-2712.2
95,1,8320.07,5671.36,-2648.71
Rockport ,5,2723.48,119.86,-2603.62
119.0999985,1,2344.82,102.93,-2241.89
350.3999939,1,2828.5,598.72,-2229.78
89,1,9326.37,7161.38,-2164.99
110,1,5410.6,3370.06,-2040.54
505,1,3597.8,1671.96,-1925.84
Kingston ,5,1921.58,72.32,-1849.26
Plymouth ,5,1921.58,72.32,-1849.26
109,1,2712.59,924.8,-1787.79
100.3000031,1,2795.37,1096.52,-1698.85
Stoughton ,5,7020.36,5328.82,-1691.54
51,1,4802.92,3200.06,-1602.86
75,1,1801.66,245.58,-1556.08
34,1,2929.78,1399.93,-1529.85
354,1,1716.2,205.82,-1510.38
35.09999847,1,3004.96,1610.71,-1394.25
Lowell ,5,1354.87,14.83,-1340.04
94,1,2758.64,1493.88,-1264.76
43,1,2164.91,915.21,-1249.7
210.3000031,1,1987.62,796.7,-1190.92
88,1,11540.01,10388.73,-1151.28
52,1,3818.81,2670.3,-1148.51
101,1,1375.71,266.67,-1109.04
87,1,4878.01,3793.52,-1084.49
37,1,1903.75,823.37,-1080.38
79,1,1223.9,206.79,-1017.11
78.09999847,1,1629.58,621.97,-1007.61
62.40000153,1,1526.25,547.85,-978.4
106,1,2596.4,1639.7,-956.7
220.3000031,1,971.4,23.25,-948.15
105.0999985,1,2409.12,1479.83,-929.29
101.4000015,1,1558.31,703.6,-854.71
11,1,1459.84,609.82,-850.02
99.69999695,1,2099.53,1316,-783.53
459,1,1532.74,753.79,-778.95
450,1,1913.31,1152.14,-761.17
222,1,985.18,228.49,-756.69
225,1,1792.42,1072.65,-719.77
76.30000305,1,815.57,138.27,-677.3
215.1000061,1,870.19,222.67,-647.52
132,1,1195.64,549.35,-646.29
74,1,1274.89,640.93,-633.96
36,1,1514.43,889.46,-624.97
60,1,1228.81,632.69,-596.12
211,1,1186.97,604.79,-582.18
441,1,1732.9,1156.49,-576.41
44.09999847,1,2581.14,2006.18,-574.96
20,1,1333.93,785.47,-548.46
554,1,1122.36,586.64,-535.72
442,1,1461.99,940.81,-521.18
238,1,2019.2,1570.44,-448.76
236.199997,1,918.1,521.18,-396.92
230.3000031,1,574.76,183.75,-391.01
LoganCirc ,2,390.09,0,-390.09
28,1,4204.69,3827.36,-377.33
40.5,1,1661.11,1333.53,-327.58
216,1,475.81,149.94,-325.87
14,1,2028.9,1707.13,-321.77
553,1,970.65,687.24,-283.41
426,1,311.87,47.05,-264.82
436,1,1245.76,996.35,-249.41
435,1,946.21,751.3,-194.91
455,1,1732.48,1556.07,-176.41
214,1,293.74,119.36,-174.38
68,1,276.69,102.84,-173.85
137.3000031,1,431.42,272.34,-159.08
430.5,1,169.01,17.41,-151.6
429,1,357.46,228.71,-128.75
411.7999878,1,84.43,0.29,-84.14
67.40000153,1,183.2,106.63,-76.57
136.5,1,164.12,130.54,-33.58
131.3999939,1,18.21,15.88,-2.33
42,1,267.72,269.05,1.33
134.6000061,1,105.4,166.88,61.48
240,1,43.68,143.71,100.03
24,1,528.02,661.14,133.12
16.20000076,1,2162.29,2401.72,239.43
17,1,3424.42,3683.1,258.68
31,1,1360.52,1681.17,320.65
59,1,3338.73,3732.14,393.41
19,1,616.34,1041.41,425.07
41,1,1453.66,1896.23,442.57
4,1,748.07,1257.03,508.96
SIIVERS,2,15509.07,16090.63,581.56
108.0999985,1,2067.19,2672.3,605.11
120,1,134.96,796.61,661.65
29,1,3356.99,4033.51,676.52
18,1,1383.1,2073.89,690.79
27,1,71.02,804.86,733.84
57,1,13789.38,14608.31,818.93
97.5,1,1581.78,2403.27,821.49
72,1,106.49,1006.3,899.81
30.20000076,1,924.85,1993.15,1068.3
45.09999847,1,2293.01,3395.26,1102.25
80,1,3922.99,5309.27,1386.28
47.79999924,1,3728.82,5121.42,1392.6
32,1,3975.19,5506.4,1531.21
91,1,832.36,2425.32,1592.96
90,1,3260.53,4889.67,1629.14
Needham ,5,16756.42,18409.54,1653.12
21,1,3917.26,5777.55,1860.29
23,1,7782.44,9810.7,2028.26
8,1,8172.5,10458.24,2285.74
66,1,28393.92,30790.72,2396.8
85,1,815.95,3400.2,2584.25
22,1,5982.18,8677.33,2695.15
83,1,846.1,3711.47,2865.37
69,1,4233.19,7317.1,3083.91
15,1,4339.79,7865.05,3525.26
92,1,3331.17,6874.22,3543.05
33.40000153,1,417.84,4037.66,3619.82
55.09999847,1,912.57,6004.67,5092.1
CT2 ,1,6268.5,23441.72,17173.22
