X,Y,masterid,start,end,time_diff,short_span,bc_ped_noi,bc_ped_nof,bc_ped_svA,bc_ped_svB,bc_ped_svC,bc_ped_svO,bc_ped_c_score,ac_ped_noi,ac_ped_nof,ac_ped_svA,ac_ped_svB,ac_ped_svC,ac_ped_svO,ac_ped_c_score,d_ped_noi,d_ped_nof,d_ped_svA,d_ped_svB,d_ped_svC,d_ped_svO,d_ped_c_score,sip_id,combo_treatment
-74.239371772269834,40.528223606551556,9924,2011-07-01 00:00:00,2011-08-31 00:00:00,61,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{11-RIS-08.0},"{""Moving Lane Changes-Narrowed-None"",Delineators-None-None,""Parking Space Removed-None-None"",""Sidewalk Expansion-None-None""}"
-74.188468348157173,40.523127616385942,32881,2010-03-01 00:00:00,2010-04-30 00:00:00,60,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{10-RIS-04.0},"{""Parking Markings-Parking Stripe-None"",""Added Median (Non-Tips)-Flush-None"",""Turn Bays-None--1""}"
-74.192174648755298,40.528314594217044,39233,2010-03-01 00:00:00,2010-04-30 00:00:00,60,1095,4,1,0,0,4,0,18,0,0,0,0,0,0,0,-4,-1,0,0,-4,0,-18,{10-RIS-04.0},"{""Ped Ramps-None--1"",Delineators-None--1,""Added Median (Non-Tips)-Flush-None"",""Signal Hardware-P5--1"",""Crosswalk Markings-High Vis--1"",""Signal Hardware-Standard--1"",""Tree Pits-None--1"",""New Crossing-Signalized--1"",""Ped Refuge Island-None--1"",""Parking Space Removed-Daylighting--1"",""Parking Markings-Parking Stripe-None"",""Tactile Strips-None--1"",""Turn Bays-None--1""}"
-74.193984569505503,40.530871046446443,34426,2010-03-01 00:00:00,2010-04-30 00:00:00,60,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{10-RIS-04.0},"{""Parking Space Removed-Daylighting--1"",""Turn Bays-None--1"",""Parking Markings-Parking Stripe-None"",""Added Median (Non-Tips)-Flush-None""}"
-74.193019766558237,40.529496924013053,16904,2010-03-01 00:00:00,2010-04-30 00:00:00,60,1095,2,0,0,0,2,0,4,1,0,0,0,1,0,2,-1,0,0,0,-1,0,-2,{10-RIS-04.0},"{""Ped Ramps-None--1"",""Added Median (Non-Tips)-Flush-None"",""Signal Hardware-P5--1"",""Crosswalk Markings-High Vis--1"",""Signal Hardware-Standard--1"",Delineators-None--1,""New Crossing-Signalized--1"",""Tree Pits-None--1"",""Ped Refuge Island-None--1"",""Parking Space Removed-Daylighting--1"",""Parking Markings-Parking Stripe-None"",""Tactile Strips-None--1"",""Turn Bays-None--1""}"
-74.189577820533444,40.524679725619883,1415,2010-03-01 00:00:00,2010-04-30 00:00:00,60,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{10-RIS-04.0},"{""Parking Space Removed-Daylighting--1"",""Turn Bays-None--1"",""Added Median (Non-Tips)-Flush-None"",""Parking Markings-Parking Stripe-None""}"
-74.191140981103871,40.526859982669826,3051,2010-03-01 00:00:00,2010-04-30 00:00:00,60,1095,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,2,{10-RIS-04.0},"{""Crosswalk Markings-Standard--1"",""Tree Pits-None--1"",""Signal Hardware-P5--1"",""Added Median (Non-Tips)-Flush-None"",""Crosswalk Markings-High Vis--1"",""Signal Hardware-Standard--1"",Delineators-None--1,""New Crossing-Signalized--1"",""Ped Ramps-None--1"",""Ped Refuge Island-None--1"",""Parking Space Removed-Daylighting--1"",""Parking Markings-Parking Stripe-None"",""Tactile Strips-None--1""}"
-74.166832554342292,40.547778996083821,3285,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.167572233748331,40.550574734066046,19654,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.16710438085515,40.5484695274423,31665,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
