x,y,sip_id_x,masterid,start,end,before_crash,after_crash,short_span,pdiff,sip_id_y,combo_treatment
-74.031059918088417,40.623462898106382,12-RIS-08.0,10134,2012-09-19 00:00:00,2012-09-21 00:00:00,6,6,-1,0,12-RIS-08.0,Turn Restrictions-None--1
-73.889330704887783,40.745785910668353,11-CI-02.0,16340,2011-08-15 00:00:00,2011-09-26 00:00:00,2,2,-1,0,11-CI-02.0,Parking Markings-Parking Stripe-None
-74.193019766558237,40.529496924013053,10-RIS-04.0,16904,2010-03-22 00:00:00,2010-04-09 00:00:00,1,1,-1,0,10-RIS-04.0,"(""Parking Markings-Parking Stripe-None"",""Added Median (Non-Tips)-Flush-None"",""Parking Markings-Parking Stripe-None"",""Ped Refuge Island-None--1"",""Parking Space Removed-Daylighting--1"",""Parking Space Removed-Daylighting--1"",""Signal Hardware-Standard--1"",""Tactile Strips-None--1"",""Signal Hardware-Standard--1"",""Signal Hardware-P5--1"",""Signal Hardware-P5--1"",""Ped Ramps-None--1"",Delineators-None--1,""Signal Hardware-P5--1"",""Turn Bays-None--1"",""Crosswalk Markings-High Vis--1"",""Crosswalk Markings-High Vis--1"",""Crosswalk Markings-High Vis--1"",""New Crossing-Signalized--1"",""Tree Pits-None--1"",""Added Median (Non-Tips)-Flush-None"")"
-74.164269531343052,40.543335501674456,12-TD-01.0,17566,2012-07-10 00:00:00,2012-09-07 00:00:00,5,2,-1,-1.5,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"")"
-74.162527502519623,40.541502706335002,12-TD-01.0,31835,2012-07-10 00:00:00,2012-09-07 00:00:00,1,2,-1,0.5,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"")"
-74.169472573142727,40.559126520473178,12-TD-01.0,25253,2012-07-10 00:00:00,2012-09-07 00:00:00,2,2,-1,0,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"")"
-74.169488861702604,40.57939637437012,12-TD-01.0,19969,2012-07-10 00:00:00,2012-09-07 00:00:00,3,2,-1,-0.5,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Offset"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Offset"",""Parking Markings-Parking Stripe-None"")"
-74.153984179755881,40.534273447802164,12-TD-01.0,34100,2012-07-10 00:00:00,2012-09-07 00:00:00,2,4,-1,0.5,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Bus Lane-From Moving-Offset"",""Moving Lane Changes-Removed-None"",""Parking Markings-Parking Stripe-None"")"
-74.15001121442738,40.537701328982777,12-TD-01.0,24904,2012-07-10 00:00:00,2012-09-07 00:00:00,1,2,-1,0.5,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"")"
-74.145901711504649,40.542427497276186,12-TD-01.0,30168,2012-07-10 00:00:00,2012-09-07 00:00:00,2,1,-1,-1,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"")"
