case_yr,masterid,p_total,p_inj,p_fat,b_total,b_inj,b_fat,a_total,a_inj,a_fat
2001,30,1,1,0,0,0,0,1,1,0
2001,84,1,1,0,0,0,0,1,1,0
2001,302,0,0,0,2,2,0,2,2,0
2001,451,2,2,0,0,0,0,2,2,0
2001,520,1,2,0,0,0,0,1,2,0
2001,932,1,1,0,0,0,0,1,1,0
2001,1514,0,0,0,2,2,0,2,2,0
2001,1573,0,0,0,1,1,0,1,1,0
2001,2130,1,1,0,0,0,0,1,1,0
2001,2717,1,1,0,1,1,0,2,2,0
2001,2767,0,0,0,1,1,0,1,1,0
2001,2921,1,1,0,0,0,0,1,1,0
2001,2961,0,0,0,1,1,0,1,1,0
2001,2971,0,0,0,2,2,0,2,2,0
2001,3092,1,1,0,0,0,0,1,1,0
2001,3149,0,0,0,1,1,0,1,1,0
2001,3341,2,2,0,0,0,0,2,2,0
2001,3385,0,0,0,1,1,0,1,1,0
2001,3519,1,1,0,1,1,0,2,2,0
2001,3557,2,2,0,0,0,0,2,2,0
2001,3724,1,1,0,0,0,0,1,1,0
2001,3810,1,1,0,0,0,0,1,1,0
2001,3824,0,0,0,1,1,0,1,1,0
2001,3865,1,1,0,0,0,0,1,1,0
2001,4211,1,1,0,0,0,0,1,1,0
2001,4489,1,1,0,0,0,0,1,1,0
2001,4714,1,1,0,0,0,0,1,1,0
2001,4823,0,0,0,1,1,0,1,1,0
2001,4883,1,1,0,0,0,0,1,1,0
2001,5210,1,1,0,0,0,0,1,1,0
2001,5465,1,1,0,0,0,0,1,1,0
2001,5652,2,2,0,0,0,0,2,2,0
2001,5687,2,2,0,0,0,0,2,2,0
2001,5873,1,1,0,1,1,0,2,2,0
2001,5957,2,3,0,0,0,0,2,3,0
2001,6034,1,1,0,1,1,0,2,2,0
2001,6331,1,1,0,1,1,0,2,2,0
2001,6430,0,0,0,1,1,0,1,1,0
2001,6467,0,0,0,1,1,0,1,1,0
2001,6542,0,0,0,2,2,0,2,2,0
2001,6845,2,2,0,0,0,0,2,2,0
2001,6864,1,1,0,0,0,0,1,1,0
2001,6958,3,3,0,0,0,0,3,3,0
2001,7264,1,1,0,1,1,0,2,2,0
2001,7272,1,1,0,0,0,0,1,1,0
2001,7519,7,7,0,0,0,0,7,7,0
2001,7821,0,0,0,1,2,0,1,2,0
2001,7928,1,1,0,0,0,0,1,1,0
2001,8227,1,1,0,0,0,0,1,1,0
2001,8283,2,2,0,2,2,0,4,4,0
2001,8371,0,0,0,1,1,0,1,1,0
2001,8408,2,2,0,3,3,0,5,5,0
2001,8529,1,1,0,0,0,0,1,1,0
2001,8572,1,1,0,0,0,0,1,1,0
2001,9604,1,1,0,1,1,0,2,2,0
2001,9679,1,1,0,0,0,0,1,1,0
2001,9748,0,0,0,1,1,0,1,1,0
2001,9842,2,2,0,0,0,0,2,2,0
2001,10373,1,1,0,0,0,0,1,1,0
2001,10431,2,2,0,0,0,0,2,2,0
2001,10795,1,2,0,0,0,0,1,2,0
2001,10850,1,1,0,0,0,0,1,1,0
2001,10947,1,1,0,0,0,0,1,1,0
2001,11276,1,1,0,0,0,0,1,1,0
2001,11336,6,9,0,0,0,0,6,9,0
2001,11633,0,0,0,1,1,0,1,1,0
2001,11644,0,0,0,1,1,0,1,1,0
2001,11798,0,0,0,1,1,0,1,1,0
2001,11849,0,0,0,1,1,0,1,1,0
2001,11961,1,1,0,0,0,0,1,1,0
2001,12015,1,1,0,0,0,0,1,1,0
2001,12147,0,0,0,1,1,0,1,1,0
2001,12364,1,1,0,0,0,0,1,1,0
2001,12519,1,1,0,0,0,0,1,1,0
2001,12823,0,0,0,1,1,0,1,1,0
2001,13174,0,0,0,1,1,0,1,1,0
2001,13378,2,2,0,1,1,0,3,3,0
2001,13447,1,1,0,1,1,0,2,2,0
2001,13523,1,1,0,1,1,0,2,2,0
2001,13609,2,2,0,0,0,0,2,2,0
2001,13612,1,1,0,0,0,0,1,1,0
2001,13704,2,2,0,0,0,0,2,2,0
2001,13721,1,1,0,1,1,0,2,2,0
2001,13739,1,1,0,2,2,0,3,3,0
2001,13741,1,1,0,0,0,0,1,1,0
2001,13835,1,2,0,0,0,0,1,2,0
2001,13905,1,1,0,1,1,0,2,2,0
2001,14374,1,1,0,0,0,0,1,1,0
2001,14569,1,1,0,0,0,0,1,1,0
2001,14669,1,1,0,1,1,0,2,2,0
2001,15134,2,2,0,0,0,0,2,2,0
2001,15145,1,1,0,0,0,0,1,1,0
2001,15380,1,1,0,0,0,0,1,1,0
2001,15554,1,1,0,1,1,0,2,2,0
2001,15666,3,3,0,0,0,0,3,3,0
2001,15801,3,3,0,0,0,0,3,3,0
2001,16362,1,1,0,0,0,0,1,1,0
2001,16474,1,1,0,0,0,0,1,1,0
2001,16501,1,1,0,0,0,0,1,1,0
2001,16656,3,3,0,1,1,0,4,4,0
2001,16703,1,1,0,0,0,0,1,1,0
2001,16798,1,1,0,0,0,0,1,1,0
2001,17380,0,0,0,1,1,0,1,1,0
2001,17577,0,0,0,1,1,0,1,1,0
2001,17628,1,1,0,0,0,0,1,1,0
2001,17848,1,1,0,0,0,0,1,1,0
2001,17892,1,1,0,1,1,0,2,2,0
2001,18105,1,1,0,1,1,0,2,2,0
2001,18156,1,1,0,0,0,0,1,1,0
2001,18170,1,1,0,0,0,0,1,1,0
2001,18274,1,1,0,1,1,0,2,2,0
2001,18308,0,0,0,1,1,0,1,1,0
2001,18453,1,1,0,0,0,0,1,1,0
2001,18466,2,9,1,1,1,0,3,10,1
2001,18603,1,1,0,0,0,0,1,1,0
2001,18712,2,2,0,1,1,0,3,3,0
2001,18713,1,1,0,0,0,0,1,1,0
2001,18901,0,0,0,1,1,0,1,1,0
2001,19085,1,1,0,0,0,0,1,1,0
2001,19112,0,0,0,1,0,1,1,0,1
2001,19236,1,3,0,0,0,0,1,3,0
2001,19286,1,1,0,0,0,0,1,1,0
2001,19412,1,1,0,0,0,0,1,1,0
2001,19560,4,4,0,0,0,0,4,4,0
2001,19643,1,1,0,0,0,0,1,1,0
2001,19886,1,1,0,0,0,0,1,1,0
2001,19965,1,1,0,0,0,0,1,1,0
2001,20067,1,1,0,0,0,0,1,1,0
2001,20173,1,1,0,0,0,0,1,1,0
2001,20317,1,2,0,0,0,0,1,2,0
2001,20654,0,0,0,1,1,0,1,1,0
2001,21031,1,1,0,0,0,0,1,1,0
