masterid,total,inj,fat,x,y
4,49,57,0,-73.9941576951161,40.741017731869
22,17,17,1,-73.8371507581026,40.7079337289618
28,37,42,0,-73.9113906668112,40.8378627345426
39,16,17,0,-73.9579917227863,40.7108517165989
43,20,24,0,-73.9591397566884,40.6521337968051
54,59,67,1,-73.961393669121,40.6521677860641
69,15,17,0,-73.8508687784155,40.8312007234828
84,20,25,0,-73.9668877262243,40.6834738051855
89,15,18,0,-73.9777946536206,40.7736307683377
97,19,19,0,-73.9371936899635,40.6937427452518
107,66,73,1,-73.9583507364516,40.7687867628811
109,8,12,0,-73.9344896827155,40.6535497689536
113,31,36,0,-73.9533796639557,40.6993977875792
124,13,14,0,-74.0063039791027,40.7225419686838
124,60,65,1,-74.0063026777793,40.7225337260253
136,13,12,1,-73.7706607317937,40.5959918058479
148,24,25,1,-73.9228377171071,40.6355858071112
164,20,24,0,-73.9399687289665,40.8360747372439
174,15,15,0,-73.9978776992624,40.7293087546561
180,24,23,1,-73.9838167043997,40.7407757117725
185,15,16,0,-73.9265487274774,40.7420107466035
186,12,12,0,-73.7575817627768,40.6057767301241
187,12,12,0,-73.9367477484119,40.6681187323294
188,15,16,0,-73.8661487380188,40.8714136969068
191,11,12,0,-73.9226277266371,40.6684157361333
197,13,14,0,-73.9424836729438,40.8322317406144
201,14,14,0,-73.9401976905479,40.8005517301805
202,22,26,0,-73.9894746609575,40.623360750182
203,16,16,0,-73.8694137736828,40.832526758302
209,46,52,0,-73.9733017021453,40.7609777879807
213,14,17,0,-73.9163607349846,40.6688327333642
222,20,20,0,-73.9820226635985,40.6132397937183
230,58,60,0,-73.9077687043538,40.8595967151644
242,16,19,0,-73.9317366709851,40.6179397703342
248,20,20,0,-73.8788747936489,40.7562877779343
250,15,17,0,-73.9305536670283,40.7612087766255
257,12,11,1,-73.9236557398455,40.6505027691907
279,24,22,2,-73.9933476646885,40.7190507685921
281,20,21,0,-73.8714937671555,40.7291467384215
288,29,31,0,-73.9359006801865,40.7995657647656
291,27,27,1,-73.7844787654153,40.7125277424885
