masterid,case_yr,cnt,inj,fat,geom
14,2008,1,1,0,0101000020D7080000E82F3E40E2082E41AAA4D34461870641
14,2013,1,1,0,0101000020D70800003DCBEF87E1082E414CE7F04379870641
30,2001,1,1,0,0101000020D7080000C8EE457CDE0D2E417D393A4FA0F50541
30,2003,1,1,0,0101000020D7080000C8EE457CDE0D2E417D393A4FA0F50541
30,2007,3,3,0,0101000020D708000044D6307CDE0D2E4130A5D14FA0F50541
30,2008,2,2,0,0101000020D708000044D6307CDE0D2E4130A5D14FA0F50541
30,2009,1,1,0,0101000020D7080000387E3970920D2E4129B5B72D92F60541
30,2009,2,4,0,0101000020D7080000C8EE457CDE0D2E417D393A4FA0F50541
30,2010,2,2,0,0101000020D7080000C8EE457CDE0D2E417D393A4FA0F50541
46,2012,1,1,0,0101000020D7080000F6FDFC8976002E415EE3F98B67BD0641
46,2013,1,1,0,0101000020D70800004223B7D175002E4149E0B88B7FBD0641
84,2001,1,1,0,0101000020D708000014254F5933512E419E561DC6F0FB0641
84,2003,1,5,0,0101000020D708000014254F5933512E419E561DC6F0FB0641
84,2004,1,1,0,0101000020D708000014254F5933512E419E561DC6F0FB0641
84,2009,2,2,0,0101000020D708000014254F5933512E419E561DC6F0FB0641
84,2011,2,2,0,0101000020D708000014254F5933512E419E561DC6F0FB0641
84,2013,1,1,0,0101000020D708000054A50DA232512E41D1FC48C708FC0641
84,2014,2,2,0,0101000020D70800004F540DA232512E4116A335C708FC0641
86,2004,1,1,0,0101000020D7080000DDFCEC95C2252E41735C783FDB220641
86,2007,1,1,0,0101000020D7080000B23C0196C2252E4162C03E40DB220641
86,2008,1,1,0,0101000020D70800002F7AED95C2252E41AE692440DB220641
240,2011,1,2,0,0101000020D708000009D782D1243A2E4106C6873E77A20741
240,2012,1,1,0,0101000020D708000009D782D1243A2E4106C6873E77A20741
240,2013,1,1,0,0101000020D70800003546561E1A3A2E412D9124D591A20741
302,2001,2,2,0,0101000020D7080000F4897EB2F42F2E4103D77475C4200741
302,2005,1,1,0,0101000020D7080000F4897EB2F42F2E4103D77475C4200741
302,2012,1,1,0,0101000020D7080000F4897EB2F42F2E4103D77475C4200741
302,2013,1,1,0,0101000020D70800001542CAFAF32F2E411EBEDA76DC200741
302,2014,1,1,0,0101000020D708000009F2C9FAF32F2E410064C776DC200741
317,2005,1,0,1,0101000020D7080000900E7A932F2B2E418567433D27450641
317,2006,1,1,0,0101000020D7080000900E7A932F2B2E418567433D27450641
317,2009,1,1,0,0101000020D7080000900E7A932F2B2E418567433D27450641
317,2011,1,1,0,0101000020D7080000900E7A932F2B2E418567433D27450641
317,2013,1,1,0,0101000020D70800005586D0DB2E2B2E418B6DC43B3F450641
332,2002,1,1,0,0101000020D7080000A086E08576232E41C3B53876279C0641
332,2003,1,1,0,0101000020D7080000A086E08576232E41C3B53876279C0641
332,2006,2,4,0,0101000020D7080000A086E08576232E41C3B53876279C0641
332,2007,1,1,0,0101000020D7080000A086E08576232E41C3B53876279C0641
332,2011,3,3,0,0101000020D7080000A086E08576232E41C3B53876279C0641
332,2012,1,1,0,0101000020D7080000A086E08576232E41C3B53876279C0641
332,2013,2,2,0,0101000020D7080000B3D612CE75232E41FDA3CC753F9C0641
332,2014,1,2,0,0101000020D7080000088712CE75232E41AF4EB9753F9C0641
357,2002,1,1,0,0101000020D7080000A0CE4C516D432E417E5EFD553ABA0641
357,2006,1,1,0,0101000020D7080000A0CE4C516D432E417E5EFD553ABA0641
357,2011,1,1,0,0101000020D7080000A0CE4C516D432E417E5EFD553ABA0641
357,2012,2,2,0,0101000020D7080000A0CE4C516D432E417E5EFD553ABA0641
451,2001,2,2,0,0101000020D7080000F2349BEF40042E41DF41930FCDEB0541
451,2002,2,2,0,0101000020D7080000F2349BEF40042E41DF41930FCDEB0541
451,2004,1,1,0,0101000020D7080000F2349BEF40042E41DF41930FCDEB0541
451,2010,1,1,0,0101000020D7080000768F11CDC7042E417BD5E3990EE90541
520,2001,1,2,0,0101000020D708000053EC74CADE2A2E41DFBD4AFBCA890741
520,2002,1,1,0,0101000020D7080000CADE6F88A42A2E410265AA92D18B0741
520,2002,2,2,0,0101000020D708000053EC74CADE2A2E41DFBD4AFBCA890741
520,2003,1,1,0,0101000020D7080000CADE6F88A42A2E410265AA92D18B0741
520,2003,3,3,0,0101000020D708000053EC74CADE2A2E41DFBD4AFBCA890741
520,2004,2,2,0,0101000020D7080000CADE6F88A42A2E410265AA92D18B0741
520,2004,1,2,0,0101000020D70800005B8278FD562B2E41ABF54622BD890741
520,2006,2,2,0,0101000020D708000053EC74CADE2A2E41DFBD4AFBCA890741
520,2007,3,3,0,0101000020D708000053EC74CADE2A2E41DFBD4AFBCA890741
520,2009,5,5,0,0101000020D7080000CADE6F88A42A2E410265AA92D18B0741
520,2010,2,2,0,0101000020D7080000CADE6F88A42A2E410265AA92D18B0741
520,2010,1,1,0,0101000020D708000053EC74CADE2A2E41DFBD4AFBCA890741
520,2011,2,3,0,0101000020D7080000CADE6F88A42A2E410265AA92D18B0741
520,2012,4,4,0,0101000020D7080000CADE6F88A42A2E410265AA92D18B0741
520,2012,1,1,0,0101000020D70800000FC8454B3A2B2E417B8F1EF7B58B0741
520,2013,3,3,0,0101000020D7080000C4FF9CD0A32A2E41F9956A95E98B0741
520,2013,1,1,0,0101000020D70800002B0DA312DE2A2E4141A004FEE2890741
520,2013,1,1,0,0101000020D7080000078330D8182B2E416B206E83CF8B0741
520,2013,1,1,0,0101000020D7080000854048374A2B2E416082133ED7890741
520,2014,2,2,0,0101000020D7080000B1AF9CD0A32A2E41E5385795E98B0741
520,2014,1,1,0,0101000020D708000038BDA212DE2A2E414344F1FDE2890741
635,2003,1,1,0,0101000020D708000062BF26818F5B2E411E8F57A9FC0B0741
635,2007,1,1,0,0101000020D7080000E884F7808F5B2E41808658A8FC0B0741
635,2014,2,2,0,0101000020D70800000A5E05CA8E5B2E411369B9AA140C0741
680,2002,2,2,0,0101000020D7080000D47287A561FE2D41C7037BAC36C90541
680,2003,1,2,0,0101000020D7080000D47287A561FE2D41C7037BAC36C90541
680,2005,1,1,0,0101000020D7080000D47287A561FE2D41C7037BAC36C90541
680,2007,1,1,0,0101000020D7080000D47287A561FE2D41C7037BAC36C90541
680,2008,3,4,0,0101000020D7080000D47287A561FE2D41C7037BAC36C90541
680,2010,1,1,0,0101000020D7080000D47287A561FE2D41C7037BAC36C90541
680,2012,1,1,0,0101000020D7080000D47287A561FE2D41C7037BAC36C90541
680,2014,1,1,0,0101000020D708000060E157ED60FE2D413D1FF5A84EC90541
734,2002,1,1,0,0101000020D708000040F14CF13E3B2E41529800D62FE50641
734,2005,2,2,0,0101000020D708000040F14CF13E3B2E41529800D62FE50641
734,2007,2,2,0,0101000020D708000040F14CF13E3B2E41529800D62FE50641
734,2008,1,1,0,0101000020D708000040F14CF13E3B2E41529800D62FE50641
734,2010,1,1,0,0101000020D708000040F14CF13E3B2E41529800D62FE50641
734,2011,2,2,0,0101000020D708000040F14CF13E3B2E41529800D62FE50641
734,2012,1,1,0,0101000020D708000040F14CF13E3B2E41529800D62FE50641
734,2014,2,2,0,0101000020D7080000FD06C5393E3B2E41B98CA2D647E50641
809,2004,1,1,0,0101000020D70800009E65C12A1F492E41D9083F56EAEE0641
809,2005,2,2,0,0101000020D70800009E65C12A1F492E41D9083F56EAEE0641
809,2006,2,2,0,0101000020D70800009E65C12A1F492E41D9083F56EAEE0641
809,2014,1,1,0,0101000020D708000038E40928F3482E4168FE88D3ABF00641
927,2010,1,1,0,0101000020D70800006707D8542F1E2E41A2636C304FC50641
927,2014,2,2,0,0101000020D70800004A89F39C2E1E2E4193DE6B3067C50641
932,2001,1,1,0,0101000020D70800002002726FC73A2E415136181A9D630541
932,2005,1,1,0,0101000020D70800002002726FC73A2E415136181A9D630541
932,2007,2,2,0,0101000020D70800002002726FC73A2E415136181A9D630541
932,2008,1,1,0,0101000020D70800002002726FC73A2E415136181A9D630541
932,2012,1,1,0,0101000020D70800002002726FC73A2E415136181A9D630541
932,2013,1,1,0,0101000020D70800007F8317B8C63A2E4192D4C715B5630541
963,2002,1,1,0,0101000020D7080000688CBAE192372E41455DE4A5F2FE0641
963,2003,1,1,0,0101000020D7080000688CBAE192372E41455DE4A5F2FE0641
963,2004,2,2,0,0101000020D7080000688CBAE192372E41455DE4A5F2FE0641
963,2008,1,1,0,0101000020D708000045653AE54B372E41B518423A8AFF0641
963,2009,1,5,0,0101000020D7080000688CBAE192372E41455DE4A5F2FE0641
963,2010,1,1,0,0101000020D7080000688CBAE192372E41455DE4A5F2FE0641
1119,2005,1,1,0,0101000020D7080000AFF180EF06172E41748D3BB192570741
1119,2013,1,1,0,0101000020D70800008D50733706172E41C1BB27B3AA570741
1155,2002,1,1,0,0101000020D708000034E89892BA342E41FE5DBA11A7B20641
1155,2003,1,1,0,0101000020D708000034E89892BA342E41FE5DBA11A7B20641
1155,2004,2,2,0,0101000020D708000034E89892BA342E41FE5DBA11A7B20641
1155,2005,1,1,0,0101000020D708000034E89892BA342E41FE5DBA11A7B20641
1155,2007,1,1,0,0101000020D7080000A8625692BA342E416125DB10A7B20641
1155,2011,1,1,0,0101000020D708000034E89892BA342E41FE5DBA11A7B20641
1155,2012,3,3,0,0101000020D708000034E89892BA342E41FE5DBA11A7B20641
1155,2014,1,1,0,0101000020D7080000B07B01DBB9342E41BD58A711BFB20641
1235,2008,1,1,0,0101000020D7080000E3FAF89D230C2E4169BF7812870F0641
1235,2009,1,1,0,0101000020D70800000081239E230C2E4107BECA11870F0641
1235,2010,3,4,0,0101000020D70800000081239E230C2E4107BECA11870F0641
1394,2012,1,1,0,0101000020D7080000871BF8F7A9122E41E66306FF5EE60541
1394,2014,1,1,0,0101000020D7080000E9550840A9122E41E5D908FC76E60541
1514,2001,2,2,0,0101000020D7080000135CB2982A1D2E41465D92C77D190741
1514,2003,1,1,0,0101000020D7080000135CB2982A1D2E41465D92C77D190741
1514,2005,1,1,0,0101000020D7080000135CB2982A1D2E41465D92C77D190741
1514,2009,1,1,0,0101000020D7080000135CB2982A1D2E41465D92C77D190741
1514,2012,1,1,0,0101000020D7080000135CB2982A1D2E41465D92C77D190741
1514,2014,2,3,0,0101000020D7080000784DC0E0291D2E41524BA8C895190741
