ID,fatalities,injuries,masterid,LAT,LNG
10048,0,16,10048,40.68840825,-73.98656822
37617,0,27,37617,40.68259427,-73.9626444
14981,1,41,14981,40.68151918,-73.98326434
19112,1,64,19112,40.68026662,-73.97469118
30726,0,5,30726,40.65836327,-73.98097797
11798,0,17,11798,40.68845873,-73.98271472
4219,0,20,4219,40.66406232,-73.96110887
27486,0,47,27486,40.69608701,-73.97343558
2331,0,2,2331,40.65531083,-73.9765707
10491,0,3,10491,40.65638086,-73.98065288
21419,0,34,21419,40.67279588,-73.98328198
20574,0,12,20574,40.66274337,-73.981728
37169,0,15,37169,40.69788507,-73.97180794
27353,0,13,27353,40.68781918,-73.96269328
4022,0,68,4022,40.68963131,-73.98573937
27228,0,10,27228,40.6847798,-73.96307205
20439,0,1,20439,40.67754968,-73.99136984
37377,0,31,37377,40.68752799,-73.97172666
14018,0,35,14018,40.6552461,-73.98179569
6148,0,15,6148,40.6936048,-73.99274366
37106,0,13,37106,40.6915448,-73.96849273
34609,0,0,34609,40.65203267,-73.97999354
5957,0,136,5957,40.68861555,-73.98916813
7272,0,26,7272,40.66214149,-73.98223034
28988,0,2,28988,40.6767725,-73.98550682
20654,0,45,20654,40.6818574,-73.98004655
28675,0,40,28675,40.66975122,-73.989212
4348,0,24,4348,40.68962189,-73.97312638
29201,0,4,29201,40.69170761,-73.97354019
34671,0,2,34671,40.65143684,-73.97579847
2921,0,13,2921,40.67869971,-73.9757493
18170,0,34,18170,40.66616952,-73.98880924
2717,0,105,2717,40.67737738,-73.97250255
16703,0,29,16703,40.65981686,-73.98784059
34614,0,32,34614,40.64952409,-73.98071175
11050,0,3,11050,40.68958294,-73.99467754
43895,0,0,43895,40.6749974,-73.99138441
17892,0,20,17892,40.67319917,-73.97632233
33052,0,40,33052,40.67536085,-73.96969318
20560,0,7,20560,40.67426161,-73.99199451
36739,0,3,36739,40.67384546,-74.0102398
13839,0,13,13839,40.69215444,-73.9934376
13477,0,8,13477,40.67794445,-74.00679656
3162,0,15,3162,40.65400237,-73.97992551
41907,0,16,41907,40.68214896,-73.98285436
32509,0,1,32509,40.65242102,-73.97900554
34550,0,0,34550,40.67648737,-73.98476595
34089,0,1,34089,40.67976211,-74.00522105
11364,0,21,11364,40.67893384,-73.96195644
37538,0,22,37538,40.68278057,-73.98241638
21292,0,22,21292,40.66857836,-73.98679977
2240,0,4,2240,40.67847947,-73.9932954
2639,0,1,2639,40.65848305,-73.98563745
22530,0,2,22530,40.67846823,-73.98782249
42922,0,13,42922,40.65945788,-73.9917997
2026,0,15,2026,40.65986276,-73.97751171
3724,0,36,3724,40.67590638,-73.96949739
11331,0,4,11331,40.65063708,-73.97783285
21673,0,17,21673,40.66676994,-73.98830661
41295,0,164,41295,40.69612593,-73.9871033
25536,0,45,25536,40.67575463,-73.97142293
11961,0,38,11961,40.6794191,-73.96822664
43278,0,145,43278,40.66666764,-73.99496503
4571,0,2,4571,40.68999904,-73.96332152
31532,0,0,31532,40.67620286,-73.99771821
43166,0,63,43166,40.6531894,-73.96621322
28030,0,0,28030,40.64994766,-73.97959824
5139,0,19,5139,40.66358978,-73.99108907
18466,1,160,18466,40.64729716,-73.98029116
34524,0,7,34524,40.66224717,-73.9888816
33891,0,21,33891,40.68024537,-73.98413878
30114,0,24,30114,40.69164378,-73.96753123
20620,0,13,20620,40.6509656,-73.97697181
3055,0,7,3055,40.66159482,-73.9793506
40760,0,62,40760,40.69612104,-73.97441834
4842,0,21,4842,40.66057741,-73.99063765
20173,0,3,20173,40.69189639,-73.97754497
15986,0,0,15986,40.69873631,-73.97744042
3341,0,72,3341,40.68794444,-73.98140045
40031,0,8,40031,40.68186889,-73.96347401
10629,0,3,10629,40.69180696,-73.98820701
13523,0,62,13523,40.67545484,-73.96326286
26872,0,3,26872,40.65263751,-73.98129697
4951,0,28,4951,40.67339876,-73.98278109
1963,0,26,1963,40.68675684,-73.97551988
6550,0,1,6550,40.68376501,-73.9869952
11431,0,8,11431,40.6700291,-73.97231721
41251,0,17,41251,40.65889902,-73.9923834
17959,0,0,17959,40.67321353,-73.99287512
6958,0,24,6958,40.6930477,-73.99072896
39192,0,4,39192,40.65793575,-73.98026754
39963,0,39,39963,40.65887308,-74.00293052
34916,0,0,34916,40.68398331,-73.97495529
11833,0,0,11833,40.659416,-73.98009217
4032,0,19,4032,40.68079008,-73.99172797
21039,0,2,21039,40.68280336,-74.00004865
35014,0,31,35014,40.69328656,-73.97385472
26472,0,24,26472,40.68901798,-73.98615534
24036,1,94,24036,40.67285693,-73.99906501
21009,0,8,21009,40.66984714,-73.98242842
28075,0,68,28075,40.6831311,-73.97918972
25118,1,123,25118,40.68608649,-73.98266032
13844,0,16,13844,40.66864205,-73.98343451
33461,0,9,33461,40.67735547,-74.00445543
41536,0,23,41536,40.65399497,-73.96414666
14569,0,16,14569,40.68844203,-73.9929667
36272,0,17,36272,40.67318224,-74.00260811
26028,0,11,26028,40.6844303,-73.96609457
12497,0,3,12497,40.67264237,-73.96966394
16253,0,12,16253,40.6586908,-73.98901287
26581,0,0,26581,40.67197619,-74.00089925
30003,0,44,30003,40.67215973,-73.98720922
8529,0,22,8529,40.68736513,-73.990035
41087,0,33,41087,40.69617752,-73.98035683
19284,0,28,19284,40.67995411,-73.98132916
12216,0,6,12216,40.65639232,-73.9737919
36992,0,15,36992,40.66563066,-73.98594773
8283,0,161,8283,40.68532363,-73.98070143
3489,0,10,3489,40.67784162,-73.99372511
30736,0,48,30736,40.69343307,-73.96590538
24827,0,18,24827,40.68306854,-73.99555743
42882,0,21,42882,40.68686534,-73.96446983
11855,0,18,11855,40.67530181,-73.96661255
41004,0,22,41004,40.68481315,-73.99176178
19643,0,15,19643,40.68374079,-73.99523241
21308,1,23,21308,40.67462543,-74.00771093
24,0,1,24,40.67175821,-74.00912812
33679,0,71,33679,40.64769374,-73.98036335
33293,0,13,33293,40.69014308,-73.98407034
40426,0,8,40426,40.66581508,-73.97583132
40166,0,69,40166,40.66803081,-73.98394302
11336,1,153,11336,40.68692929,-73.98482931
36222,0,29,36222,40.65935542,-73.99918679
35949,0,15,35949,40.67991562,-73.97493106
3519,0,30,3519,40.68405355,-73.98156152
14059,0,1,14059,40.6517823,-73.97488322
42529,0,16,42529,40.68088023,-73.9837114
26494,0,10,26494,40.67222183,-73.97381973
6394,0,25,6394,40.66905306,-73.99302899
86,0,11,86,40.66442521,-73.98695102
21396,0,87,21396,40.66507358,-73.99655866
32859,0,15,32859,40.68417832,-73.99219162
27445,0,56,27445,40.65775907,-74.00409979
35051,0,13,35051,40.67793904,-73.96565863
39939,0,154,39939,40.66891527,-73.99658761
33097,0,9,33097,40.67691591,-74.00288416
14399,0,15,14399,40.67669269,-74.00208993
41299,0,62,41299,40.68630969,-73.97443996
22562,1,21,22562,40.64912867,-73.97659642
42241,0,9,42241,40.65747887,-73.97951266
22750,0,9,22750,40.69456923,-73.99066542
34941,0,10,34941,40.66455161,-73.98022171
7187,0,6,7187,40.65406723,-74.00099519
29957,0,17,29957,40.64718167,-73.98132888
24259,0,29,24259,40.68468845,-73.98113227
17212,0,103,17212,40.68913674,-73.9907067
34808,0,36,34808,40.67260415,-73.99337906
24599,1,16,24599,40.67159109,-73.98428862
43861,0,7,43861,40.66924496,-73.98293217
10060,0,1,10060,40.64882283,-73.9715593
38466,0,17,38466,40.67206608,-73.99051727
3191,0,2,3191,40.67556936,-73.98553082
18713,0,133,18713,40.69584685,-73.96738296
7382,0,20,7382,40.65341634,-73.98145294
4441,0,2,4441,40.6760449,-73.99714858
36893,0,1,36893,40.68998648,-73.9827672
18156,0,68,18156,40.69023948,-73.99436093
35350,0,39,35350,40.67931926,-73.98176981
18274,0,164,18274,40.66328505,-73.96095595
23424,2,69,23424,40.67145847,-73.99102304
25406,0,353,25406,40.66318261,-73.96245016
21229,0,17,21229,40.65880944,-73.98171697
31425,0,66,31425,40.69313424,-73.96983119
35419,0,6,35419,40.65630686,-73.99867042
17875,0,6,17875,40.65407937,-73.97759635
17555,0,23,17555,40.66870544,-73.98006852
17492,0,9,17492,40.65734725,-73.97404458
