masterid,inj,fat,total_entrances,degree,total_racks,stwidth,max_stwidth,aadt2,total_stations,avg_facilfar,factryarea,garagearea,avg_numfloors,total_area,avg_builtfar,avg_assessland,avg_bldgdepth,lotarea,avg_lotdepth,min_numfloors,avg_lotfront,resarea,max_numfloors,comarea,strgearea,unitsres,officearea,avg_residfar,retailarea,bldgarea,avg_assesstot,avg_commfar,avg_bldgfront,unitstotal,x,y
4,34,0,"",4,10,108.105399777345,64.4117626230043,37551,"",7.89285714285714,0,14300,6.07142857142857,1425.53848870879,5.30964285714286,2622190.17857143,115.080357142857,362434,123.970357142857,0,81.7710714285714,391738,14,1897513,218690,387,1034840,7.65571428571429,524109,2289251,11474608,7.42857142857143,77.1071428571429,565,-73.994160783561,40.7410288222299
22,11,0,"",4,"",113.207416193084,63.8446873505524,35366,"",2.45454545454545,0,0,3.02272727272727,2066.30460859114,1.18954545454545,2295496.36363636,50.5454545454545,4404926,136.212272727273,1,64.5413636363636,639327,6,5991,0,481,0,2.23636363636364,0,645318,3016221.59090909,0,49.5231818181818,482,-73.8371470300029,40.7079570456801
28,26,0,"",4,"",150.145870822203,89.0425442646853,13068,"",3.70909090909091,0,0,3.04545454545455,2446.94470872753,2.11181818181818,105919.090909091,82.5881818181818,457573,134.323181818182,0,95.2504545454545,314120,6,528968,4000,466,431520,2.65818181818182,23232,843088,1255377.09090909,0,60.8636363636364,494,-73.9113930581761,40.8378627467635
39,14,0,"",4,3,108.777753141719,54.8969552653269,4399,"",4.8,0,4440,3.67857142857143,876.857543613414,2.75085714285714,105770.471428571,61.575,575780,105.690571428571,0,37.6975714285714,573260,6,92224,1680,679,16127,2.43,54501,665484,354844.214285714,0.194285714285714,26.9715714285714,750,-73.9580037143285,40.7108640914438
43,17,0,"",3,6,120.329243802119,66.7191248773387,26223,"",3.47169811320755,0,0,3.16981132075472,1206.76756602765,2.06094339622642,70343.0943396226,69.6901886792453,254187,105.559811320755,1,41.1281132075472,478529,6,167894,4783,458,33086,3.47169811320755,102950,646423,337867.716981132,0,39.23,522,-73.9591500104869,40.6521445569821
54,31,0,"",4,"",118.129783528032,64.4522875766774,33005,"",4,0,0,4.91666666666667,2473.02283940154,3.39277777777778,152679.555555556,103.708333333333,243456,147.263888888889,0,114.944444444444,964841,9,0,0,825,0,4,0,964841,967404.722222222,0,102.772777777778,825,-73.9614073968555,40.6521698576823
84,14,0,4,4,21,118.759596720129,60.9440034915072,18306,"",3.34285714285714,0,1682,3.16071428571429,878.223193857095,1.97528571428571,37559.9142857143,53.131,218086,92.986,0,30.9492857142857,306300,7,109522,0,360,33130,3.34285714285714,29112,415822,200861.314285714,0,26.781,398,-73.9668896223823,40.6834827311845
107,35,0,"",4,1,114.467937630063,61.8044325968008,45642,"",8.46511627906977,0,0,7.06976744186047,997.075784982747,4.42604651162791,922022.558139535,64.8567441860465,230038,95.9497674418605,0,49.77,1401684,22,100301,0,1428,33676,8.46511627906977,51885,1501985,3752655.20930233,0.511627906976744,41.9558139534884,1483,-73.9583617868226,40.7688025101489
113,26,0,"",4,"",156.813724992207,53.2771078989074,36589,"",4.8,24405,6904,4.05,1758.15878098651,3.98075,128521.55,60.65,881878,114.5535,0,76.8425,1397629,8,230291,78349,438,9000,2.81275,58629,1545688,961593.45,0.35,44.99175,499,-73.9533700071473,40.6994045410365
124,40,0,4,4,10,143.855625259031,79.6615772794778,60933,1,8.55882352941176,1000,0,5.11764705882353,2819.25114398835,4.42941176470588,1315862.58823529,59.7647058823529,197922,130.647058823529,0,116.108235294118,253259,23,1495607,66558,113,1342802,2.47882352941176,83119,1748866,10273063.9411765,8.35294117647059,51.3529411764706,196,-74.006298417455,40.7225495028739
