Name,Mode,Value
Blue ,3,20
Orange ,3,20
Red ,3,20
Green ,4,20
Attleboro ,5,25
Fairmount ,5,25
Fitchburg ,5,25
Framingham ,5,25
Franklin ,5,25
Haverhill ,5,25
Kingston ,5,25
Lowell ,5,25
Middleboro ,5,25
Needham ,5,25
Newburyport ,5,25
Plymouth ,5,25
Rockport ,5,25
Stoughton ,5,25
1,1,10
4,1,10
5,1,10
7.0999999,1,10
8,1,10
9,1,10
11,1,10
14,1,10
15,1,10
16.20000076,1,10
17,1,10
18,1,10
19,1,10
20,1,10
21,1,10
22,1,10
23,1,10
24,1,10
27,1,10
28,1,10
29,1,10
30.20000076,1,10
31,1,10
32,1,10
33.40000153,1,10
34,1,10
35.09999847,1,10
36,1,10
37.29999924,1,10
39,1,10
40.5,1,10
41,1,10
42,1,10
43,1,10
44.09999847,1,10
45.09999847,1,10
47.79999924,1,10
50,1,10
51,1,10
52,1,10
55.09999847,1,10
57,1,10
59,1,10
60,1,10
62.40000153,1,10
64.59999847,1,10
65,1,10
66,1,10
67.40000153,1,10
68,1,10
69,1,10
70,1,10
71,1,10
72,1,10
73,1,10
74,1,10
75,1,10
76.30000305,1,10
77,1,10
78.09999847,1,10
79,1,10
80,1,10
83,1,10
85,1,10
86,1,10
87,1,10
88,1,10
89,1,10
90,1,10
91,1,10
92,1,10
93.19999695,1,10
94,1,10
95,1,10
96,1,10
97.5,1,10
99.69999695,1,10
100,1,10
100.3000031,1,10
101,1,10
101.4000015,1,10
104,1,10
105.0999985,1,10
106,1,10
108.0999985,1,10
109,1,10
110,1,10
111,1,10
114,1,10
116.4000015,1,10
117.5,1,10
119.0999985,1,10
120,1,10
131.3999939,1,10
132,1,10
134.6000061,1,10
136.5,1,10
137.3000031,1,10
210.3000031,1,10
211,1,10
214,1,10
215.1000061,1,10
216,1,10
220.3000031,1,10
222,1,10
225,1,10
230.3000031,1,10
236.199997,1,10
238,1,10
240,1,10
350.3999939,1,10
354,1,10
411.7999878,1,10
426,1,10
429,1,10
430.5,1,10
435,1,10
436,1,10
441,1,10
442,1,10
450,1,10
455,1,10
459,1,10
501,1,10
502,1,10
504,1,10
505,1,10
553,1,10
554,1,10
CT2 ,1,10
LoganCirc ,2,10
SILVER,2,10
SL1,2,10
SLIVER,2,10
Blue ,3,20
Orange ,3,20
Red ,3,20
Green ,4,20
Attleboro ,5,25
Fairmount ,5,25
Fitchburg ,5,25
Framingham ,5,25
Franklin ,5,25
Haverhill ,5,25
Kingston ,5,25
Lowell ,5,25
Middleboro ,5,25
Needham ,5,25
Newburyport ,5,25
Plymouth ,5,25
Rockport ,5,25
Stoughton ,5,25
