Z,DtaMerge_base,DtaMerge_1ft,DtaMerge_2ft,DtaMerge_3ft,DtaMerge_4ft,DtaMerge_5ft,DtaMerge_6ft
1.0,0.994,0.92379,0.89436,0.75761,0.67977,0.37605,0.0
2.0,0.9943,0.93275,0.90303,0.8531,0.74441,0.56823,0.0
3.0,0.99493,0.92833,0.90086,0.85262,0.73514,0.55729,0.00086
4.0,0.99512,0.93166,0.90218,0.85709,0.73552,0.55602,0.00084
5.0,0.99427,0.93216,0.90224,0.85863,0.73322,0.0,0.0
6.0,0.99459,0.93589,0.90385,0.85616,0.73928,0.0,0.0
7.0,0.54123,0.05295,0.0018,0.00176,0.00169,0.0,0.0
8.0,0.99427,0.93679,0.906,0.85917,0.75675,0.58781,0.04904
9.0,0.99518,0.93755,0.91004,0.85918,0.77168,0.58149,0.0
10.0,0.99291,0.93639,0.90881,0.86075,0.77038,0.58372,0.0
11.0,0.98786,0.92555,0.89781,0.86058,0.72848,0.57576,0.04669
12.0,0.98786,0.92655,0.89978,0.86201,0.73345,0.57365,0.04669
13.0,0.99567,0.93833,0.9152,0.85778,0.47634,0.0,0.0
14.0,0.99526,0.93728,0.91009,0.86018,0.7681,0.64065,0.04939
15.0,0.99564,0.93811,0.91213,0.86383,0.77609,0.65109,0.04962
16.0,0.99436,0.9333,0.90581,0.86368,0.75536,0.61723,0.04863
17.0,0.99535,0.93516,0.90788,0.86437,0.75771,0.57787,0.0
18.0,0.99427,0.9353,0.9068,0.86366,0.75701,0.6132,0.04843
19.0,0.99512,0.93494,0.90765,0.85711,0.7621,0.64799,0.04909
20.0,0.991,0.93116,0.90436,0.8594,0.75523,0.63224,0.04497
21.0,0.98832,0.93104,0.90344,0.85766,0.75775,0.62061,0.04229
22.0,0.99011,0.9327,0.90596,0.85945,0.75993,0.6224,0.04408
23.0,0.99503,0.93784,0.91035,0.86573,0.77093,0.64744,0.04847
24.0,0.99474,0.93455,0.90727,0.85846,0.75588,0.5661,0.0
25.0,0.99201,0.93267,0.90454,0.85698,0.75206,0.38374,0.04832
26.0,0.99421,0.93545,0.90674,0.85902,0.75658,0.60055,0.04822
27.0,0.99394,0.93495,0.90559,0.85695,0.75534,0.6033,0.04863
28.0,0.9919,0.93693,0.90784,0.85671,0.75522,0.6112,0.04587
29.0,0.9919,0.93601,0.90443,0.85671,0.75426,0.60556,0.04587
30.0,0.99205,0.93697,0.90541,0.85506,0.75442,0.59097,0.04602
31.0,0.99257,0.9345,0.90453,0.85433,0.75769,0.5849,0.04602
32.0,0.99555,0.93766,0.90856,0.86187,0.76304,0.59716,0.04829
33.0,0.99514,0.93817,0.91046,0.85982,0.76443,0.6234,0.04858
34.0,0.99185,0.93343,0.90559,0.85496,0.75934,0.60507,0.04459
35.0,0.99339,0.93452,0.90874,0.85882,0.76989,0.62108,0.04613
36.0,0.99721,0.93946,0.91192,0.86521,0.77731,0.65606,0.04997
37.0,0.99339,0.93409,0.9081,0.85967,0.77126,0.62851,0.04613
38.0,0.99237,0.93768,0.91457,0.87463,0.79609,0.73055,0.05279
39.0,0.99578,0.93926,0.9169,0.87266,0.796,0.41172,0.0
40.0,0.99533,0.93881,0.91455,0.86697,0.78921,0.67574,0.04809
41.0,0.994,0.93667,0.91072,0.86029,0.77481,0.62186,0.0
42.0,0.99505,0.93953,0.91569,0.87089,0.78999,0.67817,0.04844
43.0,0.99671,0.93816,0.91255,0.52515,0.0,0.0,0.0
44.0,0.99594,0.93647,0.53186,0.5234,0.0,0.0,0.0
45.0,0.99438,0.93477,0.90931,0.85473,0.75808,0.0,0.0
46.0,0.99572,0.94002,0.91792,0.87797,0.79721,0.72275,0.05543
47.0,0.99491,0.94022,0.91697,0.8789,0.79941,0.73272,0.05677
48.0,0.99481,0.93677,0.91499,0.87365,0.776,0.4221,0.0
49.0,0.99563,0.94067,0.91967,0.88029,0.80177,0.7776,0.36562
50.0,0.99148,0.93678,0.91368,0.87282,0.79519,0.73753,0.05279
51.0,0.99429,0.9396,0.91634,0.8798,0.80163,0.76921,0.0
52.0,0.99588,0.94175,0.91934,0.88363,0.8054,0.78331,0.61739
53.0,0.99259,0.93883,0.91728,0.8807,0.80519,0.78606,0.62934
54.0,0.99259,0.93883,0.91781,0.88066,0.80552,0.78631,0.64017
55.0,0.99641,0.94265,0.9222,0.8836,0.80886,0.78771,0.65597
56.0,0.9959,0.94214,0.9228,0.88765,0.8145,0.79446,0.68388
57.0,0.99468,0.94126,0.91936,0.88278,0.80613,0.78665,0.64508
58.0,0.99606,0.94164,0.92239,0.88628,0.8128,0.79103,0.69022
59.0,0.99607,0.94209,0.91814,0.88033,0.80025,0.73627,0.0
60.0,0.99614,0.94172,0.91943,0.88358,0.80541,0.78166,0.64703
61.0,0.99641,0.94199,0.92274,0.88655,0.81228,0.78826,0.69718
62.0,0.99638,0.9407,0.91671,0.87083,0.78949,0.65832,0.0
63.0,0.99659,0.94089,0.91672,0.87182,0.79576,0.6994,0.0
64.0,0.99575,0.94015,0.9178,0.87516,0.80145,0.74936,0.0
65.0,0.99558,0.93889,0.92211,0.88554,0.81034,0.77742,0.0
66.0,0.99482,0.9373,0.91517,0.86577,0.79185,0.70059,0.0
67.0,0.9943,0.93697,0.91634,0.87288,0.79783,0.74561,0.0
68.0,0.99344,0.93606,0.91746,0.87781,0.80081,0.75069,0.0
69.0,0.99185,0.90302,0.83982,0.64315,0.00399,0.00027,0.00013
70.0,0.99369,0.91438,0.85735,0.66601,0.00394,0.0,0.0
71.0,0.99428,0.9145,0.85287,0.67678,0.0043,0.00124,0.00089
72.0,0.99387,0.91378,0.84859,0.6623,0.00443,0.00131,0.0009
73.0,0.99256,0.91319,0.84071,0.66481,0.00432,0.00106,0.00071
74.0,0.99301,0.90475,0.83549,0.66243,0.00455,0.00124,0.00108
75.0,0.99376,0.91472,0.8507,0.65619,0.00432,0.00164,0.00137
76.0,0.98739,0.88454,0.80197,0.62484,0.00439,0.00107,0.00089
77.0,0.99392,0.91383,0.84861,0.65059,0.00392,0.00062,0.00047
78.0,0.98921,0.90032,0.82453,0.66309,0.02225,0.00123,0.00085
79.0,0.98515,0.8863,0.80149,0.65583,0.0258,0.00128,0.0
80.0,0.92557,0.76692,0.66492,0.00032,0.00027,0.0,0.0
81.0,0.99278,0.89652,0.87014,0.70534,0.47793,0.2875,0.00275
82.0,0.99347,0.90699,0.87986,0.73853,0.51172,0.34915,0.00225
83.0,0.99193,0.89123,0.86266,0.71734,0.50048,0.32399,0.00257
84.0,0.99251,0.89114,0.86333,0.75077,0.53412,0.33518,0.0024
85.0,0.99426,0.91661,0.87456,0.74422,0.60137,0.35329,0.00333
86.0,0.99329,0.89518,0.8616,0.77133,0.61932,0.58825,0.52095
87.0,0.99477,0.93958,0.92123,0.8952,0.48597,0.44055,0.0
88.0,0.99223,0.93817,0.9195,0.9016,0.84858,0.80789,0.75014
89.0,0.99447,0.93706,0.9225,0.88895,0.82599,0.80161,0.72011
90.0,0.99459,0.93809,0.92235,0.88775,0.81738,0.7983,0.69706
91.0,0.99378,0.93851,0.92391,0.89851,0.84167,0.78596,0.00083
92.0,0.99367,0.93839,0.92372,0.90303,0.84986,0.43973,0.38494
93.0,0.99447,0.93955,0.92437,0.89749,0.83053,0.80586,0.74746
94.0,0.99171,0.93758,0.92366,0.89964,0.84292,0.80735,0.74871
95.0,0.98792,0.93412,0.91985,0.89613,0.83853,0.8045,0.74511
96.0,0.99084,0.93568,0.91865,0.89904,0.8419,0.80776,0.74803
