Z,transit_base,transit_1ft,transit_2ft,transit_3ft,transit_4ft,transit_5ft,transit_6ft
1.0,0.01008,0.00956,0.00912,0.00858,0.00721,0.00027,0.0
2.0,0.01591,0.01498,0.01447,0.01363,0.01149,0.00032,0.0
3.0,0.009,0.0083,0.0081,0.00755,0.00653,0.00045,0.0
4.0,0.0085,0.00792,0.00769,0.00712,0.00602,0.00039,0.0
5.0,0.00638,0.00603,0.00583,0.00545,0.00323,0.0,0.0
6.0,0.00878,0.00831,0.00797,0.00739,0.00188,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.00912,0.00817,0.00756,0.00716,0.00559,0.00234,0.00056
9.0,0.0105,0.00916,0.00793,0.00684,0.00533,0.00112,0.0
10.0,0.0088,0.00777,0.00704,0.00624,0.00502,0.0005,0.0
11.0,0.00787,0.00737,0.00684,0.00641,0.00501,0.00139,0.00126
12.0,0.00876,0.00803,0.00751,0.00706,0.00527,0.00113,0.0
13.0,0.0091,0.0083,0.00772,0.00427,0.0,0.0,0.0
14.0,0.00847,0.00767,0.00727,0.00689,0.00527,0.00267,0.00184
15.0,0.00849,0.00772,0.00704,0.00679,0.00599,0.00316,0.00261
16.0,0.01834,0.0174,0.0169,0.01597,0.01353,0.00278,0.00244
17.0,0.01522,0.01446,0.01402,0.01326,0.01131,0.00068,0.0
18.0,0.012,0.01135,0.01103,0.01037,0.00855,0.00331,0.00282
19.0,0.00857,0.00805,0.00758,0.0072,0.00618,0.00334,0.00287
20.0,0.01151,0.01088,0.01058,0.00992,0.00813,0.00357,0.00321
21.0,0.01169,0.01109,0.0108,0.00995,0.00842,0.00427,0.00355
22.0,0.02095,0.0199,0.01939,0.01826,0.0158,0.00736,0.00598
23.0,0.0174,0.01632,0.01569,0.01423,0.01221,0.00605,0.00516
24.0,0.01306,0.01235,0.01196,0.01125,0.00866,0.00077,0.0
25.0,0.01471,0.01393,0.01355,0.01275,0.00803,0.0,0.0
26.0,0.0137,0.01298,0.01257,0.01184,0.01004,0.00478,0.00385
27.0,0.00944,0.0089,0.00856,0.00799,0.0077,0.00365,0.00296
28.0,0.0165,0.01563,0.01507,0.01403,0.01204,0.00537,0.00443
29.0,0.01495,0.01418,0.01363,0.01259,0.01076,0.00488,0.00407
30.0,0.01479,0.01398,0.01354,0.01273,0.01048,0.00521,0.00437
31.0,0.01362,0.0129,0.01239,0.01152,0.00992,0.00533,0.00447
32.0,0.01165,0.01073,0.01028,0.00977,0.00717,0.00409,0.00433
33.0,0.01807,0.01723,0.01689,0.01527,0.0132,0.00681,0.00549
34.0,0.00981,0.00884,0.00832,0.00774,0.0063,0.00286,0.00228
35.0,0.01501,0.01407,0.01358,0.01266,0.01074,0.00583,0.00483
36.0,0.01336,0.0125,0.012,0.01118,0.00946,0.00499,0.00408
37.0,0.01907,0.0179,0.01727,0.01609,0.01365,0.00733,0.00602
38.0,0.01426,0.01343,0.01292,0.01197,0.01059,0.00414,0.00167
39.0,0.01396,0.01318,0.01273,0.01184,0.01026,0.00258,0.0
40.0,0.01527,0.01427,0.01389,0.01287,0.01118,0.00439,0.00182
41.0,0.01587,0.01503,0.01461,0.01375,0.01194,0.00445,0.0
42.0,0.01761,0.01672,0.01636,0.01531,0.01332,0.00505,0.00161
43.0,0.00722,0.00625,0.00352,0.0,0.0,0.0,0.0
44.0,0.00817,0.00546,0.0,0.0,0.0,0.0,0.0
45.0,0.00688,0.00649,0.00533,0.00496,0.00186,0.0,0.0
46.0,0.01508,0.01425,0.01373,0.0125,0.01095,0.00357,0.00013
47.0,0.01218,0.01155,0.01107,0.01011,0.00884,0.00232,0.00018
48.0,0.00882,0.00847,0.00812,0.00737,0.00394,0.0,0.0
49.0,0.00878,0.00805,0.00771,0.00624,0.00535,0.00165,0.0
50.0,0.01616,0.01531,0.01475,0.01387,0.01157,0.00239,0.00011
51.0,0.01642,0.01559,0.01499,0.01379,0.01191,0.00227,0.0
52.0,0.01759,0.01671,0.01611,0.01482,0.01307,0.00506,0.0002
53.0,0.01247,0.01181,0.01132,0.01056,0.0091,0.00263,0.0001
54.0,0.01264,0.01196,0.01148,0.01085,0.00955,0.00405,0.00013
55.0,0.01381,0.01296,0.01249,0.01055,0.00919,0.00364,0.0006
56.0,0.0115,0.01095,0.01058,0.00996,0.00883,0.00376,0.00037
57.0,0.01356,0.01274,0.0122,0.01173,0.01034,0.00382,0.00021
58.0,0.01285,0.01226,0.01188,0.01118,0.00987,0.00388,0.0003
59.0,0.01233,0.01171,0.01128,0.01055,0.00918,0.00137,0.0
60.0,0.01024,0.00973,0.00937,0.0089,0.00767,0.00192,6e-05
61.0,0.01078,0.01016,0.00984,0.00928,0.00821,0.00291,0.00018
62.0,0.01229,0.0116,0.01124,0.01042,0.0091,0.00132,0.0
63.0,0.00928,0.0088,0.00857,0.00793,0.00679,0.0004,0.0
64.0,0.00646,0.00615,0.006,0.00565,0.00483,0.00027,0.0
65.0,0.00776,0.0074,0.00717,0.0068,0.00598,0.00078,0.0
66.0,0.00503,0.00473,0.00461,0.00422,0.00354,1e-05,0.0
67.0,0.00627,0.00596,0.00582,0.00544,0.0046,0.00023,0.0
68.0,0.00495,0.00472,0.00458,0.00436,0.00375,0.00024,0.0
69.0,0.00352,0.00333,0.00322,0.00297,1e-05,1e-05,0.0
70.0,0.00297,0.00281,0.00271,0.00183,0.0,0.0,0.0
71.0,0.00409,0.00387,0.00375,0.00283,3e-05,2e-05,1e-05
72.0,0.0021,0.00198,0.00191,0.00147,2e-05,1e-05,0.0
73.0,0.00258,0.00243,0.00235,0.00214,2e-05,0.0,0.0
74.0,0.00257,0.00243,0.00235,0.00213,1e-05,0.0,0.0
75.0,0.00357,0.00338,0.00329,0.00299,5e-05,5e-05,2e-05
76.0,0.00024,0.00023,0.00021,0.00019,0.0,0.0,0.0
