Z,walk_base,walk_1ft,walk_2ft,walk_3ft,walk_4ft,walk_5ft,walk_6ft
1.0,0.00476,0.00433,0.00422,0.00416,0.00373,0.00072,0.0
2.0,0.00766,0.00722,0.00702,0.00691,0.00638,0.00096,0.0
3.0,0.00491,0.00468,0.00456,0.00448,0.00409,0.00103,0.00026
4.0,0.00583,0.00561,0.00543,0.00534,0.00424,0.00123,0.00035
5.0,0.00658,0.00642,0.0062,0.00615,0.00304,0.0,0.0
6.0,0.01015,0.00998,0.00955,0.00948,0.00334,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.00851,0.00839,0.0072,0.00715,0.00621,0.00386,0.00101
9.0,0.01014,0.00996,0.0094,0.00934,0.00891,0.00236,0.0
10.0,0.00884,0.00832,0.00788,0.00783,0.00747,0.00104,0.0
11.0,0.00599,0.00576,0.00567,0.00552,0.00506,0.00272,0.00212
12.0,0.00822,0.00685,0.00665,0.00639,0.00585,0.00168,0.0
13.0,0.00682,0.00631,0.00617,0.00368,0.0,0.0,0.0
14.0,0.00767,0.00701,0.00685,0.00656,0.00609,0.00389,0.00283
15.0,0.00842,0.00779,0.00761,0.00733,0.00683,0.00449,0.00372
16.0,0.00998,0.0095,0.00927,0.00909,0.0085,0.00524,0.00454
17.0,0.01306,0.01277,0.01242,0.01231,0.01125,0.00283,0.0
18.0,0.01294,0.01257,0.01222,0.01207,0.01112,0.00608,0.0053
19.0,0.00755,0.00717,0.007,0.00683,0.00643,0.00476,0.00406
20.0,0.01161,0.01116,0.01094,0.01076,0.01021,0.00812,0.00724
21.0,0.01319,0.0128,0.01251,0.01235,0.01167,0.00947,0.00847
22.0,0.01398,0.01369,0.01333,0.01321,0.01235,0.01015,0.00914
23.0,0.01427,0.01394,0.01359,0.01346,0.01264,0.01023,0.00915
24.0,0.01272,0.01248,0.01214,0.01203,0.00846,0.00122,0.0
25.0,0.01284,0.01259,0.01216,0.01206,0.00731,0.0,0.0
26.0,0.01515,0.01492,0.01432,0.01423,0.01244,0.0094,0.0082
27.0,0.01272,0.01252,0.0119,0.01182,0.01049,0.00815,0.00723
28.0,0.01662,0.01635,0.01587,0.01577,0.01433,0.01114,0.01001
29.0,0.01648,0.01622,0.01571,0.01562,0.01418,0.01101,0.00984
30.0,0.0162,0.01597,0.0154,0.01531,0.01398,0.01094,0.00972
31.0,0.0148,0.01459,0.0138,0.01372,0.01287,0.01025,0.00883
32.0,0.01309,0.0129,0.01202,0.01195,0.01129,0.0086,0.00699
33.0,0.01503,0.01478,0.01435,0.01424,0.01341,0.01085,0.00971
34.0,0.01208,0.01189,0.01126,0.01119,0.01062,0.0077,0.00636
35.0,0.01402,0.01377,0.01336,0.01327,0.0127,0.00983,0.00851
36.0,0.00908,0.00876,0.00856,0.00839,0.00796,0.00585,0.00489
37.0,0.01134,0.01105,0.01082,0.0107,0.01015,0.00783,0.00676
38.0,0.0096,0.0093,0.00903,0.00887,0.00858,0.00556,0.00331
39.0,0.00929,0.00903,0.00883,0.00863,0.00832,0.00286,0.0
40.0,0.00978,0.00954,0.00933,0.00917,0.00883,0.00419,0.0019
41.0,0.01015,0.00993,0.00966,0.00959,0.00919,0.00388,0.0
42.0,0.00891,0.00867,0.0085,0.00842,0.00808,0.00286,0.00136
43.0,0.00555,0.00434,0.00232,0.0,0.0,0.0,0.0
44.0,0.00649,0.00418,0.0,0.0,0.0,0.0,0.0
45.0,0.00516,0.00462,0.00353,0.00299,0.00116,0.0,0.0
46.0,0.0094,0.00898,0.00857,0.00834,0.00799,0.00437,0.00068
47.0,0.00806,0.00753,0.00721,0.0069,0.00653,0.00292,0.00014
48.0,0.00565,0.00518,0.00493,0.00441,0.00254,0.0,0.0
49.0,0.00548,0.00503,0.00482,0.00414,0.00364,0.00146,0.0
50.0,0.00949,0.00921,0.00894,0.00878,0.00851,0.00531,0.00314
51.0,0.0102,0.00985,0.00961,0.0094,0.00904,0.0027,0.0
52.0,0.00841,0.00805,0.00783,0.0076,0.00724,0.00422,0.00018
53.0,0.00782,0.00745,0.00725,0.00688,0.00629,0.00334,0.00081
54.0,0.00689,0.00661,0.00647,0.0061,0.00573,0.00375,0.00069
55.0,0.0064,0.00606,0.00592,0.00531,0.00491,0.00328,0.00057
56.0,0.00641,0.00616,0.00605,0.00559,0.00528,0.00382,0.00031
57.0,0.00771,0.00744,0.00729,0.00702,0.00673,0.00425,0.00034
58.0,0.00625,0.00605,0.00596,0.00566,0.00543,0.00383,0.00021
59.0,0.00702,0.00681,0.00667,0.00653,0.00627,0.00125,0.0
60.0,0.00688,0.00668,0.00657,0.00637,0.00611,0.00234,9e-05
61.0,0.00557,0.00541,0.00533,0.00508,0.00487,0.00268,0.00016
62.0,0.00615,0.00574,0.0057,0.00564,0.00535,0.00088,0.0
63.0,0.0054,0.00527,0.00521,0.00512,0.00487,0.0004,0.0
64.0,0.00419,0.0041,0.00406,0.00398,0.0038,0.00016,0.0
65.0,0.00401,0.0039,0.00386,0.00369,0.00352,0.00071,0.0
66.0,0.00356,0.00319,0.00316,0.00311,0.00282,7e-05,0.0
67.0,0.00417,0.00406,0.00403,0.00396,0.00376,0.00018,0.0
68.0,0.00347,0.00338,0.00335,0.00327,0.00312,0.00024,0.0
69.0,0.00021,0.00021,0.00019,0.00015,7e-05,4e-05,0.0
70.0,0.00034,0.00033,0.00027,0.0002,6e-05,0.0,0.0
71.0,0.00046,0.00046,0.00038,0.00032,0.00017,0.0001,9e-05
72.0,0.0005,0.00049,0.0003,0.00026,0.00016,0.0001,8e-05
