Z,walk_base,walk_1ft,walk_2ft,walk_3ft,walk_4ft,walk_5ft,walk_6ft
1.0,0.18611,0.16165,0.14572,0.14386,0.1227,0.06896,0.0
2.0,0.18837,0.17522,0.16314,0.15174,0.12442,0.0716,0.0
3.0,0.16903,0.15705,0.14109,0.13565,0.11756,0.07082,0.00086
4.0,0.16597,0.15616,0.1416,0.13726,0.11769,0.06718,0.00084
5.0,0.16931,0.15931,0.14698,0.14368,0.11477,0.0,0.0
6.0,0.1805,0.16959,0.1624,0.15329,0.11517,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.17071,0.16112,0.15576,0.14759,0.12854,0.07632,0.04609
9.0,0.19211,0.18114,0.17773,0.16932,0.14076,0.07261,0.0
10.0,0.18854,0.17765,0.17425,0.16317,0.14006,0.06976,0.0
11.0,0.18755,0.17609,0.16019,0.14824,0.12447,0.07238,0.0449
12.0,0.19834,0.18687,0.1708,0.15792,0.12803,0.07178,0.0
13.0,0.21715,0.20486,0.1954,0.16985,0.0,0.0,0.0
14.0,0.21049,0.19823,0.18775,0.17136,0.13331,0.082,0.04644
15.0,0.2138,0.20178,0.19175,0.17978,0.13822,0.08453,0.04667
16.0,0.19237,0.18107,0.16859,0.15901,0.1245,0.08179,0.04568
17.0,0.1887,0.17772,0.16958,0.15722,0.12729,0.07545,0.0
18.0,0.19304,0.18173,0.17355,0.15752,0.12621,0.08205,0.04548
19.0,0.20308,0.19168,0.18169,0.1595,0.126,0.08248,0.04614
20.0,0.19664,0.18535,0.17421,0.16176,0.12483,0.08199,0.04537
21.0,0.19693,0.18562,0.17786,0.16366,0.12565,0.08264,0.04381
22.0,0.18974,0.17877,0.17251,0.16334,0.12795,0.08235,0.04448
23.0,0.20047,0.1895,0.18324,0.17167,0.13915,0.08558,0.04552
24.0,0.18626,0.17528,0.16353,0.14993,0.12566,0.07089,0.0
25.0,0.18323,0.17226,0.16547,0.15373,0.12198,0.0,0.0
26.0,0.18543,0.17446,0.16948,0.15663,0.12957,0.08089,0.04527
27.0,0.18294,0.17197,0.16698,0.15503,0.12969,0.08079,0.04568
28.0,0.1857,0.17473,0.16876,0.15702,0.1319,0.08115,0.04549
29.0,0.18478,0.17381,0.16997,0.1582,0.13099,0.08023,0.04458
30.0,0.18574,0.17477,0.17093,0.15808,0.12988,0.08119,0.04554
31.0,0.18362,0.17265,0.16949,0.15834,0.13115,0.08034,0.04469
32.0,0.18405,0.17325,0.17009,0.15919,0.13133,0.081,0.04534
33.0,0.19163,0.18065,0.1775,0.16756,0.13209,0.0835,0.04563
34.0,0.18141,0.17044,0.16728,0.15613,0.12827,0.07798,0.04164
35.0,0.1991,0.18812,0.18497,0.17745,0.14009,0.08554,0.04548
36.0,0.2085,0.19735,0.19158,0.17716,0.13905,0.08707,0.04702
37.0,0.19888,0.18791,0.18407,0.17703,0.13961,0.08587,0.04486
38.0,0.21184,0.19936,0.1937,0.17371,0.14884,0.105,0.05163
39.0,0.2107,0.19879,0.19562,0.17995,0.15072,0.09427,0.0
40.0,0.20898,0.19706,0.19277,0.17823,0.15107,0.08781,0.04514
41.0,0.20256,0.19159,0.19021,0.18441,0.14964,0.08009,0.0
42.0,0.20374,0.19236,0.18988,0.18014,0.15189,0.08724,0.04549
43.0,0.22776,0.21475,0.18791,0.0,0.0,0.0,0.0
44.0,0.22571,0.20247,0.0,0.0,0.0,0.0,0.0
45.0,0.21374,0.20163,0.19181,0.16201,0.11822,0.0,0.0
46.0,0.21733,0.20516,0.19748,0.17562,0.14855,0.10484,0.04809
47.0,0.22139,0.20877,0.202,0.1722,0.15013,0.1031,0.01048
48.0,0.22122,0.20941,0.20358,0.16822,0.13858,0.0,0.0
49.0,0.22591,0.21395,0.20396,0.16834,0.14783,0.09794,0.0
50.0,0.21129,0.19882,0.19391,0.17138,0.15029,0.10578,0.05203
51.0,0.21643,0.20292,0.19948,0.17467,0.15298,0.10666,0.0
52.0,0.21213,0.20094,0.19709,0.17272,0.15446,0.11272,0.0159
53.0,0.22396,0.21258,0.20334,0.17581,0.15557,0.11254,0.00763
54.0,0.22045,0.20875,0.20459,0.17496,0.15585,0.11503,0.00719
55.0,0.22755,0.21597,0.20988,0.17552,0.15635,0.11248,0.00774
56.0,0.22466,0.21339,0.20682,0.17543,0.15731,0.11679,0.01086
57.0,0.21909,0.20771,0.20354,0.17417,0.157,0.11668,0.0103
58.0,0.21909,0.20782,0.20261,0.17459,0.15876,0.1195,0.0188
59.0,0.21003,0.19899,0.19735,0.17525,0.15467,0.10103,0.0
60.0,0.21644,0.20523,0.20276,0.1786,0.1602,0.11263,0.00661
61.0,0.21756,0.20647,0.20311,0.17819,0.16379,0.11615,0.02795
62.0,0.20234,0.18963,0.18844,0.17233,0.15449,0.08178,0.0
63.0,0.20587,0.19498,0.19203,0.17527,0.15534,0.07426,0.0
64.0,0.20466,0.19306,0.18976,0.17506,0.15658,0.03401,0.0
65.0,0.21762,0.20618,0.20148,0.17857,0.16275,0.06555,0.0
66.0,0.19129,0.17948,0.1783,0.16988,0.15328,0.00915,0.0
67.0,0.20559,0.19267,0.19033,0.1755,0.15866,0.02571,0.0
68.0,0.2038,0.19216,0.19095,0.175,0.15623,0.03829,0.0
69.0,0.00978,0.00961,0.00528,0.00396,0.00144,0.00027,0.00013
70.0,0.0132,0.01297,0.00929,0.00491,0.00194,0.0,0.0
71.0,0.01513,0.01488,0.01061,0.00859,0.0023,0.00099,0.00062
72.0,0.0154,0.01516,0.01002,0.00559,0.00243,0.00106,0.00063
73.0,0.01627,0.01559,0.01357,0.0101,0.00275,0.00106,0.00044
74.0,0.01266,0.01241,0.01113,0.00885,0.00455,0.00124,0.00108
75.0,0.01256,0.01232,0.00991,0.00499,0.00228,0.00164,0.00137
76.0,0.00551,0.00545,0.00491,0.0044,0.00234,0.00107,0.00089
77.0,0.00979,0.00962,0.00528,0.00458,0.0029,0.00062,0.00047
78.0,0.01575,0.01208,0.01139,0.00632,0.00222,0.00123,0.0
79.0,0.01363,0.0091,0.00793,0.00491,0.00235,0.00077,0.0
80.0,0.00391,0.00328,0.00032,0.0,0.0,0.0,0.0
81.0,0.13375,0.123,0.11396,0.10048,0.03028,0.00546,0.0
82.0,0.16059,0.15013,0.13686,0.12392,0.09284,0.02059,0.00168
