O,D,DIFF
103.0,104.0,-451
103.0,105.0,-101
104.0,282.0,-239
104.0,364.0,-121
106.0,364.0,-103
107.0,364.0,-197
108.0,364.0,-208
109.0,364.0,-306
11.0,201.0,-107
11.0,213.0,-106
11.0,214.0,-103
11.0,215.0,-261
11.0,246.0,-111
11.0,316.0,-112
11.0,318.0,-220
111.0,364.0,-283
12.0,215.0,-127
12.0,318.0,-105
143.0,151.0,-299
143.0,152.0,-210
143.0,154.0,-176
143.0,155.0,-239
143.0,156.0,-195
143.0,158.0,-129
143.0,215.0,-153
143.0,318.0,-122
143.0,424.0,-118
144.0,154.0,-120
144.0,155.0,-186
145.0,154.0,-220
145.0,155.0,-327
156.0,260.0,-124
163.0,424.0,-102
164.0,424.0,-126
172.0,424.0,-204
172.0,425.0,-174
176.0,425.0,-223
177.0,424.0,-295
177.0,438.0,-118
178.0,424.0,-164
178.0,961.0,-122
178.0,966.0,-101
196.0,198.0,-144
197.0,420.0,-146
199.0,420.0,-273
199.0,422.0,-282
201.0,202.0,-3085
201.0,203.0,-576
201.0,206.0,-136
201.0,209.0,-218
201.0,210.0,-216
201.0,212.0,-104
201.0,215.0,-196
201.0,261.0,-127
202.0,213.0,-299
202.0,214.0,-299
202.0,215.0,-620
202.0,302.0,-112
202.0,316.0,-203
202.0,318.0,-229
203.0,209.0,-154
203.0,213.0,-202
203.0,214.0,-182
203.0,215.0,-341
204.0,215.0,-218
206.0,213.0,-120
206.0,214.0,-136
206.0,215.0,-320
206.0,316.0,-140
206.0,318.0,-230
209.0,213.0,-180
209.0,214.0,-144
209.0,215.0,-330
21.0,215.0,-117
21.0,318.0,-114
210.0,213.0,-362
210.0,214.0,-409
210.0,215.0,-740
210.0,316.0,-162
210.0,318.0,-164
211.0,213.0,-270
211.0,214.0,-558
211.0,215.0,-691
211.0,316.0,-130
211.0,318.0,-124
212.0,213.0,-200
212.0,214.0,-326
212.0,215.0,-694
212.0,316.0,-132
212.0,318.0,-174
213.0,214.0,-436
213.0,215.0,-585
213.0,223.0,-178
213.0,261.0,-127
213.0,302.0,-50
213.0,303.0,-627
213.0,304.0,-148
213.0,305.0,-119
213.0,306.0,-116
213.0,307.0,-210
213.0,308.0,-168
213.0,309.0,-108
213.0,312.0,-112
213.0,313.0,-109
213.0,317.0,-132
213.0,318.0,-110
213.0,320.0,-108
213.0,321.0,-186
