,Company,Address,LOC,LAT,LNG
0,Arrow Electronics,"9201 E Dry Creek Rd,80112","(39.5814501, -104.8823432)",39.5814501,-104.8823432
1,Davita HealthCare Partners,"2000 16th St, 80202","(39.7537396, -105.0040461)",39.7537396,-105.0040461
2,Liberty Interactive,"12300 Liberty Blvd, 80112","(39.553121, -104.846177)",39.553121,-104.846177
3,Newmont Mining,"10257 E Dry Creek Rd, 80223","(39.580887, -104.8704438)",39.580887,-104.8704438
4,Level 3 Communications,"9800 Pyramid Ct, 80112","(39.537244, -104.865843)",39.537244,-104.865843
5,Western Union,"12500 Belford Ave, 80112","(39.5466002, -104.8445727)",39.5466002,-104.8445727
6,CH2M,"9193 S Jamaica St, 80112","(39.5484294, -104.8669552)",39.5484294,-104.8669552
7,University of Colorodo,"1201 Larimer St, 80204","(39.7463895, -105.0023325)",39.7463895,-105.0023325
8,Denver Public Schools,"900 Grant Street, Denver, 80203","(39.7306769, -104.9832561)",39.7306769,-104.9832561
9,HealthOne Corportaion,"400 South Monaco Street,  80237","(39.6311971, -104.9110604)",39.6311971,-104.9110604
10,SCL Health System,"2420 W. 26th Avenue,80211","(39.7547421, -105.0161233)",39.7547421,-105.0161233
11,Centura Health,"188 Inverness Drive West, 80112","(39.5700983, -104.8699572)",39.5700983,-104.8699572
12,Lockheed Martin Corporation,"7400 S Tuscon Way, 80112","(39.5831948, -104.8348622)",39.5831948,-104.8348622
13,Lockheed Martin Corporation,"12257 South Wadsworth Boulevard, 80125","(39.4939224, -105.093284)",39.4939224,-105.093284
14,CenturyLink,"700 West Mineral Avenue, 80120","(39.5716638, -104.9976158)",39.5716638,-104.9976158
15,Kaiser Permanente,"100535 East Dakota Avenue, 80247","(39.7091977, -104.8696955)",39.7091977,-104.8696955
16,Denver Health,"777 Bannock Street, 80204","(39.72811919999999, -104.9910209)",39.72811919999999,-104.9910209
17,Comcast Corporation,"188 Inverness Drive West, 80112","(39.5700983, -104.8699572)",39.5700983,-104.8699572
18,Children's Hospital Colorodo,"13123 East 16th Avenue, 80045","(39.7421406, -104.8348222)",39.7421406,-104.8348222
19,United Airlines,"8900 Pena Boulevard,80249","(39.8587152, -104.6736524)",39.8587152,-104.6736524
20,University of Colorodo Hospital,"12605 E 16th Ave, 80045","(39.7426294, -104.8420288)",39.7426294,-104.8420288
21,Wells Fargo,"1740 South Broadway, 80274","(39.7439901, -104.98699)",39.7439901,-104.98699
22,DISH Network,"9601 S Meridian Blvd,  80112","(39.5459796, -104.8562327)",39.5459796,-104.8562327
23,Aurora Public Schools,"15701 East First Avenue, 80011","(39.7193679, -104.8055357)",39.7193679,-104.8055357
24,IBM,"4700 South Syracuse Street, 80237","(39.6268357, -104.8984891)",39.6268357,-104.8984891
25,University of Denver,"2199 South University Boulevard, 80208","(39.6766932, -104.9615404)",39.6766932,-104.9615404
26,UPS,"5300 East 56th Avenue, 80022","(39.79822850000001, -104.9254243)",39.79822850000001,-104.9254243
27,Ball Corporation,"10 Longs Peak Drive, 80021","(39.9117581, -105.0997533)",39.9117581,-105.0997533
28,Frontier Airlines,"7001 Tower Road, 80249","(39.824101, -104.773231)",39.824101,-104.773231
29,Oracle,"7604 Technology Way, 80237","(39.6321191, -104.8999174)",39.6321191,-104.8999174
30,Transportation Safety Office (Govt.),"4201 E Arkansas Ave, 80222","(39.6923806, -104.9382718)",39.6923806,-104.9382718
31,Park Meadows Mall,"8401 S Park Meadows Center Dr,80124","(39.5626217, -104.8764591)",39.5626217,-104.8764591
32,Littleton Adventist Hospital," 7700 S Broadway,80122","(39.5762884, -104.986104)",39.5762884,-104.986104
33,Starz Entertainment," 8900 Liberty Circle,80112","(39.5542937, -104.8431311)",39.5542937,-104.8431311
34,Centenial Airport," 7800 S Peoria St,80112","(39.5750932, -104.8452121)",39.5750932,-104.8452121
35,United Launch Alliance," 9501 E Panorama Circle,80112","(39.5791323, -104.8780098)",39.5791323,-104.8780098
36,Arcadis North America,"630 Plaza Dr, 80129","(39.5572609, -104.9952261)",39.5572609,-104.9952261
37,ASF International,"640 Plaza,80129","(39.5570698, -104.997419)",39.5570698,-104.997419
38,Philadelphia Insurance,"640 Plaza Dr,80129","(39.5570698, -104.997419)",39.5570698,-104.997419
39,Rinker Materials,"8311 Carder Ct, 80125","(39.5520296, -105.0424842)",39.5520296,-105.0424842
40,Lockheed Martin Corporation,"12999 W Deer Creek Canyon Rd, 80127","(39.5557824, -105.1631694)",39.5557824,-105.1631694
41,Lockheed Martin Corporation,"12395 Mead Way,Littleton, CO 80125 ","(39.542298, -105.038248)",39.542298,-105.038248
