id,Zone,Area,BlockStart,BlockEnd,PayBoxAddress,Dir,StreetName,StreetSU,Address,LOC,LAT,LNG,ExistingRevenue,RevenueValue,FineLevel,NumberSpaces,Required,FullUtilizationAmount,2013_2014FullUtilization,UtilizationRate,Impacted
1,1,317,5061,5065,5063,W,AGATITE,AVE,"5063 W AGATITE AVE, Chicago, IL","(41.961528, -87.7543578)",41.961528,-87.7543578,4685.7,4685.7,50,3,Non-CBD,26292,8764,0.1782,Impacted
2,1,467,1207,1215,1211,W,AINSLIE,ST,"1211 W AINSLIE ST, Chicago, IL","(41.9714328, -87.66019879999999)",41.9714328,-87.66019879999999,8904.19,8904.19,50,5,Non-CBD,43820,8764,0.2032,Impacted
3,1,491,1502,1516,1510,W,AINSLIE,ST,"1510 W AINSLIE ST, Chicago, IL","(41.971878, -87.6681734)",41.971878,-87.6681734,11741.48,11741.48,50,4,Non-CBD,35056,8764,0.3349,Impacted
4,1,491,1501,1527,1513,W,AINSLIE,ST,"1513 W AINSLIE ST, Chicago, IL","(41.9718522, -87.6680507)",41.9718522,-87.6680507,33735.98,33735.98,50,12,Non-CBD,105168,8764,0.3208,Impacted
5,1,496,2431,2433,2433,W,AINSLIE,ST,"2433 W AINSLIE ST, Chicago, IL","(41.9707953, -87.69024089999999)",41.9707953,-87.69024089999999,1462.51,1462.51,50,2,Non-CBD,11268,5634,0.1298,Impacted
6,1,506,5226,5232,5230,W,AINSLIE,ST,"5230 W AINSLIE ST, Chicago, IL","(41.9696626, -87.7585862)",41.9696626,-87.7585862,733.63,733.63,50,3,Non-CBD,16902,5634,0.0434,Impacted
7,1,456,3941,3957,3949,N,ALBANY,AVE,"3949 N ALBANY AVE, Chicago, IL","(41.9533882, -87.7055266)",41.9533882,-87.7055266,853.69,853.69,50,8,Non-CBD,45072,5634,0.0189,Impacted
8,1,456,3938,3952,3948,N,ALBANY,AVE,"3948 N ALBANY AVE, Chicago, IL","(41.9533923, -87.70556359999999)",41.9533923,-87.70556359999999,505.68,505.68,50,6,Non-CBD,33804,5634,0.015,Impacted
9,1,498,4803,4811,4807,N,ALBANY,AVE,"4807 N ALBANY AVE, Chicago, IL","(41.9687094, -87.7060005)",41.9687094,-87.7060005,6477.67,6477.67,50,4,Non-CBD,22536,5634,0.2874,Impacted
10,1,498,4804,4808,4806,N,ALBANY,AVE,"4806 N ALBANY AVE, Chicago, IL","(41.9685965, -87.70603249999999)",41.9685965,-87.70603249999999,4723.95,4723.95,50,3,Non-CBD,16902,5634,0.2795,Impacted
11,1,468,946,954,950,W,ARGYLE,ST,"950 W ARGYLE ST, Chicago, IL","(41.9733334, -87.6542157)",41.9733334,-87.6542157,10723.59,10723.59,50,5,Non-CBD,43820,8764,0.2447,Impacted
12,1,468,947,953,951,W,ARGYLE,ST,"951 W ARGYLE ST, Chicago, IL","(41.9733058, -87.6542262)",41.9733058,-87.6542262,6255.34,6255.34,50,4,Non-CBD,35056,8764,0.1784,Impacted
13,1,468,1002,1030,1016,W,ARGYLE,ST,"1016 W ARGYLE ST, Chicago, IL","(41.9734741, -87.65571249999999)",41.9734741,-87.65571249999999,25785.81,25785.81,50,10,Non-CBD,87640,8764,0.2942,Impacted
14,1,468,1001,1025,1019,W,ARGYLE,ST,"1019 W ARGYLE ST, Chicago, IL","(41.973176, -87.6558352)",41.973176,-87.6558352,24218.85,24218.85,50,11,Non-CBD,96404,8764,0.2512,Impacted
15,1,468,1040,1066,1056,W,ARGYLE,ST,"1056 W ARGYLE ST, Chicago, IL","(41.9734212, -87.657175)",41.9734212,-87.657175,34183.75,34183.75,50,11,Non-CBD,96404,8764,0.3546,Impacted
16,1,468,1049,1063,1059,W,ARGYLE,ST,"1059 W ARGYLE ST, Chicago, IL","(41.9730893, -87.65733809999999)",41.9730893,-87.65733809999999,27094.04,27094.04,50,8,Non-CBD,70112,8764,0.3864,Impacted
17,1,468,1104,1138,1106,W,ARGYLE,ST,"1106 W ARGYLE ST, Chicago, IL","(41.973284, -87.6582562)",41.973284,-87.6582562,15651.46,15651.46,50,6,Non-CBD,52584,8764,0.2976,Impacted
18,1,468,1104,1138,1132,W,ARGYLE,ST,"1132 W ARGYLE ST, Chicago, IL","(41.9732669, -87.6590691)",41.9732669,-87.6590691,31373.53,31373.53,50,5,Non-CBD,43820,8764,0.716,Impacted
19,1,468,1103,1143,1137,W,ARGYLE,ST,"1137 W ARGYLE ST, Chicago, IL","(41.9732354, -87.6592572)",41.9732354,-87.6592572,50170.04,50170.04,50,8,Non-CBD,70112,8764,0.7156,Impacted
20,1,468,1103,1143,1109,W,ARGYLE,ST,"1109 W ARGYLE ST, Chicago, IL","(41.97304099999999, -87.6581719)",41.97304099999999,-87.6581719,24687.22,24687.22,50,5,Non-CBD,43820,8764,0.5634,Impacted
