MPOCE10,TADCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
22774638,00000003,2277463800000003,G6300,S,15241573068,955535887,+47.4159483,-101.8533857
38198201,00002003,3819820100002003,G6300,S,4988996194,49687675,+46.7137894,-101.2797430
38198202,38000042,3819820238000042,G6300,S,3682669734,7664466,+47.9260026,-097.4508510
38198202,38000041,3819820238000041,G6300,S,18898745,184359,+47.9046606,-097.0601839
38198202,38000040,3819820238000040,G6300,S,18628073,249243,+47.9305241,-097.0769267
38197200,00000001,3819720000000001,G6300,S,2763411358,18963279,+46.8983772,-096.4949007
38197200,00000002,3819720000000002,G6300,S,12779111,0,+46.8671435,-096.8016473
38197200,00000003,3819720000000003,G6300,S,20926184,0,+46.8293062,-096.8192853
38197200,00000004,3819720000000004,G6300,S,89583179,284875,+46.9018534,-096.8847894
38197200,00000006,3819720000000006,G6300,S,4391952158,7284801,+46.9295564,-097.2679723
22774638,00000007,2277463800000007,G6300,S,3169962193,79715238,+48.0713257,-101.4829120
22774638,00000006,2277463800000006,G6300,S,811424887,4628703,+48.3565295,-101.2633211
33000000,00000010,3300000000000010,G6300,S,733080378,16351268,+43.2593397,-072.2407910
33000000,00000009,3300000000000009,G6300,S,658507194,21719137,+43.4753373,-072.2104691
72004100,01506001,7200410001506001,G6300,S,417240474,15528569,+43.0529216,-071.2787090
72004100,01508004,7200410001508004,G6300,S,174123122,4589566,+42.9248944,-071.1611507
72004100,01508007,7200410001508007,G6300,S,215037482,4579163,+42.9540676,-071.0637354
72004100,01508006,7200410001508006,G6300,S,185686100,2597791,+42.9702296,-070.9554001
72004100,01508001,7200410001508001,G6300,S,123310603,31592108,+43.0481829,-070.8015537
72004100,01508008,7200410001508008,G6300,S,124070484,8827176,+42.9377261,-070.8514130
72004100,01508099,7200410001508099,G6300,S,199083,169195713,+42.9173520,-070.7591598
72004100,22222222,7200410022222222,G6300,S,512953883,22885825,+43.1941534,-071.0926428
72004100,01506003,7200410001506003,G6300,S,92222905,2253571,+42.8927614,-071.2767629
72004100,01508003,7200410001508003,G6300,S,90909794,4311696,+42.8117795,-071.2871424
72004100,01508002,7200410001508002,G6300,S,42545849,1348574,+42.7712519,-071.2267157
72004100,01506002,7200410001506002,G6300,S,108739017,332718,+42.8696699,-071.3879189
72004100,55555555,7200410055555555,G6300,S,131800998,14945754,+43.1207846,-070.9013254
27000000,27000411,2700000027000411,G6300,S,3048965386,38499709,+43.7639633,-094.0214497
27000000,27000432,2700000027000432,G6300,S,844071548,35873825,+45.5607910,-092.9841329
27000000,27000433,2700000027000433,G6300,S,378142972,39793525,+45.3775777,-092.8262784
27000000,27000466,2700000027000466,G6300,S,9692619553,2627395034,+48.2760388,-094.8885822
27000000,27000441,2700000027000441,G6300,S,3478139625,64435621,+43.8267437,-095.1646422
55000000,00000501,5500000000000501,G6300,S,825574103,36627621,+45.2924428,-092.4398018
55000000,00000500,5500000000000500,G6300,S,1541576761,73305519,+45.5514913,-092.4324324
55000000,00000035,5500000000000035,G6300,S,2506144768,46921139,+43.2546549,-090.6995128
55000000,00000034,5500000000000034,G6300,S,1551752542,103245117,+43.5475741,-090.9801456
55000000,60020000,5500000060020000,G6300,S,280083186,3097402,+43.3260043,-088.2396057
55000000,60030000,5500000060030000,G6300,S,279270531,2500649,+43.2393895,-088.2340168
55000000,60010000,5500000060010000,G6300,S,556161327,7407039,+43.4581410,-088.2163588
55000000,00000002,5500000000000002,G6300,S,5381541178,529881837,+46.3888138,-091.7948366
55000000,00000010,5500000000000010,G6300,S,3677906853,270530781,+45.8103096,-092.1065814
46000000,00000015,4600000000000015,G6300,S,1349807401,28629259,+43.0066072,-097.3883388
46000000,00000018,4600000000000018,G6300,S,19054226832,62455475,+43.4467135,-100.8955047
46000000,00000003,4600000000000003,G6300,S,22925928819,641125626,+45.1220312,-099.5221306
55000000,00000040,5500000000000040,G6300,S,1240448737,36695831,+43.5101438,-089.0588127
55000000,00000032,5500000000000032,G6300,S,1706926610,98952297,+43.8037126,-089.2175159
46529800,00000033,4652980000000033,G6300,S,2129665824,6514490,+43.9838751,-103.5903678
46529800,00000036,4652980000000036,G6300,S,31470914,161753,+44.0583225,-103.2666882
46529800,00000032,4652980000000032,G6300,S,4969897042,13241749,+44.0025572,-102.4709503
46529800,00000035,4652980000000035,G6300,S,29468843,0,+44.0548111,-103.2073253
46529800,00000034,4652980000000034,G6300,S,75613660,48715,+44.1182179,-103.2168404
46000000,00000005,4600000000000005,G6300,S,5213808608,15739736,+45.0472707,-098.3399593
55000000,13000003,5500000013000003,G6300,S,33386234,1435992,+44.2580487,-088.2978875
55000000,15000001,5500000015000001,G6300,S,533251052,108773454,+44.1486566,-088.2161778
55000000,13000002,5500000013000002,G6300,S,36728597,892781,+44.2452697,-088.3493114
55000000,87000004,5500000087000004,G6300,S,33619902,1236587,+44.2653855,-088.3873899
46000000,00000016,4600000000000016,G6300,S,2962894172,14735141,+43.6991385,-098.4129408
55000000,87000005,5500000087000005,G6300,S,23539933,193287,+44.2696271,-088.4387070
55000000,87000010,5500000087000010,G6300,S,697422727,11431257,+44.4487488,-088.5790247
55000000,87000008,5500000087000008,G6300,S,617079554,227631,+44.4565191,-088.3192520
55000000,87000009,5500000087000009,G6300,S,262090165,1042357,+44.2766839,-088.6241537
55000000,00000006,5500000000000006,G6300,S,4790624155,123072363,+45.6142244,-088.3704395
19196600,00000001,1919660000000001,G6300,S,1877711876,24762387,+42.6712156,-096.6160555
46000000,00000002,4600000000000002,G6300,S,37620078440,659548630,+45.3378728,-102.2247478
55000000,00000048,5500000000000048,G6300,S,2192405697,2876624,+42.6765392,-090.0291032
55000000,00000047,5500000000000047,G6300,S,2043746043,23238872,+43.0276136,-090.1061091
55000000,00000014,5500000000000014,G6300,S,3182099197,89249106,+45.2375570,-088.4021252
55000000,00000051,5500000000000051,G6300,S,1471011885,352417940,+44.8654335,-088.0715990
27000000,27000464,2700000027000464,G6300,S,6292650543,154807817,+47.4336791,-095.8584687
46000000,00000013,4600000000000013,G6300,S,6177957078,59578723,+43.3886666,-097.7010501
46000000,00000010,4600000000000010,G6300,S,4281184304,38657304,+44.0299889,-097.1569024
72004100,44444444,7200410044444444,G6300,S,82229232,2836713,+43.2328443,-070.8853093
72004100,33333333,7200410033333333,G6300,S,81633470,400607,+43.2867738,-070.9689935
72004100,11111111,7200410011111111,G6300,S,372486949,12468541,+43.4283624,-071.0720494
27000000,27000438,2700000027000438,G6300,S,6425934233,469233264,+46.6068075,-093.2244596
27000000,27000437,2700000027000437,G6300,S,523153006,16441738,+46.6976202,-092.4976367
27000000,27000400,2700000027000400,G6300,S,2669022146,2056360,+43.6775345,-092.1630108
46000000,00000012,4600000000000012,G6300,S,6097513432,35469258,+44.2434046,-098.3097569
56000000,00000008,5600000000000008,G6300,S,11161843541,86617601,+42.1074450,-104.6394456
55000000,00000009,5500000000000009,G6300,S,5266900192,108811937,+45.5462693,-090.9974045
46000000,00000011,4600000000000011,G6300,S,5708049584,133709333,+44.9295182,-097.6926431
46000000,00000019,4600000000000019,G6300,S,17115067964,554908097,+44.2088987,-100.6459955
46000000,00000004,4600000000000004,G6300,S,3117941020,45863816,+45.6835577,-098.3775931
55000000,13000015,5500000013000015,G6300,S,594884984,148775074,+43.9271782,-088.2505448
27197000,27000114,2719700027000114,G6300,S,426858164,18443217,+45.3869753,-094.2335499
27197000,27000111,2719700027000111,G6300,S,382509698,6776681,+45.6912846,-094.3385607
27197000,27000115,2719700027000115,G6300,S,80635156,216873,+45.5548223,-094.2701583
27197000,27000116,2719700027000116,G6300,S,15958262,735073,+45.5615137,-094.1767644
55000000,13500021,5500000013500021,G6300,S,638063577,25198441,+44.3245694,-089.0055860
55000000,00000022,5500000000000022,G6300,S,1298504305,20102102,+44.5374150,-088.9455411
27000000,27000451,2700000027000451,G6300,S,4680688603,184022417,+45.6512128,-095.9331745
46000000,00000006,4600000000000006,G6300,S,7684432229,378427198,+45.5748571,-097.3613136
55000000,00000036,5500000000000036,G6300,S,1472426513,5270190,+43.4834107,-090.2617290
22774608,00000015,2277460800000015,G6300,S,17160837150,45939869,+37.6897050,-107.7077162
29000000,00000076,2900000000000076,G6300,S,2133848398,23354083,+37.8189437,-090.1821273
29000000,00000082,2900000000000082,G6300,S,431594039,3499031,+37.9442749,-090.5090527
29000000,00000081,2900000000000081,G6300,S,316993544,2391639,+37.7679643,-090.5565870
19000000,00000131,1900000000000131,G6300,S,4583612941,137148781,+40.9253304,-091.3810117
22774630,00000024,2277463000000024,G6300,S,25461279692,123773196,+45.2615312,-112.4841038
22774632,00000005,2277463200000005,G6300,S,75561861710,151667717,+38.9589624,-115.4840225
29000000,00000042,2900000000000042,G6300,S,2811047392,17746209,+40.1984890,-093.5604997
20000000,00000003,2000000000000003,G6300,S,20556376582,29036061,+38.7429285,-100.6704923
46000000,00000020,4600000000000020,G6300,S,13961918086,36519823,+43.4291386,-103.0998743
20000000,00000005,2000000000000005,G6300,S,10667998670,68278401,+39.5021731,-098.4528976
72552400,00000019,7255240000000019,G6300,S,314092253,53850341,+38.3382825,-075.7649001
72552400,00000018,7255240000000018,G6300,S,564667098,23709160,+38.5405053,-075.7869714
72552400,00000020,7255240000000020,G6300,S,34553573,602373,+38.3890133,-075.5914997
72552400,00000021,7255240000000021,G6300,S,29031873,941484,+38.3387080,-075.5882825
72552400,00000022,7255240000000022,G6300,S,388904508,1393185,+38.3646884,-075.4563257
15000000,00000001,1500000000000001,G6300,S,837869816,1614640839,+22.0860398,-159.7706632
15000000,00000003,1500000000000003,G6300,S,276821322,21727697,+21.9869690,-159.4153612
15000000,00000002,1500000000000002,G6300,S,491020479,37802291,+22.1338002,-159.4444550
29000000,00000048,2900000000000048,G6300,S,2306751430,28242707,+39.8773636,-091.7097852
31000000,00000012,3100000000000012,G6300,S,5179575342,45785322,+40.9671596,-098.9033395
31000000,00000011,3100000000000011,G6300,S,93357203,2625786,+40.6956466,-099.1333486
29000000,00000030,2900000000000030,G6300,S,2217879529,128494503,+38.3452999,-093.2972408
19000000,00000104,1900000000000104,G6300,S,8966003350,24694217,+41.9860065,-094.8696911
20000000,00000002,2000000000000002,G6300,S,11516596505,44881633,+39.5924634,-099.7830796
22774630,00000015,2277463000000015,G6300,S,27136116697,211416598,+48.2248090,-110.9668600
22774630,00000030,2277463000000030,G6300,S,13599969426,197224977,+48.4055914,-112.8009961
29000000,00000013,2900000000000013,G6300,S,1292824632,3523094,+37.1184574,-093.8638215
29000000,00000012,2900000000000012,G6300,S,745678583,2384050,+36.9601186,-093.5475245
25000000,00000188,2500000000000188,G6300,S,92886488,27004864,+41.7608984,-070.7015337
25000000,00000186,2500000000000186,G6300,S,178268316,14142161,+41.8505862,-070.6912676
25000000,00000187,2500000000000187,G6300,S,197945156,108431742,+41.6968713,-070.8042838
25000000,00000185,2500000000000185,G6300,S,80067332,435909874,+42.0150460,-070.5465896
25000000,00000181,2500000000000181,G6300,S,58412165,2499924,+41.9723874,-070.9787781
25000000,00000180,2500000000000180,G6300,S,81844366,40237467,+42.0146045,-070.7028640
25000000,00000184,2500000000000184,G6300,S,88362703,6087752,+41.8991918,-070.6788178
25000000,00000183,2500000000000183,G6300,S,161341822,6027698,+41.9595835,-070.8832500
25000000,00000182,2500000000000182,G6300,S,185906295,24005827,+41.8486178,-070.9009925
