O,D,VAL
3619820100001001,3419820000000068,215
3619820100001001,3619820100001001,5900
3619820100001001,3619820100001002,2235
3619820100001001,3619820100001003,455
3619820100001001,3619820100001005,115
3619820100001001,3619820100001006,885
3619820100001001,3619820100001007,285
3619820100001001,3619820100001008,1360
3619820100001001,3619820100001009,645
3619820100001001,3619820100001010,4515
3619820100001001,3619820100001011,1260
3619820100001001,3619820100001012,135
3619820100001001,3619820100001013,155
3619820100001001,3619820100001014,105
3619820100001001,3619820100001015,180
3619820100001001,3619820100001016,155
3619820100001001,3619820100001021,260
3619820100001001,3619820100003001,105
3619820100001002,0900000000000001,260
3619820100001002,3619820100001001,2045
3619820100001002,3619820100001002,5855
3619820100001002,3619820100001003,485
3619820100001002,3619820100001004,275
3619820100001002,3619820100001005,205
3619820100001002,3619820100001006,1730
3619820100001002,3619820100001007,285
3619820100001002,3619820100001008,1890
3619820100001002,3619820100001009,655
3619820100001002,3619820100001010,4205
3619820100001002,3619820100001011,1230
3619820100001002,3619820100001012,105
3619820100001002,3619820100001013,105
3619820100001002,3619820100001015,295
3619820100001002,3619820100001016,240
3619820100001002,3619820100001021,230
3619820100001002,3619820100001025,230
3619820100001002,3619820100002011,295
3619820100001002,3619820100003001,195
3619820100001003,3419820000000231,105
3619820100001003,3619820100001001,2065
3619820100001003,3619820100001002,2560
3619820100001003,3619820100001003,3445
3619820100001003,3619820100001004,635
3619820100001003,3619820100001005,235
3619820100001003,3619820100001006,895
3619820100001003,3619820100001007,485
3619820100001003,3619820100001008,1350
3619820100001003,3619820100001009,815
3619820100001003,3619820100001010,3220
3619820100001003,3619820100001011,905
3619820100001003,3619820100001012,150
3619820100001003,3619820100001013,255
3619820100001003,3619820100001014,140
3619820100001003,3619820100001015,235
3619820100001003,3619820100001017,120
3619820100001003,3619820100001023,115
3619820100001003,3619820100002011,160
3619820100001003,3619820100002012,135
3619820100001003,3619820100003001,145
3619820100001004,3419820000000034,110
3619820100001004,3619820100001001,2570
3619820100001004,3619820100001002,2625
3619820100001004,3619820100001003,1450
3619820100001004,3619820100001004,2905
3619820100001004,3619820100001005,505
3619820100001004,3619820100001006,1725
3619820100001004,3619820100001007,725
3619820100001004,3619820100001008,2145
3619820100001004,3619820100001009,1225
3619820100001004,3619820100001010,4210
3619820100001004,3619820100001011,965
3619820100001004,3619820100001012,530
3619820100001004,3619820100001013,310
3619820100001004,3619820100001014,110
3619820100001004,3619820100001015,315
3619820100001004,3619820100001016,180
3619820100001004,3619820100001017,180
3619820100001004,3619820100001018,305
3619820100001004,3619820100001019,105
3619820100001004,3619820100001020,180
3619820100001004,3619820100001021,120
3619820100001004,3619820100001025,130
3619820100001004,3619820100002010,130
3619820100001004,3619820100002011,335
3619820100001004,3619820100002012,175
3619820100001004,3619820100002028,195
3619820100001004,3619820100002033,105
