MPOCE10,TADCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
53199100,00000068,5319910000000068,G6300,S,2584728171,17416530,+48.1521764,-121.5317771
53199100,00000087,5319910000000087,G6300,S,1549695274,11691909,+47.9095121,-121.4915486
53199100,00000064,5319910000000064,G6300,S,323952246,102352756,+48.1611534,-122.2947306
53199100,00000065,5319910000000065,G6300,S,169944267,296252,+48.2316162,-122.1414290
53199100,00000086,5319910000000086,G6300,S,90414376,322142,+47.8027736,-122.0914929
53199100,00000070,5319910000000070,G6300,S,103768824,31247962,+48.0004461,-122.1449665
53199100,00000077,5319910000000077,G6300,S,88229236,3163726,+47.8693438,-122.0525889
53199100,00000076,5319910000000076,G6300,S,16286653,54976,+47.8989754,-122.1847821
53199100,00000080,5319910000000080,G6300,S,39190224,27393,+47.8504202,-122.1436070
53199100,00000066,5319910000000066,G6300,S,19066885,309914,+48.0708419,-122.1648148
53199100,00000072,5319910000000072,G6300,S,95877094,1376920,+47.9484958,-122.0290637
53199100,00000067,5319910000000067,G6300,S,80601520,550521,+48.0956649,-122.1221967
53199100,00000082,5319910000000082,G6300,S,20852604,16151458,+47.7976086,-122.3892729
53199100,00000081,5319910000000081,G6300,S,15865024,23923395,+47.8422560,-122.3630897
53199100,00000069,5319910000000069,G6300,S,16417439,24401009,+48.0065779,-122.2220170
53199100,00000071,5319910000000071,G6300,S,40471286,27988800,+47.9529032,-122.2664791
53199100,00000083,5319910000000083,G6300,S,19630195,309951,+47.8047350,-122.3058610
53199100,00000074,5319910000000074,G6300,S,15915027,0,+47.9059082,-122.2677879
53199100,00000085,5319910000000085,G6300,S,19627669,0,+47.8270091,-122.2233612
53199100,00000073,5319910000000073,G6300,S,23521817,20073615,+47.8855890,-122.3241453
53199100,00000078,5319910000000078,G6300,S,14218539,98005,+47.8542152,-122.2681015
53199100,00000084,5319910000000084,G6300,S,26289911,0,+47.7973833,-122.2498803
53199100,00000079,5319910000000079,G6300,S,21462746,648913,+47.8642748,-122.2142483
53199100,00000075,5319910000000075,G6300,S,9952765,0,+47.9013236,-122.2310544
53199100,00000111,5319910000000111,G6300,S,2049834866,16125110,+46.9553620,-121.8157008
53199100,00000088,5319910000000088,G6300,S,239213732,177355097,+47.2582820,-122.7114933
53199100,00000100,5319910000000100,G6300,S,18267844,156006,+47.1686934,-122.5033470
53199100,00000097,5319910000000097,G6300,S,18791282,95716,+47.2107223,-122.4830457
53199100,00000101,5319910000000101,G6300,S,23675262,125448,+47.1567315,-122.4363788
53199100,00000098,5319910000000098,G6300,S,20253629,123005,+47.2005399,-122.4425278
53199100,00000095,5319910000000095,G6300,S,93095091,2614658,+47.1995020,-122.1630325
53199100,00000094,5319910000000094,G6300,S,67864914,916371,+47.2202421,-122.2806630
53199100,00000104,5319910000000104,G6300,S,27944287,144698,+47.1678312,-122.2628066
53199100,00000103,5319910000000103,G6300,S,35874507,58068,+47.1493363,-122.3334484
53199100,00000102,5319910000000102,G6300,S,67217885,360443,+47.1717436,-122.3837107
53199100,00000099,5319910000000099,G6300,S,30846971,14569819,+47.1659515,-122.5665390
53199100,00000096,5319910000000096,G6300,S,26410666,11335253,+47.2156619,-122.5535463
53199100,00000105,5319910000000105,G6300,S,319307673,12832761,+47.0454568,-122.5519881
53199100,00000110,5319910000000110,G6300,S,782923220,14943232,+46.8696344,-122.2130621
53199100,00000109,5319910000000109,G6300,S,216650746,5009761,+46.9897972,-122.2666304
53199100,00000106,5319910000000106,G6300,S,17358145,969981,+47.1012741,-122.4271273
53199100,00000107,5319910000000107,G6300,S,54172654,58135,+47.0849347,-122.3460242
53199100,00000108,5319910000000108,G6300,S,39308549,236887,+47.0939446,-122.2591586
53199100,00000092,5319910000000092,G6300,S,14720988,49083,+47.2469883,-122.4672393
53199100,00000091,5319910000000091,G6300,S,11839329,9387749,+47.2770761,-122.4749548
53199100,00000090,5319910000000090,G6300,S,19751933,14017273,+47.2860173,-122.5263961
53199100,00000093,5319910000000093,G6300,S,47034334,22755198,+47.2791422,-122.4083172
53199100,00000089,5319910000000089,G6300,S,81452500,50398716,+47.3068610,-122.5964006
72052600,00000053,7205260000000053,G6300,S,127880564,0,+46.5681251,-120.6915461
72052600,00000049,7205260000000049,G6300,S,5328242677,4835223,+46.2408192,-120.7834030
72052600,00000048,7205260000000048,G6300,S,3326442896,21326500,+46.7346409,-121.0722280
72052600,00000056,7205260000000056,G6300,S,21544482,0,+46.5737946,-120.5593286
72052600,00000054,7205260000000054,G6300,S,53480253,911578,+46.6450143,-120.5672498
72052600,00000055,7205260000000055,G6300,S,9530285,0,+46.5990125,-120.5347365
72052600,00000058,7205260000000058,G6300,S,106997018,1509774,+46.6173816,-120.4356999
72052600,00000052,7205260000000052,G6300,S,1473656794,10886343,+46.5273322,-120.1033355
72052600,00000051,7205260000000051,G6300,S,126883901,608131,+46.3232841,-120.1026783
72052600,00000050,7205260000000050,G6300,S,449853197,69748,+46.4010445,-120.3040381
72052600,00000057,7205260000000057,G6300,S,100767531,967784,+46.5365680,-120.4171048
53000000,00000014,5300000000000014,G6300,S,1840681127,86722519,+47.3479888,-123.2822485
53000000,00000015,5300000000000015,G6300,S,644292695,150428237,+47.3583464,-122.9602409
53000000,00000059,5300000000000059,G6300,S,5905866764,91732765,+47.1244443,-120.6767136
53000000,00000060,5300000000000060,G6300,S,44829936,628238,+46.9980596,-120.5494156
41000000,00000003,4100000000000003,G6300,S,1027891099,52374380,+46.0061946,-123.0764184
41000000,00000002,4100000000000002,G6300,S,2584288694,146524288,+45.9710567,-123.5531727
53199200,00000047,5319920000000047,G6300,S,9134863068,157916403,+45.9467863,-121.3132243
53200302,0000TAD4,532003020000TAD4,G6300,S,9150327286,134068913,+48.0914746,-119.4223977
53200302,0000TAD5,532003020000TAD5,G6300,S,9254501163,169969207,+48.3647599,-120.3648592
53000000,00000013,5300000000000013,G6300,S,4671503510,982743994,+47.8026411,-123.5218104
53000000,00000010,5300000000000010,G6300,S,3848820640,2414522261,+48.1295965,-124.0165475
53000000,00000011,5300000000000011,G6300,S,47226691,73511,+48.1026293,-123.4347271
53000000,00000012,5300000000000012,G6300,S,573760232,70702,+47.9932463,-123.0956101
53000000,00000009,5300000000000009,G6300,S,482808962,1158100409,+48.5454971,-122.9637688
53200302,0000TAD2,532003020000TAD2,G6300,S,94058556,3872132,+47.4564123,-120.2713822
53198202,00000017,5319820200000017,G6300,S,31671203,12498496,+46.9719346,-123.8423126
53198202,00000018,5319820200000018,G6300,S,1610486961,196718093,+46.9048173,-123.6169834
53198202,00000016,5319820200000016,G6300,S,3284067705,625741057,+47.2539849,-123.9286203
53198202,00000025,5319820200000025,G6300,S,27693233,6188004,+46.1247126,-122.9512108
53198202,00000024,5319820200000024,G6300,S,26797855,316653,+46.1639268,-122.9559258
53198202,00000023,5319820200000023,G6300,S,1270416077,74311328,+46.2875773,-123.2610662
53198202,00000027,5319820200000027,G6300,S,2204017127,36925243,+46.1806241,-122.5635580
53198202,00000026,5319820200000026,G6300,S,106158813,11446419,+46.0897900,-122.8478340
53198201,00000001,5319820100000001,G6300,S,83177616,41002710,+47.1243935,-122.9611148
53198201,00000002,5319820100000002,G6300,S,70851970,22563303,+47.1082924,-122.8706226
53198201,00000005,5319820100000005,G6300,S,84627643,22193816,+47.0791473,-122.7992932
53198201,00000006,5319820100000006,G6300,S,75384854,17506660,+47.0584702,-122.7293969
53198201,00000008,5319820100000008,G6300,S,401002355,10179697,+46.8772125,-122.5731282
53198201,00000007,5319820100000007,G6300,S,709641298,11950546,+46.8287770,-122.8534759
53198201,00000003,5319820100000003,G6300,S,386207528,6815740,+46.9749978,-123.0634649
53198201,00000004,5319820100000004,G6300,S,58978224,1279105,+46.9875934,-122.8447750
53198202,00000019,5319820200000019,G6300,S,2415578641,752977100,+46.5565866,-123.7824193
53200302,0000TAD3,532003020000TAD3,G6300,S,3852919660,34193124,+47.6746943,-120.6918361
53200302,0000TAD1,532003020000TAD1,G6300,S,70787213,2327120,+47.4277664,-120.3719041
53199100,00000116,5319910000000116,G6300,S,19397548,6210021,+47.6191387,-122.6522124
53199100,00000118,5319910000000118,G6300,S,14413367,8368971,+47.5697558,-122.6552135
53199100,00000115,5319910000000115,G6300,S,282111643,64805823,+47.5853436,-122.8302240
53199100,00000120,5319910000000120,G6300,S,220529924,8919439,+47.4542668,-122.6688975
53199100,00000112,5319910000000112,G6300,S,217307458,171028113,+47.8102378,-122.5591910
53199100,00000113,5319910000000113,G6300,S,87061380,21296837,+47.6972375,-122.6801573
53199100,00000119,5319910000000119,G6300,S,89589068,54533516,+47.5179630,-122.5700529
53199100,00000117,5319910000000117,G6300,S,20985307,8911782,+47.6113967,-122.6081424
53199100,00000114,5319910000000114,G6300,S,71512406,98740263,+47.6527770,-122.5156273
72050400,00000011,7205040000000011,G6300,S,4498283368,113771162,+48.8277085,-121.5613361
72050400,00000013,7205040000000013,G6300,S,171005316,507594356,+48.9126728,-122.8814324
72050400,00000001,7205040000000001,G6300,S,204928457,372349829,+48.7740767,-122.6746765
