,GEOID,EST,geo,geoFlow,O,D
108930,C5500US53000000000000090419730100000086,4,C55,53000000000000090419730100000086,5300000000000009,0419730100000086
108931,C5500US53000000000000090619700100000005,4,C55,53000000000000090619700100000005,5300000000000009,0619700100000005
108932,C5500US53000000000000090619700100000032,4,C55,53000000000000090619700100000032,5300000000000009,0619700100000032
108933,C5500US53000000000000090619720100000012,15,C55,53000000000000090619720100000012,5300000000000009,0619720100000012
108934,C5500US53000000000000090619720100000040,10,C55,53000000000000090619720100000040,5300000000000009,0619720100000040
108935,C5500US53000000000000090619750120740000,20,C55,53000000000000090619750120740000,5300000000000009,0619750120740000
108936,C5500US53000000000000090619750121560001,4,C55,53000000000000090619750121560001,5300000000000009,0619750121560001
108937,C5500US53000000000000090619750132050002,10,C55,53000000000000090619750132050002,5300000000000009,0619750132050002
108938,C5500US53000000000000091900000000000119,4,C55,53000000000000091900000000000119,5300000000000009,1900000000000119
108939,C5500US53000000000000092219620022071090,4,C55,53000000000000092219620022071090,5300000000000009,2219620022071090
108940,C5500US53000000000000093419820000000146,10,C55,53000000000000093419820000000146,5300000000000009,3419820000000146
108941,C5500US53000000000000095300000000000009,4105,C55,53000000000000095300000000000009,5300000000000009,5300000000000009
108942,C5500US53000000000000095300000000000010,100,C55,53000000000000095300000000000010,5300000000000009,5300000000000010
108943,C5500US53000000000000095300000000000011,350,C55,53000000000000095300000000000011,5300000000000009,5300000000000011
108944,C5500US53000000000000095300000000000012,385,C55,53000000000000095300000000000012,5300000000000009,5300000000000012
108945,C5500US53000000000000095300000000000013,15,C55,53000000000000095300000000000013,5300000000000009,5300000000000013
108946,C5500US53000000000000095319710000000004,4,C55,53000000000000095319710000000004,5300000000000009,5319710000000004
108947,C5500US53000000000000095319820100000005,15,C55,53000000000000095319820100000005,5300000000000009,5319820100000005
108948,C5500US53000000000000095319910000000004,4,C55,53000000000000095319910000000004,5300000000000009,5319910000000004
108949,C5500US53000000000000095319910000000005,4,C55,53000000000000095319910000000005,5300000000000009,5319910000000005
108950,C5500US53000000000000095319910000000006,4,C55,53000000000000095319910000000006,5300000000000009,5319910000000006
108951,C5500US53000000000000095319910000000007,20,C55,53000000000000095319910000000007,5300000000000009,5319910000000007
108952,C5500US53000000000000095319910000000008,10,C55,53000000000000095319910000000008,5300000000000009,5319910000000008
108953,C5500US53000000000000095319910000000009,25,C55,53000000000000095319910000000009,5300000000000009,5319910000000009
108954,C5500US53000000000000095319910000000011,35,C55,53000000000000095319910000000011,5300000000000009,5319910000000011
108955,C5500US53000000000000095319910000000012,20,C55,53000000000000095319910000000012,5300000000000009,5319910000000012
108956,C5500US53000000000000095319910000000014,10,C55,53000000000000095319910000000014,5300000000000009,5319910000000014
108957,C5500US53000000000000095319910000000016,4,C55,53000000000000095319910000000016,5300000000000009,5319910000000016
108958,C5500US53000000000000095319910000000019,10,C55,53000000000000095319910000000019,5300000000000009,5319910000000019
108959,C5500US53000000000000095319910000000020,4,C55,53000000000000095319910000000020,5300000000000009,5319910000000020
108960,C5500US53000000000000095319910000000023,4,C55,53000000000000095319910000000023,5300000000000009,5319910000000023
108961,C5500US53000000000000095319910000000024,4,C55,53000000000000095319910000000024,5300000000000009,5319910000000024
108962,C5500US53000000000000095319910000000031,4,C55,53000000000000095319910000000031,5300000000000009,5319910000000031
108963,C5500US53000000000000095319910000000043,15,C55,53000000000000095319910000000043,5300000000000009,5319910000000043
108964,C5500US53000000000000095319910000000047,4,C55,53000000000000095319910000000047,5300000000000009,5319910000000047
108965,C5500US53000000000000095319910000000051,4,C55,53000000000000095319910000000051,5300000000000009,5319910000000051
108966,C5500US53000000000000095319910000000053,4,C55,53000000000000095319910000000053,5300000000000009,5319910000000053
108967,C5500US53000000000000095319910000000066,4,C55,53000000000000095319910000000066,5300000000000009,5319910000000066
108968,C5500US53000000000000095319910000000083,4,C55,53000000000000095319910000000083,5300000000000009,5319910000000083
108969,C5500US53000000000000095319910000000097,4,C55,53000000000000095319910000000097,5300000000000009,5319910000000097
108970,C5500US53000000000000095319910000000104,10,C55,53000000000000095319910000000104,5300000000000009,5319910000000104
108971,C5500US5300000000000009532003020000TAD3,4,C55,5300000000000009532003020000TAD3,5300000000000009,532003020000TAD3
108972,C5500US53000000000000097204980000000124,4,C55,53000000000000097204980000000124,5300000000000009,7204980000000124
108973,C5500US53000000000000097205040000000003,4,C55,53000000000000097205040000000003,5300000000000009,7205040000000003
108974,C5500US53000000000000097214220000000001,4,C55,53000000000000097214220000000001,5300000000000009,7214220000000001
108975,C5500US53000000000000097218510000000003,20,C55,53000000000000097218510000000003,5300000000000009,7218510000000003
108976,C5500US53000000000000097218510000000004,4,C55,53000000000000097218510000000004,5300000000000009,7218510000000004
108977,C5500US53000000000000097218510000000005,4,C55,53000000000000097218510000000005,5300000000000009,7218510000000005
108978,C5500US53000000000000097256760000000008,4,C55,53000000000000097256760000000008,5300000000000009,7256760000000008
108979,C5500US53000000000000100219680000000011,4,C55,53000000000000100219680000000011,5300000000000010,0219680000000011
108980,C5500US53000000000000100619720100000043,15,C55,53000000000000100619720100000043,5300000000000010,0619720100000043
108981,C5500US53000000000000102419920000000018,10,C55,53000000000000102419920000000018,5300000000000010,2419920000000018
108982,C5500US53000000000000105300000000000009,50,C55,53000000000000105300000000000009,5300000000000010,5300000000000009
108983,C5500US53000000000000105300000000000010,2005,C55,53000000000000105300000000000010,5300000000000010,5300000000000010
108984,C5500US53000000000000105300000000000011,2115,C55,53000000000000105300000000000011,5300000000000010,5300000000000011
108985,C5500US53000000000000105300000000000012,395,C55,53000000000000105300000000000012,5300000000000010,5300000000000012
108986,C5500US53000000000000105300000000000013,25,C55,53000000000000105300000000000013,5300000000000010,5300000000000013
108987,C5500US53000000000000105319910000000007,20,C55,53000000000000105319910000000007,5300000000000010,5319910000000007
108988,C5500US53000000000000105319910000000009,30,C55,53000000000000105319910000000009,5300000000000010,5319910000000009
108989,C5500US53000000000000105319910000000010,10,C55,53000000000000105319910000000010,5300000000000010,5319910000000010
108990,C5500US53000000000000105319910000000011,20,C55,53000000000000105319910000000011,5300000000000010,5319910000000011
108991,C5500US53000000000000105319910000000019,4,C55,53000000000000105319910000000019,5300000000000010,5319910000000019
108992,C5500US53000000000000105319910000000022,10,C55,53000000000000105319910000000022,5300000000000010,5319910000000022
108993,C5500US53000000000000105319910000000039,10,C55,53000000000000105319910000000039,5300000000000010,5319910000000039
108994,C5500US53000000000000105319910000000093,20,C55,53000000000000105319910000000093,5300000000000010,5319910000000093
108995,C5500US53000000000000105319910000000095,15,C55,53000000000000105319910000000095,5300000000000010,5319910000000095
108996,C5500US53000000000000105319910000000111,4,C55,53000000000000105319910000000111,5300000000000010,5319910000000111
108997,C5500US53000000000000105319910000000112,10,C55,53000000000000105319910000000112,5300000000000010,5319910000000112
108998,C5500US53000000000000105319910000000113,4,C55,53000000000000105319910000000113,5300000000000010,5319910000000113
108999,C5500US53000000000000105319910000000114,10,C55,53000000000000105319910000000114,5300000000000010,5319910000000114
