O,D,VAL
5300000000000009,0419730100000086,4
5300000000000009,0619700100000005,4
5300000000000009,0619700100000032,4
5300000000000009,0619720100000012,15
5300000000000009,0619720100000040,10
5300000000000009,0619750120740000,20
5300000000000009,0619750121560001,4
5300000000000009,0619750132050002,10
5300000000000009,1900000000000119,4
5300000000000009,2219620022071090,4
5300000000000009,3419820000000146,10
5300000000000009,5300000000000009,4105
5300000000000009,5300000000000010,100
5300000000000009,5300000000000011,350
5300000000000009,5300000000000012,385
5300000000000009,5300000000000013,15
5300000000000009,5319710000000004,4
5300000000000009,5319820100000005,15
5300000000000009,5319910000000004,4
5300000000000009,5319910000000005,4
5300000000000009,5319910000000006,4
5300000000000009,5319910000000007,20
5300000000000009,5319910000000008,10
5300000000000009,5319910000000009,25
5300000000000009,5319910000000011,35
5300000000000009,5319910000000012,20
5300000000000009,5319910000000014,10
5300000000000009,5319910000000016,4
5300000000000009,5319910000000019,10
5300000000000009,5319910000000020,4
5300000000000009,5319910000000023,4
5300000000000009,5319910000000024,4
5300000000000009,5319910000000031,4
5300000000000009,5319910000000043,15
5300000000000009,5319910000000047,4
5300000000000009,5319910000000051,4
5300000000000009,5319910000000053,4
5300000000000009,5319910000000066,4
5300000000000009,5319910000000083,4
5300000000000009,5319910000000097,4
5300000000000009,5319910000000104,10
5300000000000009,532003020000TAD3,4
5300000000000009,7204980000000124,4
5300000000000009,7205040000000003,4
5300000000000009,7214220000000001,4
5300000000000009,7218510000000003,20
5300000000000009,7218510000000004,4
5300000000000009,7218510000000005,4
5300000000000009,7256760000000008,4
5300000000000010,0219680000000011,4
5300000000000010,0619720100000043,15
5300000000000010,2419920000000018,10
5300000000000010,5300000000000009,50
5300000000000010,5300000000000010,2005
5300000000000010,5300000000000011,2115
5300000000000010,5300000000000012,395
5300000000000010,5300000000000013,25
5300000000000010,5319910000000007,20
5300000000000010,5319910000000009,30
5300000000000010,5319910000000010,10
5300000000000010,5319910000000011,20
5300000000000010,5319910000000019,4
5300000000000010,5319910000000022,10
5300000000000010,5319910000000039,10
5300000000000010,5319910000000093,20
5300000000000010,5319910000000095,15
5300000000000010,5319910000000111,4
5300000000000010,5319910000000112,10
5300000000000010,5319910000000113,4
5300000000000010,5319910000000114,10
5300000000000010,5319910000000117,4
5300000000000010,7218530000000017,10
5300000000000010,72571000NEZPERCE,20
5300000000000011,0219680000000011,10
5300000000000011,2900000000000012,20
5300000000000011,5300000000000009,150
5300000000000011,5300000000000010,335
5300000000000011,5300000000000011,4785
5300000000000011,5300000000000012,485
5300000000000011,5319820200000020,10
5300000000000011,5319910000000011,10
5300000000000011,5319910000000023,10
5300000000000011,5319910000000032,4
5300000000000011,5319910000000113,10
5300000000000011,5319910000000116,25
5300000000000011,5319910000000117,4
5300000000000011,5319910000000118,4
5300000000000011,532003020000TAD5,15
5300000000000011,7204980000000140,15
5300000000000011,7205040000000006,25
5300000000000011,7205040000000014,4
5300000000000011,7218510000000001,4
5300000000000011,7218510000000003,4
5300000000000011,7218510000000005,15
5300000000000012,0419730100000089,20
5300000000000012,0619700100000212,50
5300000000000012,0619750142510003,15
5300000000000012,0619750152620002,15
5300000000000012,5300000000000009,235
5300000000000012,5300000000000010,225
5300000000000012,5300000000000011,1045
5300000000000012,5300000000000012,2745
5300000000000012,5300000000000013,180
5300000000000012,5319910000000007,10
5300000000000012,5319910000000011,10
5300000000000012,5319910000000012,10
5300000000000012,5319910000000014,70
5300000000000012,5319910000000016,25
5300000000000012,5319910000000028,35
5300000000000012,5319910000000032,10
5300000000000012,5319910000000041,10
5300000000000012,5319910000000051,10
5300000000000012,5319910000000074,10
5300000000000012,5319910000000087,10
5300000000000012,5319910000000089,4
5300000000000012,5319910000000093,40
5300000000000012,5319910000000111,35
5300000000000012,5319910000000117,10
5300000000000012,5319910000000118,45
5300000000000012,5319910000000119,25
5300000000000012,7204980000000113,40
5300000000000012,7205501000000067,15
5300000000000012,7256760000000010,4
5300000000000013,0419730100000150,10
5300000000000013,0619750162940000,15
5300000000000013,1900000000000119,15
5300000000000013,2300000000000028,10
5300000000000013,3619740100000103,15
5300000000000013,3900000039049007,25
5300000000000013,4219650100000116,25
5300000000000013,4800000000000308,10
5300000000000013,5300000000000009,20
5300000000000013,5300000000000010,10
5300000000000013,5300000000000011,125
5300000000000013,5300000000000012,240
5300000000000013,5300000000000013,5730
5300000000000013,5319820100000001,4
5300000000000013,5319820100000003,4
5300000000000013,5319820100000005,20
5300000000000013,5319820200000016,4
5300000000000013,5319910000000004,10
5300000000000013,5319910000000005,20
5300000000000013,5319910000000006,80
5300000000000013,5319910000000007,30
5300000000000013,5319910000000008,10
5300000000000013,5319910000000009,4
5300000000000013,5319910000000010,35
5300000000000013,5319910000000011,35
5300000000000013,5319910000000012,15
5300000000000013,5319910000000013,15
5300000000000013,5319910000000014,15
5300000000000013,5319910000000017,25
5300000000000013,5319910000000022,25
5300000000000013,5319910000000023,25
5300000000000013,5319910000000034,25
5300000000000013,5319910000000038,4
5300000000000013,5319910000000044,20
5300000000000013,5319910000000051,4
5300000000000013,5319910000000053,10
5300000000000013,5319910000000057,4
5300000000000013,5319910000000059,10
5300000000000013,5319910000000069,10
5300000000000013,5319910000000073,15
5300000000000013,5319910000000074,20
5300000000000013,5319910000000077,10
5300000000000013,5319910000000079,10
5300000000000013,5319910000000082,10
5300000000000013,5319910000000083,10
5300000000000013,5319910000000091,4
5300000000000013,5319910000000092,10
5300000000000013,5319910000000093,15
5300000000000013,5319910000000099,10
5300000000000013,5319910000000105,20
5300000000000013,5319910000000111,10
5300000000000013,5319910000000112,170
5300000000000013,5319910000000113,185
5300000000000013,5319910000000114,80
5300000000000013,5319910000000115,55
5300000000000013,5319910000000116,115
5300000000000013,5319910000000117,25
5300000000000013,5319910000000118,90
5300000000000013,5319910000000119,70
5300000000000013,7214220000000173,4
5300000000000013,7218510000000003,4
5300000000000013,7218510000000006,15
5300000000000013,7218510000000007,15
5300000000000013,7218510000000008,15
5300000000000013,7218530000000006,10
5300000000000014,0619720100000001,15
5300000000000014,1219700000000008,10
5300000000000014,3919730200000015,10
5300000000000014,3919730200000016,10
5300000000000014,4100000000000031,4
5300000000000014,5300000000000014,3835
5300000000000014,5300000000000015,260
5300000000000014,5319820100000001,495
5300000000000014,5319820100000002,900
5300000000000014,5319820100000003,705
5300000000000014,5319820100000004,95
5300000000000014,5319820100000005,300
5300000000000014,5319820100000006,15
5300000000000014,5319820100000007,4
5300000000000014,5319820100000008,20
5300000000000014,5319820200000016,15
5300000000000014,5319820200000017,45
5300000000000014,5319820200000018,70
5300000000000014,5319820200000019,10
5300000000000014,5319820200000021,10
5300000000000014,5319910000000006,10
5300000000000014,5319910000000008,20
5300000000000014,5319910000000009,20
5300000000000014,5319910000000011,25
5300000000000014,5319910000000015,15
5300000000000014,5319910000000017,20
5300000000000014,5319910000000018,15
5300000000000014,5319910000000020,40
5300000000000014,5319910000000022,35
5300000000000014,5319910000000023,65
5300000000000014,5319910000000026,10
5300000000000014,5319910000000028,50
5300000000000014,5319910000000029,10
5300000000000014,5319910000000031,10
5300000000000014,5319910000000035,10
5300000000000014,5319910000000038,35
5300000000000014,5319910000000039,4
5300000000000014,5319910000000041,10
5300000000000014,5319910000000044,4
5300000000000014,5319910000000047,4
5300000000000014,5319910000000051,10
5300000000000014,5319910000000062,20
5300000000000014,5319910000000074,15
5300000000000014,5319910000000089,10
5300000000000014,5319910000000090,15
5300000000000014,5319910000000092,20
5300000000000014,5319910000000093,40
5300000000000014,5319910000000094,55
